mortgage;life_ins;cre_card;deb_card;mob_bank;curr_acc;internet;perloan;savings;atm_user;markpl;age;cus_leng;response
No;No;No;Yes;No;No;No;No;No;No;Yes;18;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;18;from 3 to 7 years;No
No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;18;less than 3 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;18;from 3 to 7 years;No
Yes;Yes;No;Yes;Yes;No;No;No;No;Yes;Yes;18;from 3 to 7 years;Yes
No;No;No;No;Yes;No;No;No;No;Yes;No;18;from 3 to 7 years;Yes
Yes;Yes;No;;;;;;;;Yes;18;less than 3 years;Yes
No;Yes;No;Yes;Yes;No;No;No;No;Yes;No;18;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;18;from 3 to 7 years;No
No;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;18;less than 3 years;Yes
No;No;No;Yes;No;No;No;No;No;No;No;18;less than 3 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;18;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;18;more than 7 years;No
No;No;Yes;Yes;No;No;No;No;No;No;No;18;less than 3 years;Yes
No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;18;from 3 to 7 years;No
No;Yes;No;No;No;Yes;No;No;No;No;No;18;less than 3 years;Yes
Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;18;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;18;from 3 to 7 years;Yes
Yes;Yes;;;;;No;No;Yes;No;Yes;18;less than 3 years;Yes
Yes;Yes;;;;;No;No;No;Yes;Yes;18;more than 7 years;No
Yes;Yes;;;;;No;No;No;Yes;No;18;from 3 to 7 years;No
Yes;Yes;;;;;No;No;No;Yes;No;18;more than 7 years;No
Yes;Yes;;;;;No;No;No;Yes;Yes;18;from 3 to 7 years;Yes
Yes;Yes;;;;;No;No;No;No;No;18;from 3 to 7 years;Yes
Yes;Yes;;;;;No;No;No;No;Yes;18;from 3 to 7 years;Yes
Yes;Yes;;;;;No;Yes;No;Yes;No;18;from 3 to 7 years;No
Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;18;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;18;from 3 to 7 years;Yes
Yes;Yes;Yes;No;Yes;No;No;No;No;No;Yes;18;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;18;less than 3 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;18;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;18;from 3 to 7 years;Yes
No;Yes;No;Yes;Yes;No;No;No;Yes;No;No;18;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;18;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;18;from 3 to 7 years;No
No;No;Yes;No;No;No;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
No;Yes;No;;;;;;;;No;19;less than 3 years;Yes
No;Yes;Yes;;;;;;;;Yes;19;from 3 to 7 years;Yes
Yes;Yes;No;;;;;;;;Yes;19;from 3 to 7 years;Yes
No;No;No;;;;;;;;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;;;;;;;;Yes;19;more than 7 years;No
Yes;Yes;No;;;;;;;;No;19;less than 3 years;Yes
Yes;Yes;Yes;;;;;;;;Yes;19;from 3 to 7 years;No
Yes;Yes;No;;;;;;;;Yes;19;from 3 to 7 years;No
Yes;Yes;No;;;;;;;;No;19;from 3 to 7 years;Yes
No;Yes;No;No;No;Yes;No;No;No;No;Yes;19;from 3 to 7 years;No
No;No;No;Yes;No;Yes;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;19;less than 3 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;19;more than 7 years;No
No;No;No;Yes;No;Yes;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;;;No;No;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;;;No;No;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;No;No;Yes;;;;Yes;Yes;19;more than 7 years;No
No;No;No;Yes;No;Yes;No;No;No;No;No;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;No;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;Yes;Yes;No;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;19;from 3 to 7 years;Yes
No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;19;less than 3 years;Yes
No;No;Yes;Yes;No;Yes;No;No;No;No;No;19;from 3 to 7 years;Yes
No;No;No;;;;;;;;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;;;;;;;;Yes;19;from 3 to 7 years;Yes
No;No;No;Yes;No;No;No;No;No;No;No;19;less than 3 years;Yes
No;No;No;No;No;No;No;No;Yes;Yes;No;19;less than 3 years;No
Yes;Yes;Yes;No;No;No;Yes;No;No;Yes;Yes;19;more than 7 years;Yes
No;No;No;Yes;Yes;No;No;Yes;No;No;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;more than 7 years;Yes
Yes;Yes;No;No;No;No;No;Yes;No;Yes;No;19;from 3 to 7 years;Yes
No;Yes;No;Yes;Yes;No;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;No
No;Yes;No;Yes;No;No;No;Yes;No;No;Yes;19;less than 3 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;No;No;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;No;Yes;Yes;No;No;No;No;Yes;Yes;19;less than 3 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;No
No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;19;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;19;less than 3 years;Yes
No;No;Yes;Yes;No;No;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;Yes;Yes;19;more than 7 years;No
Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;19;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;more than 7 years;No
No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;19;less than 3 years;Yes
No;Yes;No;Yes;No;No;;;;;No;19;less than 3 years;Yes
No;Yes;Yes;Yes;Yes;Yes;;;;;Yes;19;less than 3 years;Yes
No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;Yes;19;from 3 to 7 years;Yes
No;No;No;Yes;No;No;No;No;No;No;Yes;19;less than 3 years;Yes
Yes;Yes;;;;;;;;Yes;Yes;19;more than 7 years;No
Yes;Yes;;;;;;;;Yes;Yes;19;more than 7 years;No
No;Yes;;;;;;;;No;No;19;less than 3 years;Yes
No;No;;;;;;;;No;Yes;19;from 3 to 7 years;Yes
No;No;;;;;;;;No;Yes;19;less than 3 years;Yes
Yes;Yes;;;;;;;;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;;;;;;;;Yes;Yes;19;more than 7 years;No
Yes;Yes;;;;;;;;Yes;Yes;19;more than 7 years;No
No;No;;;;;;;;Yes;No;19;less than 3 years;Yes
Yes;Yes;;;;;;;;No;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;19;more than 7 years;No
No;No;No;Yes;No;Yes;No;No;No;No;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;Yes;19;more than 7 years;No
No;Yes;Yes;No;No;No;No;No;No;Yes;No;19;less than 3 years;Yes
No;Yes;No;Yes;No;No;No;Yes;No;No;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;19;from 3 to 7 years;No
No;No;No;Yes;Yes;No;No;No;No;Yes;No;19;less than 3 years;Yes
No;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;19;less than 3 years;Yes
No;Yes;No;Yes;No;No;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;19;more than 7 years;Yes
No;No;Yes;Yes;No;Yes;No;No;Yes;No;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;19;from 3 to 7 years;No
No;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;No
No;No;No;Yes;No;No;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;19;less than 3 years;No
Yes;Yes;Yes;No;No;No;No;No;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;Yes;No;No;No;No;No;No;Yes;Yes;19;more than 7 years;No
Yes;Yes;No;Yes;No;No;No;Yes;No;No;No;19;less than 3 years;Yes
No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;Yes;19;from 3 to 7 years;Yes
No;No;No;Yes;No;No;No;Yes;No;No;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;19;more than 7 years;No
No;No;No;Yes;No;No;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;more than 7 years;No
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;19;from 3 to 7 years;Yes
No;Yes;No;Yes;No;No;No;No;No;No;No;19;less than 3 years;Yes
No;Yes;Yes;Yes;No;No;No;No;No;Yes;No;19;from 3 to 7 years;Yes
No;No;No;Yes;No;Yes;No;No;Yes;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;19;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;Yes;Yes;19;more than 7 years;No
Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;Yes;No;No;No;No;No;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;more than 7 years;No
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;19;more than 7 years;No
Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;19;from 3 to 7 years;Yes
No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;19;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;19;from 3 to 7 years;Yes
No;Yes;Yes;Yes;No;No;No;No;No;Yes;No;19;from 3 to 7 years;Yes
No;Yes;No;Yes;Yes;No;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;No;No;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;19;less than 3 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;No;Yes;No;No;No;No;No;No;No;19;from 3 to 7 years;Yes
Yes;Yes;No;No;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;No;No;19;less than 3 years;Yes
Yes;Yes;No;Yes;No;No;No;Yes;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;19;more than 7 years;No
No;No;No;Yes;No;No;No;No;No;No;Yes;19;less than 3 years;Yes
No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;19;from 3 to 7 years;No
Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;19;more than 7 years;No
Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;19;more than 7 years;No
Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;19;less than 3 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;No;No;19;less than 3 years;Yes
No;No;No;Yes;No;No;No;No;No;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;Yes;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;19;more than 7 years;No
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;19;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;19;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;Yes;Yes;No;No;Yes;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;20;from 3 to 7 years;No
Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;20;from 3 to 7 years;Yes
No;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;20;less than 3 years;Yes
No;Yes;No;Yes;No;No;No;No;No;Yes;No;20;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;20;more than 7 years;No
Yes;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Yes;20;more than 7 years;No
No;No;No;Yes;No;No;No;No;No;Yes;No;20;less than 3 years;Yes
Yes;Yes;No;No;No;Yes;No;No;No;Yes;Yes;20;from 3 to 7 years;Yes
No;No;No;Yes;Yes;No;No;Yes;No;No;No;20;less than 3 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;No;No;20;less than 3 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Yes;20;more than 7 years;No
Yes;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Yes;20;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;20;less than 3 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;20;from 3 to 7 years;No
No;Yes;No;Yes;No;No;No;No;No;Yes;No;20;less than 3 years;Yes
No;No;No;Yes;No;No;No;No;No;Yes;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;20;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;Yes;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;20;less than 3 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;No;No;20;less than 3 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;20;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;20;more than 7 years;Yes
Yes;Yes;No;Yes;Yes;No;No;No;No;Yes;No;20;less than 3 years;Yes
Yes;Yes;No;No;No;Yes;Yes;No;No;Yes;No;20;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;20;from 3 to 7 years;No
Yes;Yes;Yes;No;No;No;Yes;No;No;Yes;Yes;20;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;20;more than 7 years;No
Yes;Yes;No;No;No;Yes;No;No;No;Yes;Yes;20;less than 3 years;No
No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;20;from 3 to 7 years;Yes
Yes;Yes;No;No;No;No;No;No;No;Yes;No;20;from 3 to 7 years;Yes
No;No;No;No;No;No;No;No;No;No;No;20;less than 3 years;Yes
No;No;No;No;No;No;No;No;No;No;No;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;20;more than 7 years;No
No;Yes;No;Yes;No;No;No;Yes;No;No;No;20;less than 3 years;Yes
Yes;Yes;No;Yes;No;No;No;No;No;No;No;20;less than 3 years;Yes
No;No;No;Yes;No;No;No;No;No;No;No;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;20;more than 7 years;No
Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;20;more than 7 years;Yes
Yes;Yes;No;Yes;Yes;No;No;No;No;Yes;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;20;from 3 to 7 years;Yes
Yes;Yes;No;No;No;No;No;No;No;No;No;20;less than 3 years;Yes
No;Yes;No;Yes;Yes;No;No;No;No;No;No;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;20;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;20;more than 7 years;No
Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;20;from 3 to 7 years;Yes
No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;20;more than 7 years;No
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;20;more than 7 years;No
Yes;Yes;Yes;No;No;Yes;No;No;No;No;Yes;20;from 3 to 7 years;Yes
No;No;No;No;No;No;No;No;No;No;No;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;20;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;20;from 3 to 7 years;No
Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;20;from 3 to 7 years;Yes
No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;20;less than 3 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;20;more than 7 years;No
Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;20;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;20;from 3 to 7 years;Yes
Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;20;from 3 to 7 years;Yes
Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;20;less than 3 years;Yes
No;No;No;Yes;No;No;No;No;No;No;No;20;less than 3 years;Yes
Yes;Yes;Yes;No;No;Yes;No;No;No;No;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;20;from 3 to 7 years;Yes
Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;20;from 3 to 7 years;Yes
No;No;No;Yes;No;No;No;No;No;No;Yes;20;less than 3 years;Yes
Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;20;from 3 to 7 years;Yes
