longdist;internat;local;int_disc;billtype;pay;age;gender;marital;children;income;churn
28,02;2,61;73,4;Да;Бюджетный;CC;75;Женский;Одинокий;0;48755,1;1
3,75;0;9,26;Да;Бесплатный;CC;27;Мужской;Одинокий;1;86608,5;0
15,63;4,08;59,14;Да;Бюджетный;CC;80;Мужской;Женат;0;50290,7;0
21,98;0;80,05;Нет;Бесплатный;Auto;38;Мужской;Женат;0;82003,9;0
23,41;0;85,22;Да;Бесплатный;CH;89;Мужской;Одинокий;0;51669;0
9,49;1,7;32,17;Нет;Бесплатный;Auto;44;Мужской;Женат;1;36638,2;1
13,99;7,56;20,72;Нет;Бесплатный;Auto;42;Женский;Женат;0;69458,8;1
12,06;0;22,05;Да;Бюджетный;Auto;28;Мужской;Женат;1;10385,3;1
21,45;0;30,65;Нет;Бюджетный;CC;57;Женский;Женат;0;70459,5;1
26,05;0;59,61;Нет;Бюджетный;CC;75;Женский;Одинокий;1;50290,7;1
3,35;9,61;136,89;Нет;Бюджетный;CH;68;Мужской;Одинокий;1;57322,1;1
19,44;0;14,38;Нет;Бюджетный;CC;97;Мужской;Женат;2;88146,4;0
2,51;1,36;29,2;Нет;Бесплатный;CC;19;Мужской;Женат;0;89958,8;0
0;0;4,32;Нет;Бесплатный;CH;90;Мужской;Одинокий;2;42504,3;1
24,14;0;79,36;Нет;Бесплатный;CC;32;Женский;Женат;2;76791,5;0
16,36;0;26,88;Да;Бесплатный;CC;84;Мужской;Женат;0;94243,8;0
2,8;0;69,79;Нет;Бесплатный;CC;38;Мужской;Женат;0;94002,6;0
17,48;0;23,77;Нет;Бюджетный;CC;49;Женский;Женат;1;97841,7;1
18,76;0;15,29;Да;Бесплатный;CC;73;Женский;Женат;2;87182,7;1
29,92;0;8,8;Да;Бюджетный;CH;60;Женский;Одинокий;0;93322,1;0
15,09;0;56,9;Нет;Бесплатный;Auto;19;Женский;Женат;0;68987,5;0
28,19;0;93,63;Нет;Бесплатный;CH;19;Женский;Одинокий;2;56438,9;0
13,19;0;63,02;Да;Бюджетный;CH;26;Мужской;Одинокий;1;31166,6;1
28,7;0;60,35;Нет;Бесплатный;Auto;71;Мужской;Женат;1;8073,11;0
25,97;0;10,95;Нет;Бюджетный;CC;35;Женский;Женат;0;80659,1;0
27,7;6,12;124,15;Нет;Бесплатный;CH;95;Мужской;Женат;0;60101,1;0
9,57;0;10,47;Нет;Бюджетный;CH;23;Женский;Женат;0;869,57;1
24,09;0;32,93;Да;Бесплатный;CC;75;Мужской;Женат;0;99454,2;0
0;0;3,37;Да;Бюджетный;CH;59;Женский;Женат;2;36660,9;1
3,73;0;18,85;Нет;Бесплатный;Auto;76;Мужской;Женат;2;30933,6;0
18,51;0;27,37;Нет;Бесплатный;CC;97;Мужской;Одинокий;1;57347,6;0
6,01;0;27,82;Нет;Бесплатный;CC;27;Мужской;Женат;2;89781,4;0
0;0;1,96;Да;Бюджетный;CC;45;Женский;Одинокий;0;45057,1;1
6,23;0;16,03;Да;Бюджетный;CC;58;Мужской;Женат;1;99619,9;0
3,94;0;7,53;Нет;Бюджетный;Auto;37;Женский;Одинокий;0;74018,4;0
4,96;0;30,9;Нет;Бесплатный;CH;83;Женский;Одинокий;1;96112,1;1
14,72;0;11,55;Нет;Бесплатный;CC;76;Женский;Женат;1;87797,5;1
16,16;6,1;13,83;Да;Бюджетный;CC;31;Женский;Женат;1;99485,3;0
5,13;0;69,8;Нет;Бюджетный;CH;75;Женский;Женат;1;55187,6;1
22,44;0;107,18;Нет;Бюджетный;CH;25;Мужской;Женат;2;40774,2;0
25,59;0,7;49,27;Нет;Бюджетный;CC;76;Женский;Женат;1;349,09;1
23,38;0;32,52;Нет;Бюджетный;CH;77;Женский;Одинокий;0;34160,5;1
19,78;0;57,62;Да;Бесплатный;CC;73;Женский;Одинокий;0;23832;0
28,75;0;18,66;Нет;Бюджетный;CC;67;Мужской;Женат;2;37168,9;0
9,31;0;115,92;Да;Бюджетный;CH;47;Женский;Женат;0;79721,1;1
0;0;0,72;Нет;Бесплатный;CH;67;Женский;Женат;0;87765,2;1
25,86;0;51,73;Нет;Бюджетный;Auto;64;Женский;Одинокий;0;97524,5;1
16,6;0;59,15;Нет;Бюджетный;CC;85;Мужской;Одинокий;1;84100,4;0
4,47;0;32,91;Да;Бюджетный;Auto;83;Мужской;Женат;1;71000,5;0
29,04;0;8,28;Нет;Бюджетный;CC;56;Мужской;Женат;1;7330,68;0
25,19;8,9;86,23;Да;Бюджетный;CC;74;Мужской;Женат;1;47927,1;0
9,39;0;38,97;Нет;Бюджетный;CC;65;Мужской;Одинокий;1;57626,9;0
26;0;37,13;Да;Бесплатный;CH;79;Женский;Одинокий;1;87818,3;0
24,04;0;19,89;Нет;Бюджетный;CH;59;Женский;Одинокий;0;23892,2;1
29,36;0;13,79;Да;Бесплатный;CH;40;Мужской;Одинокий;2;33373,9;0
12,6;0;14,19;Нет;Бюджетный;CC;23;Женский;Одинокий;2;48162;0
21,01;0;37,85;Нет;Бесплатный;CH;37;Женский;Женат;2;53162,2;0
16,98;4,75;97,02;Нет;Бюджетный;CC;64;Мужской;Женат;1;43644,7;0
10,43;0;16,9;Да;Бесплатный;CC;47;Мужской;Одинокий;1;12752,5;0
12,29;7,8;47,46;Нет;Бюджетный;CC;75;Мужской;Женат;2;17562,9;0
21,45;0;55,47;Нет;Бюджетный;CC;88;Женский;Одинокий;2;94665,2;1
0,03;0;46,04;Да;Бесплатный;CC;60;Мужской;Одинокий;1;86629,3;0
2,64;0;50,23;Нет;Бесплатный;Auto;67;Женский;Женат;2;99100,1;1
15,62;0;13,69;Да;Бюджетный;CC;60;Мужской;Женат;0;35125;0
20,7;0;20,06;Нет;Бюджетный;CC;93;Мужской;Женат;1;25949;0
26,35;4,59;86,1;Нет;Бюджетный;CC;73;Женский;Одинокий;0;78564,7;0
5,13;0;69,8;Нет;Бюджетный;CH;75;Женский;Женат;1;55187,6;1
25,53;0,75;5,19;Нет;Бюджетный;CC;62;Мужской;Одинокий;0;96501,9;0
21,44;0;79,96;Да;Бюджетный;CH;33;Женский;Женат;2;68203,8;0
0;0;3,87;Нет;Бюджетный;CC;72;Мужской;Одинокий;1;92769,4;1
24,65;0;48,54;Да;Бюджетный;CC;65;Женский;Женат;0;17700,4;1
22,98;0;32,37;Нет;Бесплатный;CC;34;Женский;Одинокий;2;90856,9;0
10,34;0;19,05;Нет;Бесплатный;CH;48;Мужской;Женат;2;7122,16;0
1,56;9,03;15,18;Нет;Бюджетный;CC;53;Мужской;Женат;1;18672;1
14,13;0;7,71;Нет;Бюджетный;Auto;67;Мужской;Одинокий;0;88874;0
16,75;0;262,64;Да;Бюджетный;CC;37;Женский;Одинокий;2;34567;0
9,78;0;68,62;Нет;Бесплатный;CC;78;Мужской;Женат;1;23919,1;0
9,27;0;53,37;Да;Бюджетный;CH;73;Мужской;Женат;2;7010,68;0
21,87;0,77;146,39;Да;Бюджетный;CC;30;Мужской;Женат;2;17555,2;0
24,14;0;40,52;Нет;Бюджетный;Auto;38;Мужской;Одинокий;2;58087,5;0
9,82;0;25,11;Нет;Бюджетный;Auto;21;Женский;Женат;1;78855,5;0
1,32;0;11,25;Да;Бюджетный;Auto;64;Женский;Женат;1;45682,8;0
25,35;6,1;73,66;Да;Бесплатный;Auto;69;Мужской;Одинокий;2;52127,5;0
17,38;0;90,58;Да;Бесплатный;CH;31;Мужской;Одинокий;0;6165,64;0
7,26;6,12;184,53;Нет;Бесплатный;CH;82;Мужской;Одинокий;0;48841,4;1
12,06;0;22,05;Да;Бюджетный;Auto;28;Мужской;Женат;1;10385,3;1
11,39;0;103,07;Да;Бюджетный;CC;68;Мужской;Одинокий;0;3409,01;0
7,71;4,56;43,21;Нет;Бесплатный;CC;74;Мужской;Женат;2;70908,7;1
14,07;0;78,93;Нет;Бесплатный;CC;55;Женский;Женат;2;9665,54;1
10,58;0;37,28;Нет;Бесплатный;CC;53;Мужской;Женат;2;37354;0
24,15;3,11;7,87;Нет;Бесплатный;CC;30;Женский;Женат;1;69341,7;1
11,19;0;75,6;Нет;Бесплатный;CC;67;Мужской;Одинокий;1;36415,3;0
28,95;0;19,06;Нет;Бесплатный;CC;50;Женский;Одинокий;2;21396,2;1
1,16;0,09;77,72;Да;Бюджетный;Auto;34;Мужской;Одинокий;0;49728,7;0
26,12;5,57;38,06;Да;Бюджетный;CC;44;Мужской;Одинокий;2;54953,1;0
