"MCC","Название","Описание"
"2791","Набор текстов, изготовление печатных форм и связанные услуги","Торговые точки, которые осуществляют оптовый набор текста для полиграфии и изготавливают печатные формы для полиграфических целей. Примерами таких услуг являются набор рекламных текстов, набор фотографий, автоматизированный набор текста и цветоделение; изготовление позитивов и негативов, из которых изготавливаются офсетные литографические печатные формы; и гравировка или тиснение для печатных целей, таких как гравировка по дереву, резине, меди, стали или фотогравировка.

Для торговых точек, которые в основном предоставляют оптовые услуги печати, используется MCC 2741."
"2842","Санитарная обработка, полировка и специализированная подготовка","Оптовые производители полиролей, чистящих растворов, дезинфицирующих средств, моющих средств для больниц и другие санитарные препараты. Продукты для продажи могут включать дезодоранты неличного назначения, окрашивание искусственной кожи и других материалов, средства для удаления воска, растворители для обезжиривания, химические средства для сухой чистки, средства для удаления ржавчины и пятен, а также чистящие растворы для стекла, краски или обоев."
"3000","United Airlines",""
"3001","American Airlines",""
"3002","Pan American",""
"3003","Eurofly",""
"3004","Dragonair",""
"3005","British Airways",""
"3006","Japan Air Lines",""
"3007","Air France",""
"3008","Lufthansa",""
"3009","Air Canada",""
"3010","Royal Dutch Airlines",""
"3011","Аэрофлот",""
"3012","Qantas",""
"3013","Alitalia",""
"3014","Saudi Arabian Airlines",""
"3015","Swiss International Air Lines",""
"3016","Scandinavian Airline System",""
"3017","South African Airways",""
"3018","Varig (Бразилия)",""
"3019","Авиалинии, авиакомпании",""
"3020","Air India",""
"3021","Air Algerie",""
"3022","Philippine Airlines",""
"3023","Mexicana",""
"3024","Pakistan International",""
"3025","Air New Zealand Limited International",""
"3026","Emirates Airlines",""
"3027","Union de Transports Aeriens",""
"3028","Air Malta",""
"3029","SN Brussels Airlines",""
"3030","Aerolineas Argentinas",""
"3031","Olympic Airways",""
"3032","El Al",""
"3033","Ansett Airlines",""
"3034","Etihad Airways",""
"3035","Tap (Португалия)",""
"3036","VASP (Бразилия)",""
"3037","EgyptAir",""
"3038","Kuwait Airways",""
"3039","Avianca",""
"3040","Gulf Air (Бахрейн)",""
"3041","Balkan—Bulgarian Airlines",""
"3042","Finnair",""
"3043","Aer Lingus",""
"3044","Air Lanka",""
"3045","Nigeria Airways",""
"3046","Cruzeiro do Sul (Бразилия)",""
"3047","Turkish Airlines",""
"3048","Royal Air Maroc",""
"3049","Tunis Air",""
"3050","Icelandair",""
"3051","Austrian Airlines",""
"3052","LAN Airlines",""
"3053","AVIACO (Испания)",""
"3054","LADECO (Чили)",""
"3055","LAB (Боливия)",""
"3056","Jet Airways",""
"3057","Virgin America",""
"3058","Delta",""
"3059","DBA Airlines",""
"3060","Northwest Airlines",""
"3061","Continental",""
"3062","Hapag-Lloyd Express",""
"3063","U.S. Airways",""
"3064","Adria Airways",""
"3065","Air Inter",""
"3066","Southwest Airlines",""
"3067","Vanguard Airlines",""
"3068","Air Astana",""
"3069","Sun Country Airlines",""
"3071","Air British Columbia",""
"3072","Cebu Pacific",""
"3073","Air Cal",""
"3075","Singapore Airlines",""
"3076","Aeromexico",""
"3077","Thai Airways",""
"3078","China Airlines",""
"3079","Jetstar Airways",""
"3081","Авиалинии, авиакомпании",""
"3082","Korean Airlines",""
"3083","Air Afrique",""
"3084","Eva Airways",""
"3085","Midwest Express Airlines",""
"3086","Carnival Airlines",""
"3087","Metro Airlines",""
"3088","Croatia Air",""
"3089","Transaero",""
"3090","Uni Airways",""
"3092","Midway Airlines",""
"3093","Авиалинии, авиакомпании",""
"3094","Zambia Airways",""
"3095","Авиалинии, авиакомпании",""
"3096","Air Zimbabwe",""
"3097","Spanair",""
"3098","Asiana Airlines",""
"3099","Cathay Pacific",""
"3100","Malaysian Airline System",""
"3101","Авиалинии, авиакомпании",""
"3102","Iberia",""
"3103","Garuda (Индонезия)",""
"3104","Авиалинии, авиакомпании",""
"3105","Авиалинии, авиакомпании",""
"3106","Braathens S.A.F.E. (Норвегия)",""
"3107","Авиалинии, авиакомпании",""
"3109","Авиалинии, авиакомпании",""
"3110","Авиалинии, авиакомпании",""
"3111","British Midland",""
"3112","Windward Island",""
"3113","Авиалинии, авиакомпании",""
"3114","Авиалинии, авиакомпании",""
"3115","Авиалинии, авиакомпании",""
"3116","Авиалинии, авиакомпании",""
"3117","Venezolana International de Aviacion",""
"3118","Авиалинии, авиакомпании",""
"3119","Авиалинии, авиакомпании",""
"3120","Авиалинии, авиакомпании",""
"3121","Авиалинии, авиакомпании",""
"3122","Авиалинии, авиакомпании",""
"3123","Авиалинии, авиакомпании",""
"3124","Авиалинии, авиакомпании",""
"3125","Tan Airlines",""
"3126","Авиалинии, авиакомпании",""
"3127","Taca International",""
"3128","Авиалинии, авиакомпании",""
"3129","Surinam Airways",""
"3130","Sunworld International Airways",""
"3131","VLM Airlines",""
"3132","Frontier Airlines",""
"3133","Авиалинии, авиакомпании",""
"3134","Авиалинии, авиакомпании",""
"3135","Авиалинии, авиакомпании",""
"3136","Qatar Airways Company W.L.L.",""
"3137","Авиалинии, авиакомпании",""
"3138","Авиалинии, авиакомпании",""
"3139","Авиалинии, авиакомпании",""
"3140","Авиалинии, авиакомпании",""
"3141","Авиалинии, авиакомпании",""
"3142","Авиалинии, авиакомпании",""
"3143","Авиалинии, авиакомпании",""
"3144","Virgin Atlantic",""
"3145","Авиалинии, авиакомпании",""
"3146","Luxair",""
"3147","Авиалинии, авиакомпании",""
"3148","Air Littoral, S.A.",""
"3150","Авиалинии, авиакомпании",""
"3151","Air Zaire",""
"3152","Авиалинии, авиакомпании",""
"3153","Авиалинии, авиакомпании",""
"3154","Авиалинии, авиакомпании",""
"3155","Авиалинии, авиакомпании",""
"3156","GO FLY Ltd.",""
"3157","Авиалинии, авиакомпании",""
"3158","Авиалинии, авиакомпании",""
"3159","Provincetown-Boston Airways",""
"3160","Авиалинии, авиакомпании",""
"3161","All Nippon Airways",""
"3162","Авиалинии, авиакомпании",""
"3163","Авиалинии, авиакомпании",""
"3164","Norontair",""
"3165","Авиалинии, авиакомпании",""
"3166","Авиалинии, авиакомпании",""
"3167","Aero Continente",""
"3168","Авиалинии, авиакомпании",""
"3169","Авиалинии, авиакомпании",""
"3170","Авиалинии, авиакомпании",""
"3171","Canadian Airlines",""
"3172","Nation Air",""
"3173","Авиалинии, авиакомпании",""
"3174","JetBlue Airways",""
"3175","Middle East Air",""
"3176","Авиалинии, авиакомпании",""
"3177","AirTran Airways",""
"3178","Mesa Air",""
"3179","Авиалинии, авиакомпании",""
"3180","Westjet Airlines",""
"3181","Malev Hungarian Airlines",""
"3182","LOT – Polish Airlines",""
"3183","Oman Aviation Services",""
"3184","LIAT",""
"3185","LAV Linea Aeropostal Venezolana",""
"3186","LAP Lineas Aereas Paraguayas",""
"3187","LACSA (Коста Рика)",""
"3188","Virgin Express",""
"3189","Авиалинии, авиакомпании",""
"3190","Jugoslav Air",""
"3191","Island Airlines",""
"3192","Авиалинии, авиакомпании",""
"3193","Indian Airlines",""
"3194","Авиалинии, авиакомпании",""
"3195","Авиалинии, авиакомпании",""
"3196","Hawaiian Air",""
"3197","Havasu Airlines",""
"3198","Авиалинии, авиакомпании",""
"3199","Servicios Aereos Militares",""
"3200","Guyana Airways",""
"3201","Авиалинии, авиакомпании",""
"3202","Авиалинии, авиакомпании",""
"3203","Авиалинии, авиакомпании",""
"3204","Freedom Airlines",""
"3205","Авиалинии, авиакомпании",""
"3206","China Eastern Airlines",""
"3207","Авиалинии, авиакомпании",""
"3208","Авиалинии, авиакомпании",""
"3209","Авиалинии, авиакомпании",""
"3210","Авиалинии, авиакомпании",""
"3211","Norwegian Air Shuttle",""
"3212","Dominicana de Aviacion",""
"3213","Braathens Regional Airlines",""
"3214","Авиалинии, авиакомпании",""
"3215","Авиалинии, авиакомпании",""
"3216","Авиалинии, авиакомпании",""
"3217","CSA Ceskoslovenske Aerolinie",""
"3218","Авиалинии, авиакомпании",""
"3219","Compania Panamena de Aviacion",""
"3220","Compania Faucett",""
"3221","Transportes Aeros Militares Ecuatorianos",""
"3222","Command Airways",""
"3223","Comair",""
"3224","Авиалинии, авиакомпании",""
"3225","Авиалинии, авиакомпании",""
"3226","Skyways",""
"3227","Авиалинии, авиакомпании",""
"3228","Cayman Airways",""
"3229","SAETA (Sociedad Ecuatorianas De Transportes Aereo)",""
"3230","Авиалинии, авиакомпании",""
"3231","SAHSA (Servicio Aero de Honduras)",""
"3232","Авиалинии, авиакомпании",""
"3233","Авиалинии, авиакомпании",""
"3234","Caribbean Airlines",""
"3235","Авиалинии, авиакомпании",""
"3236","Air Arabia Airline",""
"3237","Авиалинии, авиакомпании",""
"3238","Авиалинии, авиакомпании",""
"3239","Bar Harbor Airlines",""
"3240","Bahamasair",""
"3241","Aviateca (Гватемала)",""
"3242","Avensa",""
"3243","Austrian Air Service",""
"3244","Авиалинии, авиакомпании",""
"3245","EasyJet",""
"3246","Ryanair",""
"3247","Gol Airlines",""
"3248","Tam Airlines",""
"3249","Авиалинии, авиакомпании",""
"3250","Авиалинии, авиакомпании",""
"3251","Авиалинии, авиакомпании",""
"3252","ALM Antilean Airlines",""
"3253","America West",""
"3254","Trump Airline",""
"3256","Alaska Airlines Inc.",""
"3257","Авиалинии, авиакомпании",""
"3258","Авиалинии, авиакомпании",""
"3259","Авиалинии, авиакомпании",""
"3260","Spirit Airlines",""
"3261","Air China",""
"3262","Авиалинии, авиакомпании",""
"3263","Aero Servicio Carabobo",""
"3264","Авиалинии, авиакомпании","Код указан на сайте Правительства Аляски как Авиалинии"
"3265","Авиалинии, авиакомпании",""
"3266","Air Seychelles",""
"3267","Air Panama International",""
"3268","Авиалинии, авиакомпании",""
"3270","Авиалинии, авиакомпании",""
"3274","Авиалинии, авиакомпании",""
"3275","Авиалинии, авиакомпании",""
"3276","Авиалинии, авиакомпании",""
"3277","Авиалинии, авиакомпании",""
"3278","Авиалинии, авиакомпании",""
"3279","Авиалинии, авиакомпании",""
"3280","Air Jamaica",""
"3281","Авиалинии, авиакомпании",""
"3282","Air Djibouti",""
"3283","Авиалинии, авиакомпании",""
"3284","Авиалинии, авиакомпании",""
"3285","Aero Peru",""
"3286","Aero Nicaraguenses",""
"3287","Aero Coach Aviation",""
"3288","Авиалинии, авиакомпании",""
"3289","Авиалинии, авиакомпании",""
"3290","Авиалинии, авиакомпании",""
"3291","Авиалинии, авиакомпании",""
"3292","Cyprus Airways",""
"3293","Ecuatoriana",""
"3294","Ethiopian Airlines",""
"3295","Kenya Airways",""
"3296","Air Berlin",""
"3297","Tarom Romanian Air Transport",""
"3298","Air Mauritius",""
"3299","Wideroes Flyveselskap",""
"3300","Azul Air",""
"3301","Wizz Air",""
"3302","Flybe Air",""
"3351"," Affiliated Auto Rental",""
"3352"," American Intl Rent-a-car",""
"3353"," Brooks Rent-a-car",""
"3354"," Action Auto Rental",""
"3355","Агентства по аренде автомобилей",""
"3356","Агентства по аренде автомобилей",""
"3357"," Hertz Rent-a-car",""
"3358","Агентства по аренде автомобилей",""
"3359"," Payless Car Rental",""
"3360"," Snappy Car Rental",""
"3361"," Airways Rent-a-car",""
"3362"," Altra Auto Rental",""
"3363","Агентства по аренде автомобилей",""
"3364"," Agency Rent-a-car",""
"3365","Агентства по аренде автомобилей",""
"3366"," Budget Rent-a-car",""
"3367","Агентства по аренде автомобилей",""
"3368"," Holiday Rent-a-wreck",""
"3369","Агентства по аренде автомобилей",""
"3370"," Rent-a-wreck",""
"3371","Агентства по аренде автомобилей",""
"3372","Агентства по аренде автомобилей",""
"3373","Агентства по аренде автомобилей",""
"3374","Агентства по аренде автомобилей",""
"3375","Агентства по аренде автомобилей",""
"3376"," Ajax Rent-a-car",""
"3377","Агентства по аренде автомобилей",""
"3378","Агентства по аренде автомобилей",""
"3379","Агентства по аренде автомобилей",""
"3380","Агентства по аренде автомобилей",""
"3381"," Europ Car",""
"3382","Агентства по аренде автомобилей",""
"3383","Агентства по аренде автомобилей",""
"3384","Агентства по аренде автомобилей",""
"3385"," Tropical Rent-a-car",""
"3386"," Showcase Rental Cars",""
"3387"," Alamo Rent-a-car",""
"3388","Агентства по аренде автомобилей",""
"3389"," Avis Rent-a-car",""
"3390"," Dollar Rent-a-car",""
"3391"," Europe By Car",""
"3392","Агентства по аренде автомобилей",""
"3393"," National Car Rental",""
"3394"," Kemwell Group Rent-a-car",""
"3395"," Thrifty Rent-a-car",""
"3396"," Tilden Tent-a-car",""
"3397","Агентства по аренде автомобилей",""
"3398"," Econo-car Rent-a-car",""
"3399","Amerex Rent-a-Car",""
"3400"," Auto Host Cost Car Rentals",""
"3401","Агентства по аренде автомобилей",""
"3402","Агентства по аренде автомобилей",""
"3403","Агентства по аренде автомобилей",""
"3404","Агентства по аренде автомобилей",""
"3405"," Enterprise Rent-a-car",""
"3406","Агентства по аренде автомобилей",""
"3407","Агентства по аренде автомобилей",""
"3408","Агентства по аренде автомобилей",""
"3409"," General Rent-a-car",""
"3410","Агентства по аренде автомобилей",""
"3412"," A-1 Rent-a-car",""
"3413","Агентства по аренде автомобилей",""
"3414"," Godfrey Natl Rent-a-car",""
"3415","Агентства по аренде автомобилей",""
"3416","Агентства по аренде автомобилей",""
"3417","Агентства по аренде автомобилей",""
"3418","Агентства по аренде автомобилей",""
"3419"," Alpha Rent-a-car",""
"3420"," Ansa Intl Rent-a-car",""
"3421"," Allstae Rent-a-car",""
"3422","Агентства по аренде автомобилей",""
"3423"," Avcar Rent-a-car",""
"3425"," Automate Rent-a-car",""
"3426","Агентства по аренде автомобилей",""
"3427"," Avon Rent-a-car",""
"3428"," Carey Rent-a-car",""
"3429"," Insurance Rent-a-car",""
"3430"," Major Rent-a-car",""
"3431"," Replacement Rent-a-car",""
"3432"," Reserve Rent-a-car",""
"3433"," Ugly Duckling Rent-a-car",""
"3434"," USA Rent-a-car",""
"3435"," Value Rent-a-car",""
"3436"," Autohansa Rent-a-car",""
"3437"," Cite Rent-a-car",""
"3438"," Interent Rent-a-car",""
"3439"," Milleville Rent-a-car",""
"3440","Via Route Rent-a-Car",""
"3441","Агентства по аренде автомобилей",""
"3501","Holiday Inns",""
"3502","Best Western Hotels",""
"3503","Sheraton Hotels",""
"3504","Hilton Hotels",""
"3505","Forte Hotels",""
"3506","Golden Tulip Hotels",""
"3507","Friendship Inns",""
"3508","Quality Inns",""
"3509","Marriott Hotels",""
"3510","Days Inn",""
"3511","Arabella Hotels",""
"3512","Inter-continental Hotels",""
"3513","Westin Hotels",""
"3514","Отели, мотели, курорты",""
"3515","Rodeway Inns",""
"3516","La Quinta Motor Inns",""
"3517","Americana Hotels",""
"3518","Sol Hotels",""
"3519","Pullman International Hotels",""
"3520","Meridien Hotels",""
"3521","Crest Hotels (see Forte Hotels)",""
"3522","Tokyo Hotel",""
"3523","Pennsula Hotel",""
"3524","Welcomgroup Hotels",""
"3525","Dunfey Hotels",""
"3526","Отели, мотели, курорты",""
"3527","Downtowner-passport Hotel",""
"3528","Red Lion Hotels",""
"3529","Cp Hotels",""
"3530","Renaissance Hotels",""
"3531","Astir Hotels",""
"3532","Sun Route Hotels",""
"3533","Hotel Ibis",""
"3534","Southern Pacific Hotels",""
"3535","Hilton International",""
"3536","Amfac Hotels",""
"3537","Ana Hotel",""
"3538","Concorde Hotels",""
"3539","Отели, мотели, курорты",""
"3540","Iberotel Hotels",""
"3541","Hotel Okura",""
"3542","Royal Hotels",""
"3543","Four Seasons Hotels",""
"3544","Ciga Hotels",""
"3545","Shangri-la International",""
"3546","Отели, мотели, курорты",""
"3547","Отели, мотели, курорты",""
"3548","Hoteles Melia",""
"3549","Auberge Des Governeurs",""
"3550","Regal 8 Inns",""
"3551","Отели, мотели, курорты",""
"3552","Coast Hotels",""
"3553","Park Inns International",""
"3554","Отели, мотели, курорты",""
"3555","Отели, мотели, курорты",""
"3556","Отели, мотели, курорты",""
"3557","Отели, мотели, курорты",""
"3558","Jolly Hotels",""
"3559","Отели, мотели, курорты",""
"3560","Отели, мотели, курорты",""
"3561","Отели, мотели, курорты",""
"3562","Comfort Inns",""
"3563","Journey’s End Motls",""
"3564","Отели, мотели, курорты",""
"3565","Relax Inns",""
"3566","Отели, мотели, курорты",""
"3567","Отели, мотели, курорты",""
"3568","Ladbroke Hotels",""
"3569","Отели, мотели, курорты",""
"3570","Forum Hotels",""
"3571","Отели, мотели, курорты",""
"3572","Miyako Hotels",""
"3573","Sandman Hotels",""
"3574","Venture Inns",""
"3575","Vagabond Hotels",""
"3576","Отели, мотели, курорты",""
"3577","Mandarin Oriental Hotel",""
"3578","Отели, мотели, курорты",""
"3579","Hotel Mercure",""
"3580","Отели, мотели, курорты",""
"3581","Delta Hotel",""
"3582","Отели, мотели, курорты",""
"3583","Sas Hotels",""
"3584","Princess Hotels International",""
"3585","Hungar Hotels",""
"3586","Sokos Hotels",""
"3587","Doral Hotels",""
"3588","Helmsley Hotels",""
"3589","Отели, мотели, курорты",""
"3590","Fairmont Hotels",""
"3591","Sonesta Hotels",""
"3592","Omni Hotels",""
"3593","Cunard Hotels",""
"3594","Отели, мотели, курорты",""
"3595","Hospitality International",""
"3596","Отели, мотели, курорты",""
"3597","Отели, мотели, курорты",""
"3598","Regent International Hotels",""
"3599","Pannonia Hotels",""
"3600","Отели, мотели, курорты",""
"3601","Отели, мотели, курорты",""
"3602","Отели, мотели, курорты",""
"3603","Noah’s Hotels",""
"3604","Отели, мотели, курорты",""
"3605","Отели, мотели, курорты",""
"3606","Отели, мотели, курорты",""
"3607","Отели, мотели, курорты",""
"3608","Отели, мотели, курорты",""
"3609","Отели, мотели, курорты",""
"3610","Отели, мотели, курорты",""
"3611","Отели, мотели, курорты",""
"3612","Movenpick Hotels",""
"3613","Отели, мотели, курорты",""
"3614","Отели, мотели, курорты",""
"3615","Travelodge",""
"3616","Отели, мотели, курорты",""
"3617","Отели, мотели, курорты",""
"3618","Отели, мотели, курорты",""
"3619","Отели, мотели, курорты",""
"3620","Telford International",""
"3621","Отели, мотели, курорты",""
"3622","Merlin Hotels",""
"3623","Dorint Hotels",""
"3624","Отели, мотели, курорты",""
"3625","Hotle Universale",""
"3626","Prince Hotels",""
"3627","Отели, мотели, курорты",""
"3628","Отели, мотели, курорты",""
"3629","Dan Hotels",""
"3630","Отели, мотели, курорты",""
"3631","Отели, мотели, курорты",""
"3632","Отели, мотели, курорты",""
"3633","Rank Hotels",""
"3634","Swissotel",""
"3635","Reso Hotels",""
"3636","Sarova Hotels",""
"3637","Ramada Inns",""
"3638","Ho Jo Inn",""
"3639","Mount Charlotte Thistle",""
"3640","Hyatt Hotel",""
"3641","Sofitel Hotels",""
"3642","Novotel Hotels",""
"3643","Steigenberger Hotels",""
"3644","Econo Lodges",""
"3645","Queens Moat Houses",""
"3646","Swallow Hotels",""
"3647","Husa Hotels",""
"3648","De Vere Hotels",""
"3649","Radisson Hotels",""
"3650","Red Rook Inns",""
"3651","Imperial London Hotel",""
"3652","Embassy Hotels",""
"3653","Penta Hotels",""
"3654","Loews Hotels",""
"3655","Scandic Hotels",""
"3656","Sara Hotels",""
"3657","Oberoi Hotels",""
"3658","Otani Hotels",""
"3659","Taj Hotels International",""
"3660","Knights Inns",""
"3661","Metropole Hotels",""
"3662","Отели, мотели, курорты",""
"3663","Hoteles El Presidents",""
"3664","Flag Inn",""
"3665","Hampton Inns",""
"3666","Stakis Hotels",""
"3667","Отели, мотели, курорты",""
"3668","Maritim Hotels",""
"3669","Отели, мотели, курорты",""
"3670","Arcard Hotels",""
"3671","Arctia Hotels",""
"3672","Campaniel Hotels",""
"3673","Ibusz Hotels",""
"3674","Rantasipi Hotels",""
"3675","Interhotel Cedok",""
"3676","Отели, мотели, курорты",""
"3677","Climat De France Hotels",""
"3678","Cumulus Hotels",""
"3679","Danubius Hotel",""
"3680","Отели, мотели, курорты",""
"3681","Adams Mark Hotels",""
"3682","Allstar Inns",""
"3683","Отели, мотели, курорты",""
"3684","Budget Host Inns",""
"3685","Budgetel Hotels",""
"3686","Suisse Chalets",""
"3687","Clarion Hotels",""
"3688","Compri Hotels",""
"3689","Consort Hotels",""
"3690","Courtyard By Marriott",""
"3691","Dillion Inns",""
"3692","Doubletree Hotels",""
"3693","Drury Inns",""
"3694","Economy Inns Of America",""
"3695","Embassy Suites",""
"3696","Exel Inns",""
"3697","Farfield Hotels",""
"3698","Harley Hotels",""
"3699","Midway Motor Lodge",""
"3700","Motel 6",""
"3701","Guest Quarters (formally Pickett Suite Hotels)",""
"3702","The Registry Hotels",""
"3703","Residence Inns",""
"3704","Royce Hotels",""
"3705","Sandman Inns",""
"3706","Shilo Inns",""
"3707","Shoney’s Inns",""
"3708","Отели, мотели, курорты",""
"3709","Super8 Motels",""
"3710","The Ritz Carlton Hotels",""
"3711","Flag Inns (Ausralia)",""
"3712","Golden Chain Hotel",""
"3713","Quality Pacific Hotel",""
"3714","Four Seasons Hotel (Australia)",""
"3715","Farifield Inn",""
"3716","Carlton Hotels",""
"3717","City Lodge Hotels",""
"3718","Karos Hotels",""
"3719","Protea Hotels",""
"3720","Southern Sun Hotels",""
"3721","Hilton Conrad",""
"3722","Wyndham Hotel And Resorts",""
"3723","Rica Hotels",""
"3724","Iner Nor Hotels",""
"3725","Seaines Planation",""
"3726","Rio Suites",""
"3727","Broadmoor Hotel",""
"3728","Bally’s Hotel And Casino",""
"3729","John Ascuaga’s Nugget",""
"3730","Mgm Grand Hotel",""
"3731","Harrah’s Hotels And Casinos",""
"3732","Opryland Hotel",""
"3733","Boca Raton Resort",""
"3734","Harvey/bristol Hotels",""
"3735","Отели, мотели, курорты",""
"3736","Colorado Belle/Edgewater Resort",""
"3737","Riviera Hotel And Casino",""
"3738","Tropicana Resort And Casino",""
"3739","Woodside Hotels And Resorts",""
"3740","Townplace Suites",""
"3741","Millenium Broadway Hotel",""
"3742","Club Med",""
"3743","Biltmore Hotel And Suites",""
"3744","Carefree Resorts",""
"3745","St. Regis Hotel",""
"3746","The Eliot Hotel",""
"3747","Clubcorp/club Resorts",""
"3748","Welesley Inns",""
"3749","The Beverly Hills Hotel",""
"3750","Crowne Plaza Hotels",""
"3751","Homewood Suites",""
"3752","Peabody Hotels",""
"3753","Greenbriah Resorts",""
"3754","Amelia Island Planation",""
"3755","The Homestead",""
"3756","South Seas Resorts",""
"3757","Отели, мотели, курорты",""
"3758","Отели, мотели, курорты",""
"3759","Отели, мотели, курорты",""
"3760","Отели, мотели, курорты",""
"3761","Отели, мотели, курорты",""
"3762","Отели, мотели, курорты",""
"3763","Отели, мотели, курорты",""
"3764","Отели, мотели, курорты",""
"3765","Отели, мотели, курорты",""
"3766","Отели, мотели, курорты",""
"3767","Отели, мотели, курорты",""
"3768","Отели, мотели, курорты",""
"3769","Отели, мотели, курорты",""
"3770","Отели, мотели, курорты",""
"3771","Отели, мотели, курорты",""
"3772","Отели, мотели, курорты",""
"3773","Отели, мотели, курорты",""
"3774","Отели, мотели, курорты",""
"3775","Отели, мотели, курорты",""
"3776","Отели, мотели, курорты",""
"3777","Отели, мотели, курорты",""
"3778","Отели, мотели, курорты",""
"3779","Отели, мотели, курорты",""
"3780","Отели, мотели, курорты",""
"3781","Отели, мотели, курорты",""
"3782","Отели, мотели, курорты",""
"3783","Отели, мотели, курорты",""
"3784","Отели, мотели, курорты",""
"3785","Отели, мотели, курорты",""
"3786","Отели, мотели, курорты",""
"3787","Отели, мотели, курорты",""
"3788","Отели, мотели, курорты",""
"3789","Отели, мотели, курорты",""
"3790","Отели, мотели, курорты",""
"3791","Отели, мотели, курорты",""
"3792","Отели, мотели, курорты",""
"3793","Отели, мотели, курорты",""
"3794","Отели, мотели, курорты",""
"3795","Отели, мотели, курорты",""
"3796","Отели, мотели, курорты",""
"3797","Отели, мотели, курорты",""
"3798","Отели, мотели, курорты",""
"3799","Отели, мотели, курорты",""
"3800","Homestead Suites",""
"3801","Wilderness Hotel and Resort",""
"3802","The Palace Hotel",""
"3803","The Wigwam Golf Resort and Spa",""
"3804","The Diplomat Country Club and Spa",""
"3805","The Atlantic",""
"3806","Princeville Resort",""
"3807","Element",""
"3808","LXR (Luxury Resorts)",""
"3809","Settle Inn",""
"3810","La Costa Resort",""
"3811","Premier Travel Inns",""
"3812","Hyatt Place",""
"3813","Hotel Indigo",""
"3814","The Roosevelt Hotel NY",""
"3815","Nickelodeon Family Suites by Holiday Inn",""
"3816","Home2Suites",""
