Customer Lifetime Value;Income;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Response
2413.139714;27501;63;20;0;0;1;0
15363.84716;15897;101;30;99;0;2;0
8456.961887;25141;73;12;4;1;2;0
2189.642522;0;61;5;46;3;1;0
5780.182197;51066;74;23;0;0;8;0
4639.981638;28358;117;24;37;0;1;0
4465.335703;61846;112;1;48;0;1;0
5968.118877;90972;74;3;47;0;8;0
5097.763337;0;74;3;95;0;7;0
4076.634665;29549;104;17;51;0;1;0
12252.60179;0;115;12;17;1;2;0
16936.27147;39411;217;4;29;2;4;0
4892.435461;21709;62;28;17;0;3;0
9942.304791;67890;85;23;57;0;2;0
3735.838129;0;110;3;16;0;1;0
13117.52215;84311;111;11;98;4;2;0
4574.524094;99316;114;26;53;0;1;0
5470.060561;54507;138;20;11;0;1;0
2978.84601;64586;76;3;17;0;1;0
6410.967544;61709;82;5;41;2;7;0
4479.023088;94656;111;12;79;1;1;0
2383.731879;0;69;5;40;0;1;0
2764.493659;61085;70;27;34;1;1;0
7920.105377;89284;67;7;31;3;2;0
6889.097981;0;63;6;12;0;2;0
3274.194616;31686;81;11;33;0;1;0
9951.707743;56855;255;12;1;0;1;0
2521.555686;53703;67;3;45;2;1;0
23706.11337;0;96;12;35;1;2;0
6047.02516;20396;76;15;60;1;4;0
11140.30248;27679;150;30;28;0;3;0
4334.064096;23904;123;1;67;3;1;0
2799.74791;65351;69;4;54;0;1;0
7923.136624;0;113;20;1;0;7;0
3688.110888;0;63;0;54;3;7;0
12067.45599;0;116;14;35;0;2;0
2924.976721;64459;72;16;64;0;1;0
15014.0927;32961;190;13;53;0;3;0
9277.233839;71416;116;10;0;0;3;0
6274.123875;68964;78;15;6;0;3;0
3886.647414;78108;98;12;34;0;1;0
4386.277558;10621;67;28;22;0;5;0
11365.26766;84910;95;4;69;0;2;0
5610.96434;77493;70;2;35;0;3;0
2912.892035;81097;74;7;67;0;1;0
6915.729915;96610;85;6;23;0;3;0
6262.663307;30110;159;20;71;0;1;0
6503.397049;22081;84;1;9;0;6;0
8007.399376;0;112;12;93;0;3;0
2929.916512;98473;72;19;69;0;1;0
5969.55297;97431;74;1;72;0;3;0
5473.15987;93870;69;1;96;0;8;0
5645.396665;50366;72;9;5;0;9;0
6369.262355;34498;83;30;72;0;7;0
11833.76732;16552;103;23;53;0;2;0
6121.107929;26787;77;7;50;0;5;0
5159.369746;0;74;2;42;0;9;0
2514.59196;43860;65;15;58;0;1;0
8668.611261;21474;114;13;72;2;9;0
4960.965384;18174;66;8;16;0;9;0
5504.139033;0;73;18;45;0;5;0
7507.455372;60920;64;10;61;0;2;0
32269.85139;41520;90;18;70;0;2;0
5657.031588;0;152;12;89;0;1;0
5061.757902;0;68;19;16;0;8;0
5912.783829;72208;73;3;84;0;8;0
15182.27975;53863;63;12;30;0;2;0
10747.03094;66446;136;8;77;0;3;0
2050.623512;0;61;18;26;0;1;0
2465.444865;64997;63;7;99;1;1;0
5343.121327;64460;66;18;42;0;3;0
8119.829071;46618;67;22;77;0;2;0
4605.265164;0;64;13;64;0;4;0
6408.785577;49988;84;6;37;5;5;0
2376.533508;0;91;2;8;5;1;0
3211.070017;16269;86;6;84;0;1;0
5094.522262;72006;64;4;38;0;3;0
25755.27817;0;81;3;60;2;2;0
8672.229719;0;245;34;83;0;1;0
8044.73072;44320;67;13;79;0;2;0
4001.519098;19782;108;13;66;0;1;0
16706.11699;63933;70;35;98;0;2;0
8544.411077;28224;109;13;13;0;8;0
7805.31287;21073;106;25;54;1;3;0
6112.756868;63243;77;21;73;0;3;0
4772.943848;20993;133;35;90;0;1;0
10979.09559;94827;135;5;64;0;4;0
5004.263818;39161;63;18;83;1;4;0
13223.04379;37534;84;2;0;2;2;0
2623.31543;80210;65;30;28;0;1;0
17840.19555;0;62;32;59;0;2;0
5106.111827;30110;64;2;4;0;5;0
17930.60451;21708;68;28;77;0;2;0
5457.342569;94731;67;23;65;0;4;0
6563.644143;32375;83;17;83;0;6;0
4812.525221;16531;63;0;40;0;4;0
29328.04185;32006;94;28;7;0;2;0
5773.520711;81676;72;21;86;0;8;0
6847.1189;71038;86;15;56;0;3;0
3595.31286;0;103;20;43;0;1;0
22855.61209;20832;65;8;32;0;2;0
7859.414569;0;113;19;10;0;7;0
4115.577437;52405;103;2;27;0;1;0
5029.638777;0;133;3;89;0;1;0
4821.418454;26583;128;6;46;4;1;0
5004.310469;25486;65;15;53;0;3;0
8630.053943;24065;111;30;1;0;5;0
9322.08512;70435;116;0;50;0;4;0
16727.56063;0;76;33;36;2;2;0
3652.532435;39679;92;2;85;0;1;0
6158.601171;0;89;13;45;0;5;0
4376.083958;0;69;21;70;4;3;0
5569.456156;53565;71;27;34;1;6;0
2576.513006;37574;66;19;14;1;1;0
8346.983233;48259;108;14;79;0;3;0
6323.923864;78532;78;25;87;0;3;0
5973.14343;96163;73;23;90;0;3;0
4706.676993;0;72;0;86;0;7;0
8093.410258;0;114;9;72;1;5;0
5035.744643;72672;63;7;39;0;5;0
9027.867218;99002;112;33;75;1;8;0
7288.884849;79494;91;19;30;0;3;0
18042.47942;35704;225;21;35;0;8;0
4992.063043;0;71;6;5;0;3;0
9102.267849;26049;118;17;6;0;6;0
2540.407726;70125;64;21;77;0;1;0
12941.89193;52369;110;34;49;1;2;0
2365.348601;0;66;25;51;2;1;0
5720.765064;41770;72;0;60;0;9;0
7035.534088;0;101;16;88;0;8;0
2636.97773;31911;67;33;27;0;1;0
5395.831967;70051;68;15;69;0;8;0
8382.630118;19683;117;17;41;1;9;0
31161.74523;30916;112;7;65;0;2;0
2887.742258;0;80;24;95;0;1;0
8714.922135;0;118;14;64;0;4;0
25585.72783;0;116;0;45;0;2;0
10272.6082;60145;132;8;28;0;3;0
4376.363592;63774;111;18;63;0;1;0
5318.89664;25134;67;3;0;0;6;0
4719.762191;37057;61;5;48;1;6;0
4428.031583;58577;110;6;62;0;1;0
5879.176092;85857;73;3;19;0;6;0
9416.908485;70602;116;8;47;0;3;0
8288.155579;33816;106;10;97;2;3;0
32654.8383;0;153;7;75;0;2;0
4719.450052;89642;121;11;20;4;1;0
3903.474784;60068;98;17;75;0;1;0
5457.259678;50044;139;16;14;0;1;0
2725.356404;36650;69;2;70;1;1;0
4433.97368;50653;110;29;42;0;1;0
5332.462694;68931;66;32;30;0;7;0
2315.094985;0;73;14;39;1;1;0
5411.953687;0;73;1;22;0;5;0
9587.33234;39266;80;33;31;0;2;0
22103.5072;0;102;35;48;0;2;0
9764.945308;0;98;24;11;1;2;0
2567.151468;40864;65;2;75;0;1;0
2650.622781;39035;68;15;65;0;1;0
11264.36334;34923;98;23;82;0;2;0
2168.523464;0;63;1;56;0;1;0
8610.667489;0;111;27;36;0;9;0
2834.646235;24506;71;7;47;0;1;0
8930.139728;0;82;25;63;0;2;0
5536.386959;52220;70;17;42;1;5;0
2840.85429;0;74;17;73;0;1;0
8082.880956;53554;67;6;5;0;2;0
5254.734278;34476;67;23;49;1;3;0
5116.237577;0;70;1;11;0;5;0
3034.646997;68205;76;35;14;0;1;0
8024.89992;0;119;6;48;1;8;0
18211.14319;53690;154;20;97;0;2;0
5121.563312;0;72;2;22;0;5;0
2150.178588;0;61;28;31;0;1;0
5595.389905;74454;71;25;29;0;3;0
7562.824036;0;73;23;91;0;2;0
5385.853211;29664;71;1;69;0;3;0
4718.558501;15680;64;20;29;0;8;0
9422.567923;47272;79;17;17;3;2;0
3605.860265;21585;92;35;61;0;1;0
7762.590564;23827;106;18;77;2;3;0
23444.90045;69906;74;34;32;2;2;0
2558.178159;0;72;7;77;0;1;0
5123.170887;89879;63;17;20;0;3;0
2537.744494;0;69;9;89;0;1;0
2969.593296;46131;74;27;28;0;1;0
4363.124641;54514;109;5;36;3;1;0
5884.308607;0;161;29;1;0;1;0
5272.191556;96668;66;2;95;0;3;0
5509.895664;78879;69;9;67;1;4;0
16313.68349;0;69;21;86;0;2;0
5678.050167;0;76;8;44;0;3;0
12101.20884;0;112;28;30;0;2;0
2453.570794;29735;69;3;92;0;1;0
5075.66267;23082;65;18;90;0;7;0
3214.979402;53984;80;15;62;0;1;0
12275.34309;52135;156;6;86;0;9;0
2722.210707;17576;71;29;70;0;1;0
2457.440923;29486;62;19;73;0;1;0
3554.845264;58557;88;4;83;0;1;0
4929.549699;25632;63;27;52;0;7;0
8036.45034;0;112;7;42;0;9;0
4276.915328;18768;68;19;53;3;3;0
33473.34946;33190;106;18;95;0;2;0
5960.581363;47945;74;32;39;0;3;0
44795.46942;58778;126;6;62;0;2;0
3832.118106;15192;100;1;7;0;1;0
6837.932624;51859;171;0;21;0;1;0
5285.26816;23422;72;25;76;0;3;0
3096.511217;21604;79;14;28;0;1;0
3589.710715;79298;90;22;2;0;1;0
2582.408525;76731;64;2;68;0;1;0
2487.729726;67282;62;29;27;0;1;0
13575.67599;48534;115;29;79;1;2;0
4685.504251;77678;116;32;81;0;1;0
28685.82785;48412;104;15;23;0;2;0
2764.032126;33837;72;29;54;4;1;0
6183.111464;23712;85;2;20;0;3;0
3873.647046;28142;105;18;50;0;1;0
18929.3306;72196;68;8;61;0;2;0
5553.295758;68197;69;1;81;0;3;0
5011.259184;75248;63;13;71;0;5;0
10442.44633;0;98;9;50;0;2;0
2199.61781;0;65;5;19;1;1;0
8709.845263;41546;111;4;47;0;3;0
7484.310483;46998;96;13;98;0;6;0
2613.023132;57099;67;20;37;0;1;0
9080.639651;33897;114;15;67;0;8;0
13770.97618;59207;116;23;21;0;2;0
2876.822941;40171;73;8;78;0;1;0
5548.031892;67798;69;1;78;0;9;0
5097.526248;21665;136;0;25;0;1;0
24143.87556;0;87;9;75;0;2;0
3538.059456;0;67;12;67;5;7;0
29091.23936;34226;244;29;22;0;2;0
19834.20115;65989;123;4;43;1;2;0
4731.366975;30686;61;22;45;0;3;0
35537.846;0;113;15;6;0;2;0
34611.37896;20090;109;10;59;0;2;0
20216.30883;0;183;6;16;0;2;0
13976.51925;77094;176;25;29;0;5;0
5904.088162;97413;73;21;80;0;6;0
5595.835041;79189;69;6;97;0;4;0
2294.303629;0;62;5;31;0;1;0
6273.911874;18577;86;21;76;0;6;0
3726.727996;0;112;7;34;1;1;0
5285.118669;40783;67;13;43;1;9;0
5110.680779;0;74;34;51;0;4;0
7126.596501;17483;183;24;63;0;1;0
4601.634099;84394;114;9;38;0;1;0
9155.239699;0;127;3;93;0;3;0
14808.05624;41440;62;20;80;1;2;0
8901.678357;0;136;14;69;1;8;0
5734.598243;98132;71;10;61;0;3;0
4177.696973;0;112;4;49;0;1;0
27776.28906;88220;230;28;63;0;2;0
10364.34749;58327;129;31;5;0;3;0
7851.901368;25950;66;27;1;0;2;0
4772.943848;20993;133;35;90;0;1;0
14226.50485;65726;177;35;90;0;7;0
4031.104947;0;63;35;59;3;3;0
2794.907476;39783;72;28;43;0;1;0
4362.931238;58842;110;6;74;0;1;0
9624.524417;25629;124;3;70;2;6;0
5015.009472;48567;130;12;15;0;1;0
6948.422239;0;196;0;73;2;1;0
2896.918767;33746;74;1;6;1;1;0
21903.91364;22254;79;22;75;0;2;0
9028.821403;65974;113;3;43;0;3;0
5303.759534;0;76;18;63;0;3;0
4165.354461;17161;113;1;22;1;1;0
5123.768112;0;74;1;62;0;7;0
9492.342964;0;132;9;85;0;6;0
8204.863191;0;73;9;14;0;2;0
9877.295699;67752;131;4;40;4;9;0
4815.009736;25398;64;30;80;0;6;0
6277.011679;0;88;30;19;0;4;0
8260.639809;33321;105;6;2;0;3;0
2549.450038;0;78;13;32;0;1;0
4502.679656;68798;114;19;69;0;1;0
3803.921781;20325;100;4;6;0;1;0
8635.4035;13129;117;15;93;0;6;0
5510.558964;0;73;24;57;0;4;0
3585.884123;49080;91;14;68;0;1;0
4889.25278;42536;63;30;57;0;6;0
2756.941661;29926;74;25;34;0;1;0
3289.547398;0;86;5;55;0;1;0
10937.1785;21450;138;15;35;0;4;0
7375.567916;33345;65;32;52;0;2;0
10110.77818;15752;90;27;37;0;2;0
5119.414293;40169;65;1;47;1;3;0
8533.832013;26049;113;10;15;1;9;0
2224.768;0;68;3;4;0;1;0
8042.803784;55411;100;24;53;0;4;0
2554.437138;12459;70;4;41;0;1;0
18073.93999;64620;76;24;32;1;2;0
2430.506586;83140;61;25;70;0;1;0
3167.658442;0;92;20;50;0;1;0
5465.603983;54422;68;9;8;0;5;0
10357.51422;68309;131;4;67;0;9;0
2537.813878;56621;65;27;36;2;1;0
2821.947219;38977;70;27;22;0;1;0
7757.128146;0;111;32;13;0;3;0
4079.132667;0;114;12;43;0;1;0
5955.544552;0;83;35;87;0;8;0
14158.61364;83235;70;16;33;0;2;0
8487.238032;0;74;7;93;0;2;0
6285.476868;32390;80;20;36;0;8;0
11473.48149;66538;95;14;64;0;2;0
2310.882998;0;64;12;24;0;1;0
23594.6802;76358;66;25;3;0;2;0
2514.59196;43860;65;15;58;0;1;0
5380.898636;55350;67;0;13;0;9;0
4770.550911;12964;65;2;37;0;4;0
6756.651404;33288;86;1;27;2;9;0
5936.011773;0;84;31;25;0;3;0
3570.760509;56168;88;13;20;0;1;0
6019.960469;0;92;3;28;0;4;0
5426.863953;23105;69;15;21;0;3;0
2730.313804;36218;68;6;83;0;1;0
4982.681374;52275;62;6;88;0;5;0
8769.266756;49665;74;5;51;0;2;0
4220.613534;32471;110;0;87;0;1;0
11537.50507;0;86;12;89;1;2;0
5887.182043;62773;73;19;57;0;9;0
4700.583771;76694;117;34;23;0;1;0
10963.95723;55687;276;33;91;0;1;0
2523.171245;0;70;20;81;0;1;0
3757.804716;36633;96;20;61;1;1;0
12941.73353;77060;106;23;90;0;2;0
3764.465074;92600;94;9;48;0;1;0
6889.557028;0;66;2;75;0;2;0
3623.454198;0;111;6;24;2;1;0
7582.113842;64801;64;23;19;0;2;0
8277.74558;45257;103;33;90;0;4;0
2576.455597;26854;66;31;70;0;1;0
8205.387936;85840;102;14;79;2;4;0
19582.46887;26463;72;28;93;0;2;0
6481.526576;30689;81;23;51;0;5;0
2599.310879;29590;66;17;18;0;1;0
9830.337629;25965;253;15;59;0;1;0
10442.65139;17269;139;3;31;0;5;0
36057.53702;90330;137;0;86;3;2;0
8470.036773;0;113;34;5;0;8;0
8278.786492;0;110;20;66;0;7;0
4788.932598;0;67;2;49;1;3;0
3087.999917;18558;80;17;23;0;1;0
4443.736209;46384;113;33;93;0;1;0
7984.086473;0;72;1;77;0;2;0
7180.971028;42303;180;24;66;0;1;0
15656.03434;71731;130;12;50;0;2;0
5780.182197;51066;74;23;0;0;8;0
20714.94043;0;203;20;66;0;2;0
5337.352409;0;86;19;93;3;5;0
5050.826183;0;69;16;45;0;6;0
5116.624022;26173;68;2;10;1;9;0
7268.736958;24445;63;18;15;0;2;0
2616.613903;72302;66;6;27;0;1;0
3738.436222;27208;102;10;65;0;1;0
2725.356404;36650;69;2;70;1;1;0
5453.861203;30855;68;7;15;0;7;0
6846.150323;0;95;13;20;0;5;0
6172.914199;99960;76;19;83;0;4;0
10346.32454;0;98;1;15;0;2;0
6997.008618;55873;88;30;19;0;6;0
4196.257691;18052;111;5;71;0;1;0
7858.109763;28937;104;28;23;2;6;0
6064.343994;0;86;34;80;0;5;0
17497.52201;0;73;9;94;0;2;0
8970.647312;12829;118;33;1;0;9;0
5923.117229;92163;73;3;79;0;6;0
35850.59935;17588;192;24;92;0;2;0
4331.460674;82302;106;11;92;0;1;0
13309.33517;0;127;19;40;0;2;0
4528.50489;70340;113;5;56;0;1;0
2791.906514;0;74;35;59;0;1;0
8092.87696;50825;102;3;46;0;3;0
7996.00748;93459;99;9;85;0;5;0
5129.738992;86148;65;19;51;2;4;0
5697.175238;27048;72;5;85;0;4;0
9217.130629;73259;115;7;31;0;4;0
10208.92761;35482;129;21;59;0;3;0
4170.687348;29462;107;28;23;1;1;0
4505.405812;67801;115;12;45;1;1;0
3107.568648;0;94;34;59;4;1;0
5528.664986;16042;73;33;58;0;9;0
5045.866663;28056;64;32;41;1;8;0
2962.722482;16495;85;25;75;3;1;0
8665.956372;41163;108;11;66;0;3;0
11413.44115;0;161;3;71;1;9;0
15488.43196;33799;109;28;52;3;2;0
6048.574243;0;61;17;71;3;2;0
5934.741492;87747;147;3;87;1;1;0
3543.232138;35695;90;2;7;0;1;0
3490.028304;90985;87;33;39;0;1;0
3683.099864;0;101;19;16;0;1;0
5989.773931;66839;154;33;24;0;1;0
12500.84302;0;165;16;43;0;3;0
8609.158215;79090;107;2;74;0;3;0
2497.45507;24825;64;34;44;0;1;0
7019.177186;26806;63;32;19;0;2;0
5387.926265;56835;67;25;16;0;3;0
6165.557517;0;88;12;54;0;6;0
2730.20294;46135;69;12;68;0;1;0
5162.116944;0;73;21;87;0;4;0
7937.064822;22862;67;9;40;0;2;0
8608.157233;21450;110;8;80;2;3;0
2632.545795;95854;65;16;78;0;1;0
7785.004214;44897;99;22;46;1;7;0
8255.76385;54040;103;14;88;0;4;0
4980.825042;53265;62;12;27;0;3;0
7457.237794;0;198;18;55;1;1;0
12302.76244;43817;62;25;12;1;2;0
6862.508337;54780;88;22;72;3;5;0
9048.983447;0;119;9;8;0;3;0
5548.031892;67798;69;1;78;0;9;0
8312.681598;21442;118;32;84;0;3;0
2389.980951;27615;62;19;18;1;1;0
4458.113369;17622;65;1;36;1;3;0
5295.741716;50200;135;23;98;0;1;0
3839.606117;0;112;3;51;2;1;0
3731.504584;0;96;31;34;0;1;0
2778.903705;73570;70;0;46;1;1;0
4016.541995;0;111;4;85;0;1;0
8236.917193;0;106;11;15;0;6;0
2491.317024;36631;62;30;77;0;1;0
2908.875917;35895;73;11;51;0;1;0
4282.947971;40864;109;16;70;1;1;0
8341.623748;0;118;15;77;0;4;0
5090.781344;93018;63;5;90;0;3;0
7366.1883;70014;62;6;4;0;2;0
2436.875126;48875;61;20;9;0;1;0
8852.688689;67969;74;11;14;0;2;0
23875.47675;0;108;8;55;0;2;0
5600.496541;68665;69;33;67;0;7;0
4636.54647;26802;66;7;43;1;5;0
7573.345057;0;110;6;37;0;6;0
14696.63549;45345;125;0;73;0;2;0
12298.6863;17101;113;1;88;0;2;0
7724.840065;32051;193;4;40;1;1;0
5946.670679;81139;74;22;69;0;3;0
8000.545061;63834;100;23;19;1;3;0
6457.560953;37548;81;12;9;0;3;0
7281.44014;0;69;28;28;3;2;0
2592.437797;72421;65;8;23;0;1;0
4678.423394;83102;116;15;35;0;1;0
13869.92705;28432;118;1;59;0;2;0
8717.777831;83707;108;2;72;0;7;0
5233.986808;63259;65;25;14;0;7;0
4764.189722;0;67;18;73;0;8;0
2472.469209;63860;62;26;81;0;1;0
5608.316348;67176;72;20;90;0;9;0
5505.057003;86132;68;30;10;0;3;0
2606.208503;28519;66;1;56;0;1;0
10481.94383;39102;88;11;98;0;2;0
3256.766388;0;89;17;56;0;1;0
30475.78048;97298;128;16;38;0;2;0
6364.902164;41986;84;25;31;2;5;0
9468.509337;0;88;6;47;0;2;0
5631.451866;17291;73;3;25;0;5;0
7780.999262;0;74;0;52;0;2;0
9816.528302;37256;62;15;7;0;2;0
7519.133631;96306;95;12;17;1;6;0
10179.71704;14290;271;20;40;0;1;0
2772.839235;37038;71;6;97;1;1;0
4037.501846;90760;103;5;7;2;1;0
21435.87782;20668;188;34;54;3;2;0
2676.867914;54480;67;19;91;0;1;0
2523.959554;16244;68;4;85;0;1;0
6988.401604;22436;89;24;21;0;3;0
2695.963857;25544;68;18;30;0;1;0
2673.319593;28728;67;8;10;0;1;0
12157.32992;57449;103;6;28;0;2;0
2957.764017;83318;73;21;42;0;1;0
7433.820995;55561;63;2;79;0;2;0
3099.538005;0;102;18;32;5;1;0
8415.684559;55308;107;17;74;0;6;0
26843.12452;36068;97;0;10;0;2;0
13057.17071;48804;112;1;4;1;2;0
9599.950239;0;131;6;52;0;6;0
8535.108918;55790;111;4;40;0;9;0
8293.481886;70258;69;20;65;0;2;0
6846.150323;0;95;13;20;0;5;0
6636.859781;47274;83;32;26;1;5;0
5802.83547;0;78;27;10;0;8;0
5077.320916;0;73;26;84;0;3;0
12427.39371;15818;107;24;99;0;2;0
10990.59477;44552;137;7;42;0;3;0
3435.25008;64348;86;25;18;0;1;0
6624.61183;0;62;27;53;0;2;0
5757.442258;88997;72;9;71;0;3;0
2691.568951;77411;67;30;63;0;1;0
2886.451602;10312;78;10;63;0;1;0
5341.438779;0;72;4;11;1;7;0
4160.018087;96263;103;5;5;0;1;0
2846.24535;28919;72;18;11;0;1;0
4770.256564;0;68;2;28;1;4;0
5059.616223;41869;64;5;52;0;6;0
9095.744565;0;128;5;76;0;8;0
2688.863963;32808;68;1;88;1;1;0
8277.637562;79780;68;11;58;0;2;0
9057.935331;91025;112;26;37;0;9;0
3801.750407;33043;95;15;90;0;1;0
9339.341599;69442;118;26;6;3;3;0
2520.12318;0;70;18;47;0;1;0
4984.095342;0;70;25;48;0;9;0
2595.747991;47234;65;11;34;0;1;0
7437.693335;86863;92;27;26;0;3;0
14536.78759;25805;66;25;0;2;2;0
5913.305869;43676;76;19;7;0;3;0
2771.663013;59855;74;30;82;4;1;0
29194.36639;35296;126;19;11;0;2;0
9880.38582;36576;125;11;73;1;3;0
15114.40241;28513;100;4;22;1;2;0
5759.91084;85448;72;16;76;0;3;0
8495.164213;23791;110;11;71;3;7;0
4381.184212;20597;112;31;46;0;1;0
6997.827397;56940;87;11;10;0;9;0
11430.58845;93210;71;35;62;0;2;0
7482.486135;48992;94;30;0;1;7;0
8596.916624;53736;71;2;20;0;2;0
7854.960831;25378;66;22;32;1;2;0
2582.408525;76731;64;2;68;0;1;0
2275.363967;0;64;11;85;0;1;0
4118.588554;69379;103;14;79;0;1;0
12157.32992;57449;103;6;28;0;2;0
5152.819636;0;68;7;31;0;7;0
6512.976472;0;93;30;70;0;6;0
27789.69235;33806;89;32;59;0;2;0
