TARGET;GEN_INDUSTRY;GEN_TITLE;ORG_TP_STATE;ORG_TP_FCAPITAL;JOB_DIR
0;Торговля;Рабочий;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Торговля;Руководитель среднего звена;Частная компания;Без участия;Участие в основ. деятельности
1;Другие сферы;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Другие сферы;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;;;;;
0;Металлургия/Промышленность/Машиностроение;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Руководитель среднего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Транспорт;Работник сферы услуг;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Рабочий;Государственная комп./учреж.;Без участия;Вспомогательный техперсонал
0;Банк/Финансы;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Руководитель высшего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Ресторанный бизнес/Общественное питание;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Руководитель высшего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;;;;;
0;Торговля;Специалист;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Рабочий;Государственная комп./учреж.;Без участия;Пр-техн. обесп. и телеком.
0;;;;;
0;Торговля;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Государственная служба;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Образование;Высококвалифиц. специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Образование;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Строительство;Специалист;Индивидуальный предприниматель;С участием;Участие в основ. деятельности
0;Торговля;Работник сферы услуг;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Государственная служба;Военнослужащий по контракту;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Строительство;Высококвалифиц. специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;;;;;
0;Строительство;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;;;;;
0;Образование;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Военнослужащий по контракту;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
1;Торговля;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;;;;;
0;Здравоохранение;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;;;;;
0;Сельское хозяйство;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Металлургия/Промышленность/Машиностроение;Служащий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Рабочий;Государственная комп./учреж.;Без участия;Пр-техн. обесп. и телеком.
0;;;;;
0;Транспорт;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Другие сферы;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Военнослужащий по контракту;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Рабочий;Частная компания;Без участия;Вспомогательный техперсонал
0;Металлургия/Промышленность/Машиностроение;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Страхование;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Другие сферы;Руководитель среднего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Нефтегазовая промышленность;Специалист;Частная компания;Без участия;Участие в основ. деятельности
1;Металлургия/Промышленность/Машиностроение;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Банк/Финансы;Специалист;Государственная комп./учреж.;Без участия;Бухгалтерия, финансы, планир.
0;Коммунальное хоз-во/Дорожные службы;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;СМИ/Реклама/PR-агенства;Высококвалифиц. специалист;Частная компания;Без участия;Бухгалтерия, финансы, планир.
0;Транспорт;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Торговля;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Руководитель среднего звена;Частная компания;Без участия;Участие в основ. деятельности
0;Ресторанный бизнес/Общественное питание;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Образование;Рабочий;Государственная комп./учреж.;Без участия;Вспомогательный техперсонал
0;Сельское хозяйство;Рабочий;Некоммерческая организация;Без участия;Участие в основ. деятельности
0;Другие сферы;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Другие сферы;Работник сферы услуг;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Государственная служба;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Энергетика;Руководитель низшего звена;Государственная комп./учреж.;Без участия;Снабжение и сбыт
0;Строительство;Руководитель высшего звена;Частная компания;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Здравоохранение;Другое;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Специалист;Частная компания;Без участия;Бухгалтерия, финансы, планир.
0;Другие сферы;Рабочий;Государственная комп./учреж.;Без участия;Вспомогательный техперсонал
0;Государственная служба;Руководитель среднего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Другие сферы;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Служащий;Частная компания;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;;;;;
0;Государственная служба;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;;;;;
0;Сельское хозяйство;Рабочий;Некоммерческая организация;Без участия;Участие в основ. деятельности
0;Энергетика;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Другие сферы;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;;;;;
0;Государственная служба;Военнослужащий по контракту;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Здравоохранение;Работник сферы услуг;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Высококвалифиц. специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Образование;Служащий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Строительство;Служащий;Частная компания;Без участия;Вспомогательный техперсонал
0;Государственная служба;Служащий;Государственная комп./учреж.;Без участия;Служба безопасности
0;Образование;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Нефтегазовая промышленность;Специалист;Частная компания;Без участия;Пр-техн. обесп. и телеком.
0;Строительство;Руководитель низшего звена;Частная компания;Без участия;Участие в основ. деятельности
0;Государственная служба;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Банк/Финансы;Служащий;Частная компания;С участием;Участие в основ. деятельности
0;Сельское хозяйство;Служащий;Частная компания;Без участия;Участие в основ. деятельности
0;Торговля;Рабочий;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Транспорт;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;;;;;
0;Образование;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Транспорт;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Салоны красоты и здоровья;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Торговля;Работник сферы услуг;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Другие сферы;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;ЧОП/Детективная д-ть;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Служащий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Коммунальное хоз-во/Дорожные службы;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Государственная служба;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Коммунальное хоз-во/Дорожные службы;Специалист;Некоммерческая организация;Без участия;Участие в основ. деятельности
0;Торговля;Высококвалифиц. специалист;Частная компания;Без участия;Бухгалтерия, финансы, планир.
0;Торговля;Высококвалифиц. специалист;Частная компания;Без участия;Бухгалтерия, финансы, планир.
0;Ресторанный бизнес/Общественное питание;Рабочий;Частная компания;Без участия;Вспомогательный техперсонал
0;Другие сферы;Специалист;Частная компания;Без участия;Вспомогательный техперсонал
0;;;;;
0;Металлургия/Промышленность/Машиностроение;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Здравоохранение;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Развлечения/Искусство;Специалист;Частная компания;Без участия;Бухгалтерия, финансы, планир.
0;Государственная служба;Руководитель среднего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Здравоохранение;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Образование;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Специалист;Частная компания;Без участия;Бухгалтерия, финансы, планир.
0;Коммунальное хоз-во/Дорожные службы;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Руководитель высшего звена;Частная компания;Без участия;Бухгалтерия, финансы, планир.
0;Металлургия/Промышленность/Машиностроение;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Служащий;Государственная комп./учреж.;Без участия;Вспомогательный техперсонал
0;Сельское хозяйство;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Рабочий;Частная компания;Без участия;Вспомогательный техперсонал
0;Наука;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Нефтегазовая промышленность;Специалист;Частная компания;С участием;Участие в основ. деятельности
1;Строительство;Специалист;Индивидуальный предприниматель;Без участия;Снабжение и сбыт
0;Здравоохранение;Руководитель высшего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Транспорт;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Транспорт;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Специалист;Частная компания;Без участия;Вспомогательный техперсонал
0;Торговля;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Строительство;Руководитель среднего звена;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Металлургия/Промышленность/Машиностроение;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Ресторанный бизнес/Общественное питание;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Транспорт;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Специалист;Некоммерческая организация;Без участия;Участие в основ. деятельности
0;Нефтегазовая промышленность;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Здравоохранение;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Рабочий;Частная компания;Без участия;Вспомогательный техперсонал
0;Торговля;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Государственная служба;Военнослужащий по контракту;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Торговля;Рабочий;Частная компания;Без участия;Вспомогательный техперсонал
0;Металлургия/Промышленность/Машиностроение;Руководитель среднего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Здравоохранение;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Химия/Парфюмерия/Фармацевтика;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Руководитель среднего звена;Частная компания;Без участия;Адм-хоз. и трансп. службы
0;Образование;Руководитель высшего звена;Государственная комп./учреж.;Без участия;Адм-хоз. и трансп. службы
0;Другие сферы;Рабочий;Государственная комп./учреж.;Без участия;Вспомогательный техперсонал
0;;;;;
0;Другие сферы;Работник сферы услуг;Частная компания;Без участия;Участие в основ. деятельности
0;Образование;Специалист;Некоммерческая организация;Без участия;Участие в основ. деятельности
0;Строительство;Рабочий;Государственная комп./учреж.;Без участия;Вспомогательный техперсонал
0;Сельское хозяйство;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Другие сферы;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Образование;Специалист;Государственная комп./учреж.;Без участия;Адм-хоз. и трансп. службы
0;;;;;
0;Другие сферы;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;;;;;
0;Государственная служба;Работник сферы услуг;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Нефтегазовая промышленность;Высококвалифиц. специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Торговля;Специалист;Частная компания;Без участия;Снабжение и сбыт
0;;;;;
0;Другие сферы;Рабочий;Частная компания;Без участия;Вспомогательный техперсонал
0;Развлечения/Искусство;Специалист;Частная компания;Без участия;Участие в основ. деятельности
1;Другие сферы;Специалист;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Торговля;Служащий;Частная компания;Без участия;Участие в основ. деятельности
0;Торговля;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Другие сферы;Служащий;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Торговля;Специалист;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;ЧОП/Детективная д-ть;Служащий;Государственная комп./учреж.;Без участия;Адм-хоз. и трансп. службы
0;Образование;Служащий;Государственная комп./учреж.;Без участия;Вспомогательный техперсонал
1;Торговля;Рабочий;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Строительство;Специалист;Частная компания;Без участия;Адм-хоз. и трансп. службы
0;Государственная служба;Служащий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Здравоохранение;Высококвалифиц. специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Здравоохранение;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Работник сферы услуг;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Транспорт;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Руководитель среднего звена;Частная компания;Без участия;Служба безопасности
0;Государственная служба;Военнослужащий по контракту;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Образование;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Коммунальное хоз-во/Дорожные службы;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Государственная служба;Военнослужащий по контракту;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Работник сферы услуг;Частная компания;Без участия;Участие в основ. деятельности
0;;;;;
0;Транспорт;Служащий;Частная компания;Без участия;Участие в основ. деятельности
0;Торговля;Рабочий;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Коммунальное хоз-во/Дорожные службы;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Транспорт;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Коммунальное хоз-во/Дорожные службы;Руководитель среднего звена;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Рабочий;Частная компания;Без участия;Адм-хоз. и трансп. службы
1;Здравоохранение;Высококвалифиц. специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Образование;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Нефтегазовая промышленность;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Другие сферы;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Торговля;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;;;;;
1;Сельское хозяйство;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Транспорт;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Образование;Высококвалифиц. специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Руководитель высшего звена;Частная компания;Без участия;Бухгалтерия, финансы, планир.
0;Салоны красоты и здоровья;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Торговля;Руководитель высшего звена;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Строительство;Специалист;Частная компания;Без участия;Участие в основ. деятельности
1;Торговля;Рабочий;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Торговля;Руководитель высшего звена;Частная компания;Без участия;Участие в основ. деятельности
0;Торговля;Высококвалифиц. специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Образование;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Другие сферы;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Ресторанный бизнес/Общественное питание;Специалист;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Торговля;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Образование;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Химия/Парфюмерия/Фармацевтика;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
0;Торговля;Руководитель высшего звена;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Металлургия/Промышленность/Машиностроение;Рабочий;Частная компания;Без участия;Участие в основ. деятельности
1;Другие сферы;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Другие сферы;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
1;Сборочные производства;Специалист;Частная компания;Без участия;Вспомогательный техперсонал
0;Торговля;Служащий;Частная компания;Без участия;Участие в основ. деятельности
1;Ресторанный бизнес/Общественное питание;Специалист;Государственная комп./учреж.;Без участия;Вспомогательный техперсонал
0;Сельское хозяйство;Рабочий;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Здравоохранение;Высококвалифиц. специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Государственная служба;Специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
0;Сельское хозяйство;Индивидуальный предприниматель;Индивидуальный предприниматель;Без участия;Участие в основ. деятельности
0;Другие сферы;Специалист;Государственная комп./учреж.;Без участия;Бухгалтерия, финансы, планир.
0;;;;;
0;;;;;
1;Энергетика;Специалист;Частная компания;Без участия;Участие в основ. деятельности
0;Государственная служба;Высококвалифиц. специалист;Государственная комп./учреж.;Без участия;Участие в основ. деятельности
