Income;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Response
54422;68;9;8;0;5;0
68309;131;4;67;0;9;0
56621;65;27;36;2;1;0
38977;70;27;22;0;1;0
0;111;32;13;0;3;0
0;114;12;43;0;1;0
0;83;35;87;0;8;0
83235;70;16;33;0;2;0
0;74;7;93;0;2;0
32390;80;20;36;0;8;0
66538;95;14;64;0;2;0
0;64;12;24;0;1;0
76358;66;25;3;0;2;0
43860;65;15;58;0;1;0
55350;67;0;13;0;9;0
12964;65;2;37;0;4;0
33288;86;1;27;2;9;0
0;84;31;25;0;3;0
56168;88;13;20;0;1;0
0;92;3;28;0;4;0
23105;69;15;21;0;3;0
36218;68;6;83;0;1;0
52275;62;6;88;0;5;0
49665;74;5;51;0;2;0
32471;110;0;87;0;1;0
0;86;12;89;1;2;0
62773;73;19;57;0;9;0
76694;117;34;23;0;1;0
55687;276;33;91;0;1;0
0;70;20;81;0;1;0
36633;96;20;61;1;1;0
77060;106;23;90;0;2;0
92600;94;9;48;0;1;0
0;66;2;75;0;2;0
0;111;6;24;2;1;0
64801;64;23;19;0;2;0
45257;103;33;90;0;4;0
26854;66;31;70;0;1;0
85840;102;14;79;2;4;0
26463;72;28;93;0;2;0
30689;81;23;51;0;5;0
29590;66;17;18;0;1;0
25965;253;15;59;0;1;0
17269;139;3;31;0;5;0
90330;137;0;86;3;2;0
0;113;34;5;0;8;0
0;110;20;66;0;7;0
0;67;2;49;1;3;0
18558;80;17;23;0;1;0
46384;113;33;93;0;1;0
0;72;1;77;0;2;0
42303;180;24;66;0;1;0
71731;130;12;50;0;2;0
51066;74;23;0;0;8;0
0;203;20;66;0;2;0
0;86;19;93;3;5;0
0;69;16;45;0;6;0
26173;68;2;10;1;9;0
24445;63;18;15;0;2;0
72302;66;6;27;0;1;0
27208;102;10;65;0;1;0
36650;69;2;70;1;1;0
30855;68;7;15;0;7;0
0;95;13;20;0;5;0
99960;76;19;83;0;4;0
0;98;1;15;0;2;0
55873;88;30;19;0;6;0
18052;111;5;71;0;1;0
28937;104;28;23;2;6;0
0;86;34;80;0;5;0
0;73;9;94;0;2;0
12829;118;33;1;0;9;0
92163;73;3;79;0;6;0
17588;192;24;92;0;2;0
82302;106;11;92;0;1;0
0;127;19;40;0;2;0
70340;113;5;56;0;1;0
0;74;35;59;0;1;0
50825;102;3;46;0;3;0
93459;99;9;85;0;5;0
86148;65;19;51;2;4;0
27048;72;5;85;0;4;0
73259;115;7;31;0;4;0
35482;129;21;59;0;3;0
29462;107;28;23;1;1;0
67801;115;12;45;1;1;0
0;94;34;59;4;1;0
16042;73;33;58;0;9;0
28056;64;32;41;1;8;0
16495;85;25;75;3;1;0
41163;108;11;66;0;3;0
0;161;3;71;1;9;0
33799;109;28;52;3;2;0
0;61;17;71;3;2;0
87747;147;3;87;1;1;0
35695;90;2;7;0;1;0
90985;87;33;39;0;1;0
0;101;19;16;0;1;0
66839;154;33;24;0;1;0
0;165;16;43;0;3;0
79090;107;2;74;0;3;0
24825;64;34;44;0;1;0
26806;63;32;19;0;2;0
56835;67;25;16;0;3;0
0;88;12;54;0;6;0
46135;69;12;68;0;1;0
0;73;21;87;0;4;0
22862;67;9;40;0;2;0
21450;110;8;80;2;3;0
95854;65;16;78;0;1;0
44897;99;22;46;1;7;0
54040;103;14;88;0;4;0
53265;62;12;27;0;3;0
0;198;18;55;1;1;0
43817;62;25;12;1;2;0
54780;88;22;72;3;5;0
0;119;9;8;0;3;0
67798;69;1;78;0;9;0
21442;118;32;84;0;3;0
27615;62;19;18;1;1;0
17622;65;1;36;1;3;0
50200;135;23;98;0;1;0
0;112;3;51;2;1;0
0;96;31;34;0;1;0
73570;70;0;46;1;1;0
0;111;4;85;0;1;0
0;106;11;15;0;6;0
36631;62;30;77;0;1;0
35895;73;11;51;0;1;0
40864;109;16;70;1;1;0
0;118;15;77;0;4;0
93018;63;5;90;0;3;0
70014;62;6;4;0;2;0
48875;61;20;9;0;1;0
67969;74;11;14;0;2;0
0;108;8;55;0;2;0
68665;69;33;67;0;7;0
26802;66;7;43;1;5;0
0;110;6;37;0;6;0
45345;125;0;73;0;2;0
17101;113;1;88;0;2;0
32051;193;4;40;1;1;0
81139;74;22;69;0;3;0
63834;100;23;19;1;3;0
37548;81;12;9;0;3;0
0;69;28;28;3;2;0
72421;65;8;23;0;1;0
83102;116;15;35;0;1;0
28432;118;1;59;0;2;0
83707;108;2;72;0;7;0
63259;65;25;14;0;7;0
0;67;18;73;0;8;0
63860;62;26;81;0;1;0
67176;72;20;90;0;9;0
86132;68;30;10;0;3;0
28519;66;1;56;0;1;0
39102;88;11;98;0;2;0
0;89;17;56;0;1;0
97298;128;16;38;0;2;0
41986;84;25;31;2;5;0
0;88;6;47;0;2;0
17291;73;3;25;0;5;0
0;74;0;52;0;2;0
37256;62;15;7;0;2;0
96306;95;12;17;1;6;0
14290;271;20;40;0;1;0
37038;71;6;97;1;1;0
90760;103;5;7;2;1;0
20668;188;34;54;3;2;0
54480;67;19;91;0;1;0
16244;68;4;85;0;1;0
22436;89;24;21;0;3;0
25544;68;18;30;0;1;0
28728;67;8;10;0;1;0
57449;103;6;28;0;2;0
83318;73;21;42;0;1;0
55561;63;2;79;0;2;0
0;102;18;32;5;1;0
55308;107;17;74;0;6;0
36068;97;0;10;0;2;0
48804;112;1;4;1;2;0
0;131;6;52;0;6;0
55790;111;4;40;0;9;0
70258;69;20;65;0;2;0
0;95;13;20;0;5;0
47274;83;32;26;1;5;0
0;78;27;10;0;8;0
0;73;26;84;0;3;0
15818;107;24;99;0;2;0
44552;137;7;42;0;3;0
64348;86;25;18;0;1;0
0;62;27;53;0;2;0
88997;72;9;71;0;3;0
77411;67;30;63;0;1;0
10312;78;10;63;0;1;0
0;72;4;11;1;7;0
96263;103;5;5;0;1;0
28919;72;18;11;0;1;0
0;68;2;28;1;4;0
41869;64;5;52;0;6;0
0;128;5;76;0;8;0
32808;68;1;88;1;1;0
79780;68;11;58;0;2;0
91025;112;26;37;0;9;0
33043;95;15;90;0;1;0
69442;118;26;6;3;3;0
0;70;18;47;0;1;0
0;70;25;48;0;9;0
47234;65;11;34;0;1;0
86863;92;27;26;0;3;0
25805;66;25;0;2;2;0
43676;76;19;7;0;3;0
59855;74;30;82;4;1;0
35296;126;19;11;0;2;0
36576;125;11;73;1;3;0
28513;100;4;22;1;2;0
85448;72;16;76;0;3;0
23791;110;11;71;3;7;0
20597;112;31;46;0;1;0
56940;87;11;10;0;9;0
93210;71;35;62;0;2;0
48992;94;30;0;1;7;0
53736;71;2;20;0;2;0
25378;66;22;32;1;2;0
76731;64;2;68;0;1;0
0;64;11;85;0;1;0
69379;103;14;79;0;1;0
57449;103;6;28;0;2;0
0;68;7;31;0;7;0
0;93;30;70;0;6;0
33806;89;32;59;0;2;0
77048;103;20;41;0;1;0
74965;90;20;93;0;2;0
34095;63;5;99;0;2;0
0;66;16;35;4;1;0
96045;61;24;35;0;1;0
86355;118;27;86;0;2;0
27824;118;32;9;0;8;0
42995;101;10;22;0;2;0
21235;79;18;56;0;1;0
74585;106;1;49;0;1;0
41833;103;28;43;0;1;0
23908;70;18;57;0;4;0
0;65;9;31;0;2;0
61953;113;5;63;0;1;0
0;142;5;87;0;1;0
0;137;25;45;0;1;0
73760;107;16;3;1;2;0
23333;74;8;43;0;1;0
0;61;6;30;0;1;0
20440;128;11;54;2;9;0
86073;136;3;32;0;1;0
50943;139;18;14;0;1;0
19003;71;29;21;0;1;0
46703;108;0;48;0;6;0
14072;71;13;3;0;2;0
21733;73;17;37;0;2;0
20811;61;33;61;0;1;0
11904;61;34;11;2;3;0
43490;114;24;63;4;6;0
57340;67;7;19;0;2;0
49088;97;4;46;0;3;0
47761;131;2;54;0;6;0
70930;99;2;21;0;2;0
61281;110;7;16;0;7;0
0;82;4;77;1;3;0
25290;66;0;4;0;2;0
24239;88;25;5;0;8;0
82664;114;24;10;3;9;0
83210;110;0;25;0;3;0
38736;81;7;35;0;2;0
0;66;0;10;0;9;0
55437;64;5;78;1;2;0
0;130;0;93;0;1;0
0;71;33;83;0;3;0
29066;100;13;51;0;3;0
54337;72;27;7;0;1;0
67616;96;25;17;0;2;0
41082;63;23;94;0;2;0
0;73;12;71;0;4;0
36650;69;2;70;1;1;0
50631;112;19;12;4;2;0
19592;92;31;63;0;2;0
0;114;30;1;0;2;0
55761;115;22;73;0;2;0
17576;71;29;70;0;1;0
41449;89;15;45;0;5;0
14290;271;20;40;0;1;0
62007;73;4;7;0;3;0
21921;206;14;44;0;3;0
42621;66;8;3;0;3;0
0;87;16;41;1;2;0
63786;196;30;81;0;1;0
0;104;1;48;3;7;0
82877;99;8;89;1;3;0
0;63;0;75;0;1;0
10475;88;13;81;1;2;0
21952;66;20;31;0;6;0
49721;132;18;49;0;2;0
88340;102;16;1;0;2;0
0;65;7;28;0;1;0
0;65;14;62;0;2;0
24589;82;33;39;0;2;0
69379;103;14;79;0;1;0
73769;61;24;95;2;3;0
66670;114;23;6;0;1;0
88854;118;6;50;0;2;0
31266;193;6;79;0;1;0
43860;65;15;58;0;1;0
89284;133;4;62;2;1;0
67267;89;31;10;0;2;0
79270;95;28;61;3;2;0
36692;109;1;6;1;1;0
0;119;0;37;0;1;0
0;107;3;65;0;3;0
0;105;3;92;0;1;0
0;135;8;14;0;1;0
44624;71;10;79;1;2;0
0;71;1;23;0;2;0
19614;85;21;32;0;2;0
0;64;31;53;0;1;0
83846;74;22;94;3;2;0
51159;72;4;61;0;1;0
83772;62;13;76;0;1;0
66839;154;33;24;0;1;0
88440;70;19;30;0;2;0
25666;63;7;30;2;2;0
52926;61;2;92;0;1;0
0;67;16;90;0;1;0
40001;70;26;7;0;2;0
0;70;24;10;0;1;0
18024;65;13;1;0;3;0
0;68;19;2;3;2;0
23220;74;3;73;0;1;0
64125;108;3;44;0;3;0
58042;62;14;88;0;2;0
90034;112;5;86;0;1;0
27972;61;7;38;0;1;0
0;65;6;45;0;2;0
50989;80;3;11;0;1;0
11885;101;18;39;0;2;0
89451;63;11;2;0;1;0
0;182;3;56;0;2;0
78904;109;10;38;0;9;0
70247;83;13;19;1;1;0
32653;67;4;25;0;9;0
93595;97;15;30;4;1;0
90279;115;7;64;0;2;0
0;72;3;56;0;3;0
53310;189;26;33;3;1;0
0;105;5;42;0;5;0
22234;160;0;92;0;3;0
91375;99;22;89;0;2;0
22250;86;10;36;0;3;0
0;80;9;69;0;7;0
0;84;18;25;1;4;0
51179;71;10;25;0;2;0
38667;72;8;67;0;1;0
79487;114;20;87;0;1;0
67763;107;28;10;2;9;0
0;62;8;81;2;6;0
0;71;5;20;0;5;0
71943;112;8;51;0;4;0
53526;68;27;69;0;4;0
35005;295;14;46;0;2;0
24721;67;3;76;0;1;0
0;102;29;72;2;2;0
88997;72;9;71;0;3;0
48587;111;7;14;0;2;0
76310;67;1;33;0;1;0
73205;92;9;18;0;1;0
51056;78;27;86;0;2;0
58414;210;7;24;2;1;0
23940;107;13;34;0;7;0
0;62;26;18;0;1;0
44216;71;24;36;0;2;0
27972;61;7;38;0;1;0
0;69;27;48;0;9;0
29305;66;1;38;0;1;0
53882;69;14;33;0;1;0
91757;69;29;58;1;1;0
33906;64;25;49;0;2;0
68158;139;28;87;1;4;0
0;134;24;86;3;5;0
42165;123;22;66;0;1;0
0;101;24;11;0;1;0
30817;88;25;43;0;1;0
68074;65;12;62;0;1;0
0;131;20;59;0;2;0
71135;92;11;64;1;3;0
0;61;30;35;0;3;0
37722;116;8;23;0;8;0
0;139;5;56;0;2;0
44705;71;21;63;0;6;0
64642;96;3;79;0;2;0
50071;71;3;32;0;1;0
46754;106;5;70;1;9;0
64801;64;23;19;0;2;0
70410;83;25;13;0;1;0
66957;131;31;4;1;1;0
24213;78;11;28;1;2;0
0;101;1;83;4;1;0
79751;63;15;67;0;1;0
86122;182;33;54;1;1;0
82297;116;5;62;0;1;0
82210;68;33;46;4;1;0
43259;73;12;18;0;2;0
0;79;7;72;0;2;0
25064;62;17;34;0;1;0
25816;119;18;63;0;1;0
0;73;14;74;0;8;0
41662;69;27;73;0;6;0
96170;92;8;86;0;1;0
46072;64;0;61;0;4;0
37931;99;8;31;0;2;0
35127;62;9;21;0;5;0
72450;66;21;58;0;1;0
93087;131;14;25;3;1;0
22398;67;23;76;2;1;0
92983;87;9;77;1;2;0
27689;239;0;72;2;1;0
69654;118;10;50;0;7;0
80744;111;15;19;0;2;0
0;112;13;59;0;1;0
0;64;7;5;1;2;0
76358;66;25;3;0;2;0
18608;71;13;24;0;1;0
73168;70;21;50;0;3;0
21190;65;24;68;2;1;0
94041;66;14;11;0;1;0
91474;113;9;99;0;2;0
61469;63;16;65;5;3;0
16618;62;0;40;0;1;0
48081;188;31;12;0;5;0
67632;121;0;44;0;4;0
34115;119;6;73;0;6;0
23051;99;31;86;0;1;0
23748;99;0;24;0;2;0
40589;69;23;68;0;2;0
50809;83;29;58;0;2;0
66676;97;0;40;0;1;0
52339;70;7;55;3;2;0
14973;115;2;75;0;2;0
0;83;2;47;0;4;0
31546;65;4;83;0;9;0
67763;73;17;69;1;1;0
83170;97;0;53;0;2;0
19464;84;10;94;1;1;0
66943;65;33;10;1;7;0
81872;115;10;55;0;2;0
50450;90;11;68;0;2;0
21342;62;34;72;0;3;0
34621;108;21;32;1;8;0
62396;64;13;18;0;2;0
97212;93;28;61;0;1;0
49648;70;0;23;0;1;0
97984;61;1;36;1;5;0
26308;114;10;30;0;3;0
63528;256;15;23;0;1;0
20225;114;27;64;1;6;0
0;112;3;84;0;7;0
87620;64;3;15;0;2;0
0;72;22;79;0;2;0
34990;65;23;73;0;1;0
99934;71;9;12;0;3;0
85702;67;9;74;0;6;0
94648;69;19;64;0;1;0
24516;71;11;23;0;8;0
61063;85;21;4;0;2;0
0;74;27;91;0;1;0
0;64;23;71;0;6;0
15169;63;34;15;0;3;0
55390;71;34;29;0;2;0
27592;62;6;29;0;1;0
88264;62;8;34;0;1;0
83297;113;6;28;0;1;0
0;188;35;82;0;7;0
0;90;21;21;0;2;0
55897;104;33;5;0;1;0
21297;71;26;56;0;1;0
87560;98;4;86;1;2;0
0;96;5;7;4;1;0
0;85;3;53;0;1;0
89398;86;5;57;0;1;0
36843;68;12;11;3;1;0
0;134;23;16;0;4;0
34946;65;30;63;0;1;0
75680;78;27;6;0;6;0
0;69;23;13;0;7;0
37722;116;8;23;0;8;0
10269;65;12;5;0;3;0
49714;63;29;64;3;4;0
77517;129;19;20;0;2;0
81082;73;5;85;0;4;0
72540;88;7;3;0;2;0
0;65;8;58;0;1;0
61546;68;4;27;0;3;0
44818;67;25;41;1;2;0
17622;65;1;36;1;3;0
0;72;14;24;0;1;0
79797;84;27;46;0;1;0
36234;63;0;44;0;5;0
28919;173;5;88;0;3;0
0;68;6;93;0;8;0
