age;ed;employ;address;income;debtinc;creddebt;othdebt
40;2;6;6;36;6,6;1,577664;0,798336
39;2;7;6;82;17,4;3,70968;10,55832
18;2;0;0;12;8,2;0,150552;0,833448
66;1;40;17;149;13,1;7,788081;11,730919
43;2;6;6;40;6,6;0,5016;2,1384
39;4;14;8;46;6,5;0,49933;2,49067
27;3;5;4;27;10,5;0,99225;1,84275
47;3;17;13;111;8,8;5,733816;4,034184
25;1;9;3;25;23,5;0,34075;5,53425
57;3;7;14;43;20,8;2,495376;6,448624
69;1;6;24;60;18,6;1,27224;9,88776
20;3;0;0;22;4,2;0,536844;0,387156
42;1;15;7;60;6,1;2,013;1,647
33;2;12;5;70;5,7;0,82593;3,16407
41;2;10;7;29;4,2;0,473802;0,744198
35;3;0;7;36;4,7;0,546516;1,145484
46;3;20;16;122;6,7;2,893596;5,280404
24;4;0;1;27;4,2;0,44226;0,69174
34;3;7;8;43;30,3;3,921729;9,107271
36;2;7;4;41;18,9;3,17709;4,57191
19;1;0;0;18;15,1;0,793656;1,924344
29;5;1;4;51;1,3;0,281775;0,381225
44;2;7;9;59;8,4;1,769292;3,186708
19;2;0;0;28;11,7;0,822276;2,453724
39;1;2;9;29;3,7;0,476412;0,596588
30;4;5;5;222;2,9;1,970028;4,467972
72;2;44;13;187;9,2;4,713896;12,490104
18;2;0;0;30;7;0,8085;1,2915
28;3;7;5;30;8,5;0,459;2,091
24;1;5;2;27;10;1,2933;1,4067
33;2;8;4;45;12,1;0,1089;5,3361
34;4;11;4;132;4,7;1,513776;4,690224
46;4;7;16;41;2,5;0,351575;0,673425
36;2;16;4;96;12,2;5,422656;6,289344
45;1;13;7;65;28,6;10,72643;7,86357
59;1;34;26;154;8,5;8,32524;4,76476
35;2;9;1;80;12,9;4,2828;6,0372
62;4;31;22;387;15;5,39865;52,65135
29;4;1;4;38;4,5;0,82422;0,88578
56;3;30;14;167;1,4;0,458248;1,879752
24;2;4;1;39;21,5;3,966105;4,418895
32;3;1;6;45;13,9;1,51371;4,74129
25;2;6;2;29;5,9;0,636492;1,074508
37;1;9;6;33;1,2;0,112068;0,283932
27;3;1;2;28;23,5;0,81592;5,76408
56;2;37;10;160;11,4;6,76704;11,47296
31;2;11;6;61;34,4;9,484768;11,499232
59;1;31;15;86;6,8;1,614048;4,233952
65;3;26;16;186;4,2;2,984184;4,827816
26;1;0;3;29;16,9;3,092531;1,808469
27;3;3;4;68;24,9;5,231988;11,700012
30;1;6;3;22;15,5;0,13299;3,27701
43;1;22;13;96;1,2;0,340992;0,811008
30;4;4;5;64;14,1;2,833536;6,190464
18;2;0;0;19;14;0,56392;2,09608
24;3;1;1;33;14;0,06468;4,55532
31;4;0;6;28;4,5;0,06552;1,19448
25;1;4;3;31;3,1;0,373829;0,587171
24;4;0;2;48;1,2;0,061632;0,514368
26;3;2;3;37;3,1;0,348688;0,798312
33;2;13;5;54;16,2;2,878092;5,869908
44;4;18;9;136;4,2;1,416576;4,295424
18;2;0;0;16;6;0,4032;0,5568
29;3;1;2;34;15,5;0,38998;4,88002
21;3;0;1;27;16,5;1,1583;3,2967
41;2;22;13;54;4,1;0,81918;1,39482
40;4;11;8;238;7,9;6,336274;12,465726
37;1;5;10;21;14,5;0,71253;2,33247
24;1;6;3;36;13,2;1,919808;2,832192
24;4;0;4;18;2,9;0,184266;0,337734
18;2;0;0;25;2,9;0,561875;0,163125
30;4;5;6;95;7;3,458;3,192
36;1;4;8;45;13,2;0,33264;5,60736
34;1;14;9;39;11,4;2,71206;1,73394
63;3;8;25;92;5,6;0,886144;4,265856
56;5;16;19;232;2,8;2,104704;4,391296
41;2;9;8;68;28,3;4,52234;14,72166
23;4;0;1;53;3;0,62646;0,96354
25;5;0;3;32;14,6;1,452992;3,219008
22;1;1;1;22;3,2;0,1584;0,5456
58;2;19;9;114;6,4;0,277248;7,018752
31;3;7;5;53;2,7;0,72981;0,70119
47;2;6;10;40;8,7;1,30848;2,17152
55;2;13;11;63;17,5;2,5578;8,4672
39;2;9;5;60;9,2;2,07552;3,44448
27;5;0;4;30;4,3;0,41925;0,87075
30;3;7;4;60;21,6;5,5728;7,3872
35;2;6;5;32;7,6;0,819584;1,612416
30;4;4;7;30;9,2;0,88872;1,87128
19;2;0;0;23;8,8;1,107128;0,916872
38;4;14;4;98;16,5;1,34211;14,82789
20;2;1;0;19;8;0,78432;0,73568
43;2;14;8;61;10,8;2,17404;4,41396
25;2;2;3;25;9,9;1,3959;1,0791
41;1;11;5;36;10,2;1,365984;2,306016
37;3;3;4;36;6,7;0,680184;1,731816
22;1;0;2;17;3,7;0,135235;0,493765
23;2;0;3;27;17,6;2,128896;2,623104
45;4;1;8;60;9,9;1,14048;4,79952
19;1;1;0;20;8,8;0,54736;1,21264
26;2;6;3;23;13,6;0,128248;2,999752
25;4;0;2;21;22,3;1,676514;3,006486
49;4;1;8;51;11,2;1,862112;3,849888
76;1;15;20;26;5,6;0,136864;1,319136
28;3;1;3;16;5,2;0,501696;0,330304
37;1;18;8;36;4,8;0,44064;1,28736
41;1;9;8;29;5,6;0,248472;1,375528
30;2;8;4;68;2,4;0,267648;1,364352
39;3;4;9;78;14;7,2072;3,7128
25;3;2;2;19;3,4;0,187986;0,458014
26;5;0;4;19;7,7;0,67298;0,79002
24;1;8;2;28;6,6;0,262416;1,585584
61;1;0;10;42;18,4;4,010832;3,717168
26;2;6;2;38;10,6;2,569864;1,458136
18;2;0;0;44;9,2;1,250832;2,797168
41;2;21;8;189;6,3;6,215454;5,691546
49;3;9;16;64;6,1;0,33184;3,57216
18;1;0;0;20;3,9;0,3705;0,4095
18;2;0;0;24;6,5;0,30108;1,25892
52;4;2;12;96;7,1;2,276544;4,539456
32;2;2;6;30;9,4;1,1844;1,6356
27;2;6;5;42;9,1;2,186184;1,635816
23;3;0;2;57;17,8;2,729274;7,416726
29;4;3;3;46;8,1;0,290628;3,435372
73;2;53;25;410;4,1;3,10985;13,70015
31;4;3;5;22;4,6;0,226688;0,785312
19;2;0;0;28;9,1;0,86632;1,68168
57;2;4;9;39;4,3;0,558441;1,118559
18;2;0;0;19;1,5;0,061845;0,223155
22;1;1;1;19;8,9;0,488699;1,202301
21;2;0;1;30;4,3;0,17544;1,11456
33;3;4;4;60;9,5;1,6074;4,0926
21;3;0;1;41;23,4;1,96677;7,62723
42;3;18;15;63;11,3;2,541483;4,577517
32;3;10;5;38;11,5;1,0488;3,3212
33;4;5;4;105;13,4;7,04907;7,02093
73;1;50;34;289;8,4;7,841148;16,434852
61;4;23;20;81;8,9;1,701324;5,507676
38;5;2;8;229;6,7;3,943151;11,399849
46;3;13;11;45;22,2;3,32667;6,66333
20;3;0;0;20;7,2;0,34272;1,09728
19;2;0;0;24;15,6;0,7488;2,9952
28;4;0;4;47;18,6;6,705114;2,036886
24;4;0;2;21;6,6;0,57519;0,81081
53;1;1;12;30;8,8;0,4092;2,2308
35;2;14;7;62;8,2;0,604996;4,479004
43;2;7;11;53;3,7;0,853035;1,107965
32;1;9;6;33;8,1;1,154736;1,518264
27;1;9;1;28;5,7;0,110124;1,485876
18;2;0;0;22;1,5;0,13332;0,19668
19;2;0;0;31;28,7;5,364891;3,532109
18;2;0;0;36;6,2;1,051272;1,180728
54;2;20;15;82;20;4,346;12,054
43;3;0;4;31;2,4;0,284952;0,459048
50;2;15;14;65;12,6;3,04668;5,14332
26;1;10;3;31;8,8;0,780208;1,947792
35;2;4;2;57;6;1,28934;2,13066
47;2;6;12;34;4,4;0,526592;0,969408
31;5;2;5;19;15,9;0,93651;2,08449
40;3;7;11;53;12,4;1,4787;5,0933
56;4;14;25;206;27,9;15,288084;42,185916
34;4;3;8;72;7,6;0,38304;5,08896
18;2;0;0;18;12,7;0,646938;1,639062
46;2;24;10;78;6,9;2,74482;2,63718
31;2;2;6;45;3,1;0,431055;0,963945
25;2;1;1;16;2,1;0,145488;0,190512
79;1;63;18;497;8,2;15,07898;25,67502
43;3;21;14;125;11,5;6,325;8,05
26;1;9;3;41;22,1;0,616148;8,444852
26;3;1;4;36;12,5;1,593;2,907
18;1;0;0;28;17;1,75168;3,00832
30;2;0;4;25;7,4;0,2627;1,5873
47;3;3;8;69;5,2;0,897;2,691
18;2;0;0;35;12,4;1,1284;3,2116
30;1;13;3;38;4,6;0,335616;1,412384
21;3;0;1;25;6,7;1,291425;0,383575
33;4;4;9;119;15,3;6,572727;11,634273
36;2;3;6;28;4,9;0,256564;1,115436
26;2;7;3;49;17,7;5,37726;3,29574
20;3;0;0;21;1,3;0,180999;0,092001
56;2;19;8;76;1,2;0,1824;0,7296
42;4;7;12;130;11,6;3,33268;11,74732
23;4;0;3;47;8,9;0,623267;3,559733
32;3;3;8;86;7,9;2,201256;4,592744
20;3;0;0;30;10,6;2,53446;0,64554
19;2;0;0;21;12;0,34524;2,17476
26;2;1;0;26;11,1;1,694082;1,191918
19;2;0;0;20;0,1;0,00894;0,01106
59;3;31;21;102;0,3;0,104958;0,201042
21;3;0;1;13;8,3;0,45318;0,62582
39;4;14;6;152;27,4;13,410656;28,237344
18;2;0;0;12;3,3;0,110088;0,285912
20;2;0;0;38;7,5;0,3648;2,4852
33;4;1;6;23;4,2;0,194166;0,771834
19;1;1;0;16;3,4;0,306816;0,237184
29;3;5;5;52;16,8;5,63472;3,10128
70;3;48;25;165;14,8;0,56166;23,85834
44;1;22;8;93;9;4,37751;3,99249
40;2;20;10;117;11,9;4,942665;8,980335
21;2;1;1;23;7,4;0,258704;1,443296
43;2;8;11;48;9,7;1,317648;3,338352
27;2;3;4;28;4,2;0,537432;0,638568
21;3;0;1;21;10,4;1,537536;0,646464
29;2;3;5;45;14,1;1,681425;4,663575
41;2;2;10;40;7,9;0,30968;2,85032
28;4;5;3;30;7;0,462;1,638
48;2;5;10;43;6,9;2,263821;0,703179
25;5;0;3;66;2,8;0,903672;0,944328
41;2;3;7;62;7;2,8861;1,4539
22;2;1;2;24;16,1;0,795984;3,068016
47;3;8;11;43;11,8;2,273152;2,800848
18;2;0;0;24;5,3;0,594024;0,677976
28;5;0;4;50;8,6;0,2795;4,0205
41;2;5;8;37;5,8;0,345506;1,800494
31;2;2;7;42;10,3;0,856548;3,469452
19;2;0;0;21;14,3;1,219218;1,783782
31;3;1;7;28;2;0,17416;0,38584
18;2;0;0;21;21,8;1,44207;3,13593
39;2;5;5;39;4,2;0,719082;0,918918
20;2;0;0;17;7,3;0,572101;0,668899
31;4;8;4;29;6,8;1,118124;0,853876
23;1;3;1;41;5,5;0,674245;1,580755
25;3;3;3;58;20,6;3,500764;8,447236
29;4;3;1;47;2,9;0,53157;0,83143
38;3;15;4;136;20,2;6,758112;20,713888
39;1;8;9;41;0,1;0,026896;0,014104
28;4;4;4;20;15,5;0,3038;2,7962
40;3;10;12;38;6,1;0,917928;1,400072
46;3;2;13;56;2,3;0,413448;0,874552
61;1;45;22;209;10,9;4,123361;18,657639
49;4;18;13;182;4,8;0,943488;7,792512
71;2;35;19;131;11,6;6,032812;9,163188
20;1;2;0;20;2,7;0,20088;0,33912
20;3;0;0;20;11,3;1,96168;0,29832
18;2;0;0;29;5,6;0,898072;0,725928
32;5;3;6;59;9;1,85319;3,45681
42;3;2;13;22;13,6;1,463088;1,528912
43;3;9;9;57;4,5;1,808325;0,756675
27;1;7;5;43;10;1,1997;3,1003
23;2;3;2;66;2,7;0,79299;0,98901
21;2;1;0;33;13,1;1,314192;3,008808
49;3;24;11;90;13,9;8,05644;4,45356
49;2;28;11;93;12,8;1,559424;10,344576
19;2;0;0;28;9,7;1,347136;1,368864
24;4;0;2;21;11;0,71841;1,59159
23;4;0;1;30;12,8;2,29632;1,54368
43;3;13;9;82;9,9;1,777842;6,340158
28;2;8;3;22;5,4;0,165132;1,022868
26;4;2;3;36;14,4;1,89216;3,29184
40;4;7;11;33;12,4;0,646536;3,445464
47;1;22;17;108;8,9;1,374516;8,237484
19;2;0;0;22;16,8;1,637328;2,058672
71;1;18;27;57;11,5;2,58267;3,97233
72;4;26;24;146;12,6;2,11554;16,28046
45;2;1;10;43;2,8;0,384076;0,819924
20;3;0;0;29;17;1,93256;2,99744
42;2;7;8;47;7,8;1,019148;2,646852
33;4;1;3;40;13,3;0,87248;4,44752
42;2;19;8;63;20,4;5,307876;7,544124
20;3;0;0;28;10,4;0,93184;1,98016
20;3;0;1;19;4,5;0,34542;0,50958
20;3;0;0;20;13,5;0,5913;2,1087
34;3;11;5;68;11,9;3,366272;4,725728
39;1;12;11;47;9,5;1,031415;3,433585
42;1;2;10;38;3,6;0,387144;0,980856
61;1;7;22;35;10,4;0,69524;2,94476
30;4;2;6;61;2,9;0,640378;1,128622
39;4;12;9;82;6,2;1,789568;3,294432
26;3;5;2;25;10,8;1,1286;1,5714
62;3;12;10;108;7,3;1,3797;6,5043
48;2;17;8;81;30;11,6397;12,6603
39;3;17;9;165;3,3;2,553705;2,891295
51;1;33;13;234;9,6;4,245696;18,218304
31;3;4;6;43;6,9;0,658674;2,308326
45;3;19;7;286;5;4,5331;9,7669
44;4;0;9;167;10,6;7,78888;9,91312
28;2;9;3;36;3,2;0,089856;1,062144
36;3;8;4;41;11,1;1,570095;2,980905
38;5;4;5;66;10,7;2,40108;4,66092
61;2;22;6;108;22,2;6,041952;17,934048
66;3;6;20;61;7,7;1,202432;3,494568
24;2;5;3;31;10,4;0,699608;2,524392
45;1;12;10;44;9,8;1,59544;2,71656
47;5;8;13;33;15,4;1,712634;3,369366
19;2;0;0;25;3,9;0,68055;0,29445
28;2;2;5;26;23,6;0,73632;5,39968
40;4;3;10;35;10;1,085;2,415
25;4;1;1;27;14,2;0,456246;3,377754
64;1;26;26;56;20,3;2,012136;9,355864
40;3;15;4;78;15,5;3,51819;8,57181
37;5;1;10;90;1,8;0,25434;1,36566
56;2;35;14;236;3,9;6,682104;2,521896
33;3;8;4;102;28,8;7,93152;21,44448
66;3;30;22;104;6,7;2,285504;4,682496
18;2;0;0;28;9,9;1,047816;1,724184
52;3;28;23;108;3,9;2,2113;2,0007
46;1;2;10;38;8,2;0,495444;2,620556
51;2;3;14;19;4,9;0,340746;0,590254
34;2;6;4;45;9,1;1,3104;2,7846
19;2;0;0;18;6,3;0,259686;0,874314
52;1;33;12;80;9;1,0584;6,1416
24;1;2;2;29;23,6;0,465392;6,378608
35;4;5;4;47;16,1;3,17814;4,38886
29;4;1;4;50;15,1;2,6727;4,8773
47;2;10;10;48;7;1,97568;1,38432
26;3;4;4;50;0,8;0,1324;0,2676
27;4;2;3;34;11,4;2,158932;1,717068
19;2;0;0;36;6,7;0,890028;1,521972
51;2;28;20;134;4,1;1,752586;3,741414
46;1;13;12;94;15,7;8,308754;6,449246
23;3;1;1;30;13,6;2,04;2,04
19;2;0;0;20;5,6;0,15568;0,96432
23;2;3;1;27;17,8;0,927558;3,878442
30;4;1;6;16;8,5;1,07848;0,28152
21;3;0;0;35;6,8;0,90916;1,47084
20;3;0;0;35;5,8;0,76125;1,26875
23;4;0;2;36;1,1;0,10494;0,29106
46;3;2;14;27;12,1;0,545589;2,721411
43;2;20;8;180;7,3;4,2048;8,9352
27;2;5;3;28;5,2;0,496496;0,959504
45;1;3;13;38;22,1;2,594982;5,803018
22;3;1;2;27;9,8;0,246078;2,399922
41;2;13;7;50;14,2;3,7204;3,3796
52;1;8;6;43;17,5;3,438925;4,086075
53;2;34;18;251;15,9;12,37179;27,53721
20;3;0;0;45;7,7;1,14345;2,32155
30;5;2;8;99;1,5;0,79596;0,68904
68;2;0;17;22;12,5;1,0505;1,6995
31;4;0;7;41;3,8;1,11397;0,44403
54;2;2;21;32;6,7;0,173664;1,970336
26;3;2;3;38;7,6;1,394904;1,493096
32;2;12;6;61;8,2;0,295118;4,706882
27;2;4;2;34;15,1;0,836842;4,297158
60;3;22;10;60;22,3;3,25134;10,12866
47;2;13;19;58;3,5;0,61915;1,41085
47;2;6;11;75;15,2;2,9298;8,4702
69;4;7;20;75;13,5;1,03275;9,09225
45;2;7;8;32;5,4;0,1296;1,5984
29;3;2;5;31;6,8;1,41236;0,69564
29;3;4;5;67;7,9;0,931568;4,361432
27;1;5;2;33;5,1;0,578952;1,104048
44;1;9;3;37;18,4;2,920632;3,887368
21;3;0;1;55;17,1;6,90327;2,50173
26;3;4;4;28;15;2,3814;1,8186
56;3;26;13;384;11,2;23,310336;19,697664
38;4;4;8;91;3,9;1,015014;2,533986
42;4;17;8;54;10,3;0,294786;5,267214
43;3;13;11;59;11;1,71985;4,77015
37;2;17;6;123;10,6;3,885324;9,152676
64;3;15;22;227;29,9;35,97269;31,90031
39;2;0;10;38;7,5;0,1995;2,6505
21;2;1;0;20;20,3;0,41412;3,64588
30;4;5;3;62;2,6;0,70122;0,91078
52;2;9;12;72;15,4;4,080384;7,007616
40;4;5;9;62;8;1,49296;3,46704
23;2;3;2;25;2,5;0,174375;0,450625
40;2;2;7;32;3,4;0,175168;0,912832
19;2;0;0;37;3;0,21312;0,89688
22;4;0;0;36;3,3;0,277992;0,910008
50;1;20;11;67;18,4;7,236536;5,091464
36;5;7;12;67;8,2;3,098616;2,395384
47;3;14;16;36;0,9;0,083916;0,240084
19;2;0;0;50;1,8;0,4851;0,4149
32;3;10;7;70;3,2;0,85344;1,38656
20;3;0;0;32;8,5;1,11248;1,60752
20;2;0;0;26;4;0,39104;0,64896
22;4;0;2;31;7,6;0,197904;2,158096
23;4;0;2;45;10,7;0,611505;4,203495
62;2;4;5;38;11,3;0,94468;3,34932
29;2;9;3;69;6,7;1,072536;3,550464
34;1;6;6;33;6,4;0,525888;1,586112
18;2;0;0;25;6,2;0,61845;0,93155
23;3;2;2;47;14,6;2,936936;3,925064
35;1;5;8;62;8,5;1,98679;3,28321
30;3;5;3;27;6,2;0,860436;0,813564
36;3;7;10;118;11,2;8,484672;4,731328
18;2;0;0;28;2,4;0,22176;0,45024
26;2;2;4;30;40,7;5,4945;6,7155
18;2;0;0;33;8,2;0,836154;1,869846
31;2;11;8;47;26,9;3,514754;9,128246
33;3;3;2;46;3,8;0,407284;1,340716
20;1;2;0;20;18,8;1,19192;2,56808
22;4;0;1;36;10,7;1,667916;2,184084
22;2;3;1;45;11,1;1,84815;3,14685
22;1;4;1;24;4,4;0,531168;0,524832
26;4;0;2;103;14,3;8,54282;6,18618
34;1;10;7;96;5,4;1,653696;3,530304
30;1;13;2;42;15,3;0,944622;5,481378
40;3;15;5;53;23,5;1,905615;10,549385
21;2;1;0;43;14,1;3,377091;2,685909
20;2;0;0;28;18;3,06936;1,97064
18;2;0;0;20;14,5;0,3335;2,5665
53;2;24;8;129;2,7;1,006587;2,476413
70;2;27;21;92;9,3;3,011712;5,544288
26;5;0;3;49;4,4;0,94864;1,20736
43;2;16;7;119;18,1;8,163281;13,375719
38;3;3;3;34;3,9;0,863226;0,462774
31;2;3;6;45;0,7;0,12663;0,18837
24;4;0;1;35;1,2;0,04242;0,37758
44;4;21;14;314;4,7;3,497646;11,260354
62;5;31;14;699;5,9;6,59856;34,64244
52;3;24;10;403;5,1;8,323965;12,229035
33;4;3;2;40;1,2;0,25536;0,22464
26;4;1;3;39;2;0,32604;0,45396
34;2;4;8;46;5,5;0,70334;1,82666
54;4;0;14;66;9,6;1,983168;4,352832
61;1;0;24;25;33;3,42375;4,82625
44;5;2;13;91;4,8;1,022112;3,345888
22;2;0;2;16;9,8;0,312032;1,255968
19;1;3;0;21;7,1;0,484575;1,006425
20;2;0;0;26;8,9;0,504452;1,809548
35;4;10;7;44;0,5;0,10846;0,11154
24;4;0;2;28;4;0,70448;0,41552
30;5;1;6;33;7,4;0,632478;1,809522
21;1;1;1;29;24;2,19936;4,76064
45;4;0;14;81;4,1;1,507734;1,813266
38;5;9;11;66;1,2;0,589248;0,202752
21;2;1;1;37;8,5;0,896325;2,248675
45;4;7;13;42;36,8;10,185504;5,270496
40;1;22;8;141;11;5,05626;10,45374
22;4;0;1;74;7,5;1,85925;3,69075
56;2;34;21;475;2,3;3,878375;7,046625
37;2;9;11;41;2,9;0,110577;1,078423
29;2;3;2;42;9,3;1,765512;2,140488
37;4;10;6;97;8,3;2,01275;6,03825
20;1;3;0;21;17,9;0,52626;3,23274
30;3;6;4;20;9,7;0,51216;1,42784
26;4;0;3;36;17,9;3,015792;3,428208
18;2;0;0;47;3,6;1,213164;0,478836
31;1;5;7;27;4,2;0,559062;0,574938
44;3;8;8;49;16,3;2,459996;5,527004
19;2;0;0;24;12,5;0,936;2,064
77;5;2;24;28;10,6;1,371216;1,596784
37;4;0;9;83;14,9;5,899059;6,467941
35;4;9;6;123;6,1;1,703181;5,799819
24;4;0;0;64;13;3,97696;4,34304
31;4;1;4;43;7,9;2,493398;0,903602
59;4;19;21;174;27,9;16,408548;32,137452
18;2;0;0;27;4,1;0,169371;0,937629
29;2;8;5;35;21,1;1,65424;5,73076
38;4;6;7;25;31,3;2,214475;5,610525
27;3;3;5;26;2;0,0416;0,4784
49;2;15;11;35;3;0,735;0,315
24;3;1;2;23;14,8;0,796536;2,607464
27;4;3;5;36;16,2;1,388016;4,443984
26;2;2;4;26;14,5;0,55796;3,21204
32;4;0;6;37;3,1;0,592999;0,554001
53;5;16;13;51;4,1;0,949314;1,141686
19;2;0;0;17;14,1;1,035504;1,361496
18;2;0;0;19;6,4;0,3952;0,8208
19;2;1;0;21;7,9;1,104894;0,554106
51;2;25;16;96;21,5;7,30656;13,33344
30;5;3;2;40;16,9;2,21728;4,54272
63;1;22;21;61;13,5;1,82817;6,40683
30;4;1;4;73;29,8;7,048296;14,705704
27;4;3;3;43;4,5;0,57663;1,35837
42;2;15;9;46;13,1;1,060576;4,965424
24;4;0;3;44;13,5;2,38194;3,55806
20;2;0;0;23;23,6;3,539056;1,888944
28;3;4;5;20;6,2;0,57288;0,66712
25;2;3;2;23;5;0,27945;0,87055
24;4;0;3;49;5;0,8722;1,5778
36;3;9;7;76;5,7;0,294576;4,037424
44;2;11;12;50;22;2,112;8,888
23;3;0;1;45;15,8;1,12338;5,98662
32;3;1;4;26;3,3;0,236808;0,621192
32;2;9;7;53;14,9;5,812192;2,084808
35;4;7;6;76;7;0,5586;4,7614
30;3;3;6;34;14,3;2,255968;2,606032
30;1;4;3;36;9,6;0,82944;2,62656
31;2;6;5;26;6,5;0,32617;1,36383
23;1;0;2;16;17,2;0,90816;1,84384
46;1;11;8;61;10,4;3,444792;2,899208
59;1;33;17;308;6,7;7,387688;13,248312
39;5;1;10;185;7;10,45065;2,49935
29;5;3;3;55;27,1;8,3468;6,5582
26;4;2;4;19;3,8;0,106134;0,615866
34;2;6;7;27;6,4;0,269568;1,458432
30;1;12;5;35;5,7;1,33665;0,65835
23;4;0;2;29;9,4;0,839608;1,886392
22;4;0;1;76;7,7;3,616536;2,235464
27;4;0;4;46;1,9;0,232484;0,641516
30;3;0;5;70;6,9;0,37191;4,45809
23;2;0;1;22;9;0,7128;1,2672
42;5;12;13;34;6,1;0,557906;1,516094
29;4;2;3;55;15,6;1,48434;7,09566
47;2;16;8;66;1,7;0,097614;1,024386
34;4;8;7;30;5,7;1,08243;0,62757
31;2;11;7;51;12,4;4,135896;2,188104
35;4;10;4;53;19;3,63527;6,43473
19;1;2;0;21;12;0,15372;2,36628
30;1;7;7;40;11,4;1,7784;2,7816
25;4;0;2;35;0,6;0,07119;0,13881
38;5;11;8;40;8,8;1,6544;1,8656
18;2;0;0;34;2,8;0,292264;0,659736
53;2;10;14;62;13,4;2,376088;5,931912
31;1;10;5;60;27,3;6,27354;10,10646
38;4;7;7;274;2,3;4,31687;1,98513
19;2;0;0;21;2,5;0,03255;0,49245
20;1;2;0;18;2,3;0,05589;0,35811
21;2;2;1;22;9,2;1,048432;0,975568
19;2;0;0;17;5,5;0,50864;0,42636
23;4;0;1;42;12,2;2,239188;2,884812
65;2;25;20;48;7,7;2,812656;0,883344
45;5;18;12;88;9,6;4,038144;4,409856
21;3;0;1;22;1,5;0,09702;0,23298
54;3;8;10;67;10,5;1,245195;5,789805
22;4;0;2;24;8;0,63936;1,28064
20;3;0;0;23;14,2;1,86162;1,40438
41;2;12;9;58;13,1;3,783804;3,814196
36;2;14;3;71;6,9;1,425609;3,473391
33;3;11;8;79;10,8;3,080052;5,451948
23;2;2;2;34;3,3;0,21879;0,90321
46;3;8;6;119;5,6;1,112888;5,551112
21;3;0;0;15;6,1;0,07137;0,84363
28;4;2;4;62;34,8;3,862104;17,713896
39;3;9;8;69;6;0,55476;3,58524
54;4;4;9;69;12;1,17576;7,10424
75;1;22;23;56;7,8;1,786512;2,581488
