Customer Lifetime Value;Coverage;Education;EmploymentStatus;Gender;Income;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Response
3939.00637;Extended;Bachelor;Employed;F;60021;99;12;28;0;1;Yes
12231.87968;Basic;High School or Below;Employed;M;43244;103;15;16;0;2;No
2443.665166;Basic;College;Employed;M;92834;61;15;56;0;1;No
12819.10289;Premium;Doctor;Disabled;F;10105;172;5;4;3;3;No
4468.510542;Basic;Bachelor;Unemployed;M;0;73;7;57;3;5;No
5514.344018;Basic;High School or Below;Employed;F;23218;71;7;10;0;4;No
3343.875326;Extended;Bachelor;Unemployed;F;0;92;11;77;0;1;No
2294.478927;Basic;High School or Below;Unemployed;F;0;62;11;56;0;1;No
36707.42639;Basic;College;Employed;M;24804;104;1;28;0;2;No
33473.34946;Basic;Bachelor;Employed;F;33190;106;18;95;0;2;Yes
7983.431709;Basic;High School or Below;Employed;F;36014;69;4;40;3;2;No
4854.745666;Basic;Bachelor;Employed;M;29834;64;19;44;0;3;No
4293.997319;Premium;Bachelor;Disabled;M;16701;113;20;26;0;1;No
7164.395543;Extended;College;Employed;F;46623;91;1;53;0;3;No
7619.5158;Basic;College;Employed;M;64749;64;24;59;0;2;No
3958.002823;Basic;High School or Below;Unemployed;F;0;101;29;12;0;1;No
4499.493252;Extended;High School or Below;Disabled;F;16969;124;34;47;2;1;No
4059.567414;Premium;Master;Disabled;F;11621;108;4;98;0;1;No
4458.113369;Basic;Bachelor;Retired;M;17622;65;1;36;1;3;No
8110.333139;Premium;Bachelor;Medical Leave;F;11489;105;4;50;0;6;No
3339.764873;Extended;Bachelor;Unemployed;M;0;94;20;53;0;1;No
24261.01777;Basic;High School or Below;Employed;F;66525;100;0;86;0;2;No
6613.973653;Basic;Bachelor;Unemployed;F;0;63;21;28;0;2;No
2930.693543;Basic;College;Employed;M;33663;73;29;71;0;1;No
8672.194272;Basic;College;Employed;F;22547;112;7;60;0;3;No
11638.66926;Extended;High School or Below;Employed;F;61486;97;5;65;0;2;No
6846.150323;Extended;Bachelor;Unemployed;F;0;95;13;20;0;5;No
11727.77648;Premium;College;Disabled;F;29879;102;17;0;0;2;No
22643.83478;Basic;High School or Below;Employed;M;93011;113;17;12;0;2;No
2614.474305;Basic;Master;Employed;M;65186;65;29;27;0;1;No
2451.752695;Basic;Master;Medical Leave;M;26840;64;1;47;2;1;No
6781.270203;Basic;Bachelor;Unemployed;M;0;104;30;3;1;5;No
4974.801539;Basic;Bachelor;Employed;M;75644;65;5;68;3;9;No
8591.604933;Basic;Bachelor;Employed;M;38984;73;27;38;0;2;No
5592.161392;Basic;High School or Below;Employed;F;71811;71;17;48;0;6;No
8009.472833;Basic;College;Employed;M;20961;67;20;33;0;2;No
11318.08982;Extended;College;Employed;M;38923;99;6;83;2;2;No
58166.55351;Basic;Bachelor;Employed;M;61321;186;0;30;1;2;No
8025.229358;Extended;College;Unemployed;F;0;77;20;26;0;2;No
5780.182197;Basic;High School or Below;Employed;M;51066;74;23;0;0;8;No
4118.539113;Basic;Doctor;Employed;M;34378;102;12;54;0;1;No
2523.07015;Basic;Master;Employed;M;43072;63;35;15;0;1;No
6554.216396;Extended;College;Disabled;F;25222;90;28;69;0;3;No
7703.397294;Basic;High School or Below;Employed;M;36765;66;15;32;1;2;No
5926.729379;Extended;College;Retired;M;23091;96;28;90;5;5;No
2683.470677;Basic;Bachelor;Employed;F;48269;69;3;79;3;1;No
2695.182419;Basic;Bachelor;Employed;F;32720;67;13;12;0;1;No
6047.02516;Extended;College;Employed;M;20396;76;15;60;1;4;No
13171.01282;Premium;College;Medical Leave;M;21513;119;21;81;1;2;No
10656.88195;Extended;Bachelor;Employed;F;72540;88;7;3;0;2;No
2527.653796;Basic;Bachelor;Employed;F;80744;63;24;84;0;1;No
2672.095756;Basic;Bachelor;Employed;M;52822;67;23;88;0;1;No
5313.294035;Extended;High School or Below;Unemployed;F;0;77;8;10;1;9;No
20946.19251;Basic;Bachelor;Employed;F;69738;74;2;26;1;2;No
8375.353929;Basic;Master;Medical Leave;F;17780;109;12;18;0;9;No
4801.661503;Basic;Bachelor;Medical Leave;M;18107;62;29;11;0;8;No
5745.94334;Basic;Bachelor;Employed;F;57740;74;30;87;3;9;No
6066.115969;Extended;College;Employed;M;32627;76;11;60;0;7;No
8002.308333;Basic;College;Unemployed;F;0;107;3;65;0;3;No
2393.915369;Basic;College;Unemployed;M;0;70;24;10;0;1;No
4762.8179;Basic;Bachelor;Employed;M;65795;62;2;85;1;3;No
4330.38602;Premium;College;Employed;M;60475;107;9;18;0;1;No
9402.729769;Extended;High School or Below;Unemployed;F;0;130;28;88;0;4;No
6966.694527;Extended;Bachelor;Employed;F;41837;88;29;93;0;9;No
7694.064293;Basic;Bachelor;Employed;F;32303;65;13;34;0;2;No
8717.561149;Basic;High School or Below;Unemployed;M;0;117;5;89;1;3;No
5928.748528;Basic;Bachelor;Employed;F;40531;74;17;32;0;9;No
2452.977288;Basic;College;Employed;M;79898;62;5;86;1;1;No
6701.571657;Extended;College;Employed;M;56398;85;4;18;0;7;No
7556.24034;Extended;High School or Below;Employed;M;35257;98;16;2;1;8;No
8492.6988;Basic;College;Employed;M;27804;109;19;54;0;7;No
7713.494046;Basic;Bachelor;Employed;M;45506;66;16;32;2;2;No
24084.5352;Basic;High School or Below;Employed;M;65196;67;0;54;0;2;No
7290.069769;Basic;High School or Below;Unemployed;M;0;102;11;70;1;3;No
4772.943848;Extended;High School or Below;Retired;M;20993;133;35;90;0;1;No
6806.491395;Extended;High School or Below;Employed;M;37839;86;35;77;0;9;No
2469.781334;Basic;Bachelor;Employed;F;92711;62;24;10;0;1;No
3103.923041;Extended;College;Employed;F;74665;78;10;90;2;1;No
2981.875575;Extended;College;Unemployed;M;0;83;26;89;0;1;No
8902.737595;Basic;Bachelor;Employed;M;46833;112;6;3;0;9;No
5499.447223;Basic;High School or Below;Employed;F;88768;68;17;77;0;7;No
15023.59858;Basic;High School or Below;Employed;M;28262;192;9;77;0;3;No
2509.107875;Basic;Bachelor;Employed;F;33555;63;17;11;0;1;No
31221.7481;Premium;College;Employed;M;42780;113;10;27;1;2;No
3133.503432;Extended;Master;Employed;F;58850;78;20;26;0;1;No
3837.451863;Extended;College;Employed;M;21880;97;29;37;0;1;No
11790.49617;Basic;College;Retired;M;25251;66;13;43;0;2;No
7838.068321;Basic;Master;Unemployed;F;0;69;9;12;0;2;No
4305.808345;Basic;High School or Below;Employed;M;24188;109;14;82;0;1;No
5973.976904;Basic;Bachelor;Employed;F;41611;74;14;8;0;8;No
5670.442396;Basic;Bachelor;Employed;F;28406;72;16;35;1;4;No
4731.749346;Premium;College;Employed;M;69833;118;32;99;0;1;No
8026.379641;Basic;High School or Below;Unemployed;F;0;74;15;91;0;2;No
4022.963529;Basic;High School or Below;Unemployed;M;0;117;6;1;0;1;No
9618.310865;Basic;High School or Below;Employed;F;80536;119;5;83;0;3;No
2274.775451;Basic;College;Unemployed;F;0;63;2;5;0;1;No
9552.926922;Extended;College;Employed;F;97732;79;0;70;0;2;No
10388.55323;Extended;Bachelor;Employed;F;61222;89;20;55;0;2;No
2470.121222;Basic;College;Unemployed;M;0;74;7;20;0;1;No
5619.068508;Premium;Master;Employed;M;50335;140;9;54;0;1;No
9047.119209;Extended;High School or Below;Unemployed;F;0;127;30;11;0;6;No
6692.143668;Premium;High School or Below;Employed;M;63221;168;28;49;0;1;No
3731.504584;Extended;High School or Below;Unemployed;F;0;96;31;34;0;1;No
3660.770258;Extended;Bachelor;Employed;M;64495;92;34;30;0;1;No
7928.829252;Basic;College;Unemployed;F;0;72;7;75;0;2;No
5011.751577;Basic;Bachelor;Employed;F;28859;67;24;51;3;4;No
7988.258292;Extended;High School or Below;Employed;F;77330;99;0;21;0;3;No
3885.456401;Premium;College;Unemployed;M;0;105;3;92;0;1;No
2659.337982;Basic;Bachelor;Employed;M;24495;70;29;65;0;1;No
8564.768226;Basic;High School or Below;Employed;M;95697;107;29;29;0;9;No
4885.162511;Extended;High School or Below;Disabled;M;26372;126;11;7;0;1;No
9753.307106;Extended;Bachelor;Medical Leave;F;17514;127;2;5;0;3;No
2946.153697;Basic;Bachelor;Employed;F;89270;74;17;90;0;1;No
2581.110945;Basic;High School or Below;Employed;M;29757;65;13;55;0;1;No
3517.385764;Extended;College;Employed;M;51814;92;28;89;0;1;No
9743.350113;Extended;Bachelor;Employed;F;24028;82;14;27;0;2;No
3873.647046;Basic;College;Retired;M;28142;105;18;50;0;1;No
7649.28199;Basic;Bachelor;Employed;F;52705;64;14;8;1;2;No
2287.59692;Basic;High School or Below;Unemployed;M;0;63;1;5;0;1;No
4475.424592;Basic;College;Employed;F;84903;111;7;63;0;1;No
8714.922135;Basic;College;Unemployed;F;0;118;14;64;0;4;No
2248.449633;Basic;Bachelor;Retired;F;24910;63;7;63;1;1;No
7416.197322;Extended;Bachelor;Unemployed;M;0;77;15;12;2;2;No
7771.158973;Basic;Master;Medical Leave;M;21876;68;12;28;0;2;No
6968.3419;Basic;Bachelor;Unemployed;F;0;69;33;61;1;2;No
4250.282624;Basic;High School or Below;Unemployed;F;0;61;17;1;1;7;No
19776.56654;Extended;High School or Below;Employed;F;70699;82;1;57;0;2;No
21343.46599;Basic;High School or Below;Unemployed;F;0;74;11;85;1;2;No
2413.139714;Basic;College;Medical Leave;M;27501;63;20;0;0;1;No
15363.84716;Premium;Doctor;Disabled;F;15897;101;30;99;0;2;No
8456.961887;Basic;College;Employed;F;25141;73;12;4;1;2;No
2189.642522;Basic;College;Unemployed;F;0;61;5;46;3;1;No
5780.182197;Basic;High School or Below;Employed;M;51066;74;23;0;0;8;No
4639.981638;Basic;Bachelor;Employed;F;28358;117;24;37;0;1;No
4465.335703;Basic;College;Employed;F;61846;112;1;48;0;1;No
5968.118877;Basic;Bachelor;Employed;F;90972;74;3;47;0;8;No
5097.763337;Basic;College;Unemployed;F;0;74;3;95;0;7;No
4076.634665;Basic;Bachelor;Employed;F;29549;104;17;51;0;1;No
12252.60179;Premium;Bachelor;Unemployed;F;0;115;12;17;1;2;No
16936.27147;Extended;Bachelor;Employed;F;39411;217;4;29;2;4;No
4892.435461;Basic;High School or Below;Employed;M;21709;62;28;17;0;3;No
9942.304791;Extended;Bachelor;Employed;M;67890;85;23;57;0;2;No
3735.838129;Basic;Bachelor;Unemployed;M;0;110;3;16;0;1;No
13117.52215;Basic;High School or Below;Employed;F;84311;111;11;98;4;2;No
4574.524094;Basic;College;Employed;F;99316;114;26;53;0;1;No
5470.060561;Extended;Bachelor;Employed;F;54507;138;20;11;0;1;No
2978.84601;Extended;Bachelor;Employed;F;64586;76;3;17;0;1;No
6410.967544;Extended;College;Employed;M;61709;82;5;41;2;7;No
4479.023088;Basic;Master;Employed;M;94656;111;12;79;1;1;No
2383.731879;Basic;High School or Below;Unemployed;F;0;69;5;40;0;1;No
2764.493659;Basic;Bachelor;Employed;M;61085;70;27;34;1;1;No
7920.105377;Basic;Bachelor;Employed;F;89284;67;7;31;3;2;No
6889.097981;Basic;High School or Below;Unemployed;F;0;63;6;12;0;2;No
3274.194616;Extended;Bachelor;Employed;F;31686;81;11;33;0;1;No
9951.707743;Premium;High School or Below;Employed;M;56855;255;12;1;0;1;No
2521.555686;Basic;Bachelor;Employed;M;53703;67;3;45;2;1;No
23706.11337;Extended;High School or Below;Unemployed;F;0;96;12;35;1;2;No
6047.02516;Extended;College;Employed;M;20396;76;15;60;1;4;No
11140.30248;Premium;Master;Disabled;F;27679;150;30;28;0;3;No
4334.064096;Extended;Bachelor;Retired;F;23904;123;1;67;3;1;No
2799.74791;Basic;High School or Below;Employed;F;65351;69;4;54;0;1;No
7923.136624;Basic;College;Unemployed;M;0;113;20;1;0;7;No
3688.110888;Basic;High School or Below;Unemployed;M;0;63;0;54;3;7;No
12067.45599;Basic;College;Unemployed;M;0;116;14;35;0;2;No
2924.976721;Basic;College;Employed;F;64459;72;16;64;0;1;No
15014.0927;Premium;College;Employed;M;32961;190;13;53;0;3;No
9277.233839;Basic;High School or Below;Employed;F;71416;116;10;0;0;3;No
6274.123875;Extended;Bachelor;Employed;F;68964;78;15;6;0;3;No
3886.647414;Extended;High School or Below;Employed;M;78108;98;12;34;0;1;No
4386.277558;Basic;College;Retired;M;10621;67;28;22;0;5;No
11365.26766;Extended;College;Employed;M;84910;95;4;69;0;2;No
5610.96434;Basic;High School or Below;Employed;F;77493;70;2;35;0;3;No
2912.892035;Basic;College;Employed;M;81097;74;7;67;0;1;No
6915.729915;Extended;College;Employed;F;96610;85;6;23;0;3;No
6262.663307;Premium;College;Employed;M;30110;159;20;71;0;1;No
6503.397049;Extended;High School or Below;Disabled;F;22081;84;1;9;0;6;No
8007.399376;Basic;High School or Below;Unemployed;F;0;112;12;93;0;3;No
2929.916512;Basic;College;Employed;M;98473;72;19;69;0;1;No
5969.55297;Basic;Bachelor;Employed;F;97431;74;1;72;0;3;No
5473.15987;Basic;Bachelor;Employed;M;93870;69;1;96;0;8;No
5645.396665;Basic;High School or Below;Employed;M;50366;72;9;5;0;9;No
6369.262355;Extended;High School or Below;Employed;M;34498;83;30;72;0;7;No
11833.76732;Basic;College;Disabled;F;16552;103;23;53;0;2;No
6121.107929;Extended;College;Employed;F;26787;77;7;50;0;5;No
5159.369746;Basic;College;Unemployed;M;0;74;2;42;0;9;No
2514.59196;Basic;High School or Below;Employed;F;43860;65;15;58;0;1;No
8668.611261;Basic;High School or Below;Employed;M;21474;114;13;72;2;9;No
4960.965384;Basic;Bachelor;Disabled;M;18174;66;8;16;0;9;No
5504.139033;Basic;Bachelor;Unemployed;F;0;73;18;45;0;5;No
7507.455372;Basic;College;Employed;M;60920;64;10;61;0;2;No
32269.85139;Extended;High School or Below;Employed;M;41520;90;18;70;0;2;No
5657.031588;Premium;Bachelor;Unemployed;F;0;152;12;89;0;1;No
5061.757902;Basic;High School or Below;Unemployed;M;0;68;19;16;0;8;No
5912.783829;Basic;Bachelor;Employed;M;72208;73;3;84;0;8;No
15182.27975;Basic;Bachelor;Employed;F;53863;63;12;30;0;2;No
10747.03094;Extended;College;Employed;M;66446;136;8;77;0;3;No
2050.623512;Basic;College;Unemployed;M;0;61;18;26;0;1;No
2465.444865;Basic;Bachelor;Employed;F;64997;63;7;99;1;1;No
5343.121327;Basic;High School or Below;Employed;F;64460;66;18;42;0;3;No
8119.829071;Basic;College;Employed;F;46618;67;22;77;0;2;No
4605.265164;Basic;College;Unemployed;F;0;64;13;64;0;4;No
6408.785577;Extended;College;Employed;M;49988;84;6;37;5;5;No
2376.533508;Extended;College;Unemployed;F;0;91;2;8;5;1;No
3211.070017;Extended;Bachelor;Disabled;M;16269;86;6;84;0;1;No
5094.522262;Basic;Bachelor;Employed;F;72006;64;4;38;0;3;No
25755.27817;Extended;High School or Below;Unemployed;F;0;81;3;60;2;2;No
8672.229719;Extended;Bachelor;Unemployed;M;0;245;34;83;0;1;No
8044.73072;Basic;Master;Employed;M;44320;67;13;79;0;2;No
4001.519098;Premium;High School or Below;Retired;F;19782;108;13;66;0;1;No
16706.11699;Basic;Bachelor;Employed;F;63933;70;35;98;0;2;No
8544.411077;Basic;Doctor;Employed;M;28224;109;13;13;0;8;No
7805.31287;Basic;College;Retired;F;21073;106;25;54;1;3;No
6112.756868;Extended;Bachelor;Employed;M;63243;77;21;73;0;3;No
4772.943848;Extended;High School or Below;Retired;M;20993;133;35;90;0;1;No
10979.09559;Extended;Bachelor;Employed;F;94827;135;5;64;0;4;No
5004.263818;Basic;Master;Employed;F;39161;63;18;83;1;4;No
13223.04379;Extended;Bachelor;Employed;M;37534;84;2;0;2;2;No
2623.31543;Basic;Bachelor;Employed;F;80210;65;30;28;0;1;No
17840.19555;Basic;Bachelor;Unemployed;M;0;62;32;59;0;2;No
5106.111827;Basic;College;Employed;F;30110;64;2;4;0;5;No
17930.60451;Basic;College;Medical Leave;F;21708;68;28;77;0;2;No
5457.342569;Basic;High School or Below;Employed;M;94731;67;23;65;0;4;No
6563.644143;Extended;Bachelor;Employed;M;32375;83;17;83;0;6;No
4812.525221;Basic;College;Medical Leave;M;16531;63;0;40;0;4;No
29328.04185;Extended;Master;Employed;F;32006;94;28;7;0;2;No
5773.520711;Basic;Bachelor;Employed;F;81676;72;21;86;0;8;No
6847.1189;Extended;College;Employed;M;71038;86;15;56;0;3;No
3595.31286;Basic;High School or Below;Unemployed;F;0;103;20;43;0;1;No
22855.61209;Basic;Master;Medical Leave;F;20832;65;8;32;0;2;No
7859.414569;Basic;High School or Below;Unemployed;M;0;113;19;10;0;7;No
4115.577437;Premium;High School or Below;Employed;M;52405;103;2;27;0;1;No
5029.638777;Extended;High School or Below;Unemployed;F;0;133;3;89;0;1;No
4821.418454;Extended;Bachelor;Employed;F;26583;128;6;46;4;1;No
5004.310469;Basic;Master;Disabled;M;25486;65;15;53;0;3;No
8630.053943;Premium;College;Employed;M;24065;111;30;1;0;5;No
9322.08512;Premium;High School or Below;Employed;F;70435;116;0;50;0;4;No
16727.56063;Extended;College;Unemployed;M;0;76;33;36;2;2;No
3652.532435;Extended;High School or Below;Employed;F;39679;92;2;85;0;1;No
6158.601171;Extended;College;Unemployed;M;0;89;13;45;0;5;No
4376.083958;Basic;Bachelor;Unemployed;M;0;69;21;70;4;3;No
5569.456156;Basic;High School or Below;Employed;M;53565;71;27;34;1;6;No
2576.513006;Basic;Bachelor;Employed;M;37574;66;19;14;1;1;No
8346.983233;Premium;Bachelor;Employed;M;48259;108;14;79;0;3;No
6323.923864;Extended;High School or Below;Employed;F;78532;78;25;87;0;3;No
5973.14343;Basic;Bachelor;Employed;F;96163;73;23;90;0;3;No
4706.676993;Basic;Bachelor;Unemployed;M;0;72;0;86;0;7;No
8093.410258;Basic;High School or Below;Unemployed;M;0;114;9;72;1;5;No
5035.744643;Basic;College;Employed;M;72672;63;7;39;0;5;No
9027.867218;Premium;Bachelor;Employed;F;99002;112;33;75;1;8;No
7288.884849;Extended;High School or Below;Employed;M;79494;91;19;30;0;3;No
18042.47942;Extended;Master;Employed;M;35704;225;21;35;0;8;No
4992.063043;Basic;Bachelor;Unemployed;F;0;71;6;5;0;3;No
9102.267849;Premium;High School or Below;Disabled;F;26049;118;17;6;0;6;No
2540.407726;Basic;Doctor;Employed;M;70125;64;21;77;0;1;No
12941.89193;Basic;College;Employed;M;52369;110;34;49;1;2;No
2365.348601;Basic;Bachelor;Unemployed;F;0;66;25;51;2;1;No
5720.765064;Basic;College;Employed;M;41770;72;0;60;0;9;No
7035.534088;Premium;High School or Below;Unemployed;M;0;101;16;88;0;8;No
2636.97773;Basic;College;Employed;M;31911;67;33;27;0;1;No
5395.831967;Basic;Bachelor;Employed;M;70051;68;15;69;0;8;No
8382.630118;Basic;High School or Below;Retired;M;19683;117;17;41;1;9;No
31161.74523;Basic;College;Employed;F;30916;112;7;65;0;2;No
2887.742258;Extended;Bachelor;Unemployed;F;0;80;24;95;0;1;No
8714.922135;Basic;College;Unemployed;F;0;118;14;64;0;4;No
25585.72783;Basic;Bachelor;Unemployed;M;0;116;0;45;0;2;No
10272.6082;Extended;College;Employed;M;60145;132;8;28;0;3;No
4376.363592;Premium;Bachelor;Employed;F;63774;111;18;63;0;1;No
5318.89664;Basic;Bachelor;Employed;F;25134;67;3;0;0;6;No
4719.762191;Basic;Bachelor;Employed;M;37057;61;5;48;1;6;No
4428.031583;Basic;High School or Below;Employed;F;58577;110;6;62;0;1;No
5879.176092;Basic;High School or Below;Employed;M;85857;73;3;19;0;6;No
9416.908485;Basic;Doctor;Employed;F;70602;116;8;47;0;3;No
8288.155579;Premium;Master;Employed;F;33816;106;10;97;2;3;No
32654.8383;Premium;Bachelor;Unemployed;M;0;153;7;75;0;2;No
4719.450052;Extended;College;Employed;F;89642;121;11;20;4;1;No
3903.474784;Extended;Bachelor;Employed;F;60068;98;17;75;0;1;No
5457.259678;Extended;Bachelor;Employed;F;50044;139;16;14;0;1;No
2725.356404;Basic;Master;Employed;F;36650;69;2;70;1;1;No
4433.97368;Basic;College;Employed;F;50653;110;29;42;0;1;No
5332.462694;Basic;Doctor;Employed;F;68931;66;32;30;0;7;No
2315.094985;Basic;Bachelor;Unemployed;M;0;73;14;39;1;1;No
5411.953687;Basic;College;Unemployed;F;0;73;1;22;0;5;No
9587.33234;Extended;Bachelor;Employed;M;39266;80;33;31;0;2;No
22103.5072;Basic;College;Unemployed;M;0;102;35;48;0;2;No
9764.945308;Extended;High School or Below;Unemployed;F;0;98;24;11;1;2;No
2567.151468;Basic;Bachelor;Employed;F;40864;65;2;75;0;1;No
2650.622781;Basic;College;Employed;F;39035;68;15;65;0;1;No
11264.36334;Extended;Bachelor;Employed;M;34923;98;23;82;0;2;No
2168.523464;Basic;High School or Below;Unemployed;M;0;63;1;56;0;1;No
8610.667489;Basic;High School or Below;Unemployed;F;0;111;27;36;0;9;No
2834.646235;Basic;College;Employed;F;24506;71;7;47;0;1;No
8930.139728;Extended;High School or Below;Unemployed;M;0;82;25;63;0;2;No
5536.386959;Basic;College;Employed;F;52220;70;17;42;1;5;No
2840.85429;Basic;High School or Below;Unemployed;M;0;74;17;73;0;1;No
8082.880956;Basic;College;Employed;M;53554;67;6;5;0;2;No
5254.734278;Basic;Bachelor;Employed;M;34476;67;23;49;1;3;No
5116.237577;Basic;Bachelor;Unemployed;F;0;70;1;11;0;5;No
3034.646997;Extended;College;Employed;M;68205;76;35;14;0;1;No
8024.89992;Basic;High School or Below;Unemployed;F;0;119;6;48;1;8;No
18211.14319;Premium;High School or Below;Employed;M;53690;154;20;97;0;2;No
5121.563312;Basic;High School or Below;Unemployed;M;0;72;2;22;0;5;No
2150.178588;Basic;High School or Below;Unemployed;F;0;61;28;31;0;1;No
5595.389905;Basic;High School or Below;Employed;F;74454;71;25;29;0;3;No
7562.824036;Basic;Bachelor;Unemployed;F;0;73;23;91;0;2;No
5385.853211;Basic;High School or Below;Medical Leave;M;29664;71;1;69;0;3;No
4718.558501;Basic;Master;Disabled;M;15680;64;20;29;0;8;No
9422.567923;Extended;Bachelor;Employed;F;47272;79;17;17;3;2;No
3605.860265;Extended;College;Employed;F;21585;92;35;61;0;1;No
7762.590564;Premium;College;Disabled;F;23827;106;18;77;2;3;No
23444.90045;Basic;College;Employed;F;69906;74;34;32;2;2;No
2558.178159;Basic;High School or Below;Unemployed;F;0;72;7;77;0;1;No
5123.170887;Basic;Master;Employed;F;89879;63;17;20;0;3;No
2537.744494;Basic;High School or Below;Unemployed;F;0;69;9;89;0;1;No
2969.593296;Basic;High School or Below;Employed;M;46131;74;27;28;0;1;No
4363.124641;Basic;Master;Employed;F;54514;109;5;36;3;1;No
5884.308607;Premium;High School or Below;Unemployed;F;0;161;29;1;0;1;No
5272.191556;Basic;College;Employed;F;96668;66;2;95;0;3;No
5509.895664;Basic;Doctor;Employed;M;78879;69;9;67;1;4;No
16313.68349;Basic;College;Unemployed;M;0;69;21;86;0;2;No
5678.050167;Extended;Bachelor;Unemployed;F;0;76;8;44;0;3;No
12101.20884;Basic;Bachelor;Unemployed;F;0;112;28;30;0;2;No
2453.570794;Basic;Bachelor;Medical Leave;M;29735;69;3;92;0;1;No
5075.66267;Basic;High School or Below;Medical Leave;M;23082;65;18;90;0;7;No
3214.979402;Extended;Bachelor;Employed;M;53984;80;15;62;0;1;No
12275.34309;Premium;College;Employed;F;52135;156;6;86;0;9;No
2722.210707;Basic;College;Medical Leave;F;17576;71;29;70;0;1;No
2457.440923;Basic;Bachelor;Employed;F;29486;62;19;73;0;1;No
3554.845264;Extended;Master;Employed;F;58557;88;4;83;0;1;No
4929.549699;Basic;Bachelor;Employed;M;25632;63;27;52;0;7;No
8036.45034;Basic;High School or Below;Unemployed;F;0;112;7;42;0;9;No
4276.915328;Basic;Bachelor;Disabled;M;18768;68;19;53;3;3;No
33473.34946;Basic;Bachelor;Employed;F;33190;106;18;95;0;2;No
5960.581363;Basic;Master;Employed;F;47945;74;32;39;0;3;No
44795.46942;Extended;College;Employed;M;58778;126;6;62;0;2;No
3832.118106;Basic;High School or Below;Disabled;F;15192;100;1;7;0;1;No
6837.932624;Premium;Bachelor;Employed;F;51859;171;0;21;0;1;No
5285.26816;Basic;High School or Below;Retired;F;23422;72;25;76;0;3;No
3096.511217;Extended;College;Employed;F;21604;79;14;28;0;1;No
3589.710715;Extended;College;Employed;M;79298;90;22;2;0;1;No
2582.408525;Basic;Bachelor;Employed;F;76731;64;2;68;0;1;No
2487.729726;Basic;College;Employed;F;67282;62;29;27;0;1;No
13575.67599;Basic;College;Employed;F;48534;115;29;79;1;2;No
4685.504251;Premium;Doctor;Employed;M;77678;116;32;81;0;1;No
28685.82785;Basic;College;Employed;F;48412;104;15;23;0;2;No
