Id;age;years_of_experience;lesson_price;qualification;physics;chemistry;biology;english;geography;history;mean_exam_points
37;52.0;1.0;2100.0;2.0;Yes;No;No;No;No;No;84.0
38;56.0;1.0;2250.0;3.0;Yes;No;No;Yes;No;No;83.0
39;34.0;4.0;1250.0;1.0;Yes;Yes;No;No;No;No;68.0
40;53.0;4.0;1500.0;1.0;No;No;No;No;No;No;39.0
41;51.0;3.0;1150.0;1.0;No;No;No;No;No;No;59.0
42;63.0;8.0;2100.0;3.0;Yes;No;No;No;No;No;94.0
43;51.0;0.0;1750.0;2.0;No;No;No;No;No;No;65.0
44;31.0;1.0;2800.0;3.0;No;No;No;No;No;No;80.0
45;42.0;3.0;1350.0;1.0;No;No;No;No;No;No;60.0
46;43.0;3.0;1300.0;1.0;No;No;No;No;No;No;51.0
47;38.0;0.0;1200.0;1.0;No;No;No;No;Yes;No;52.0
48;58.0;2.0;1300.0;2.0;Yes;No;No;No;No;No;59.0
49;44.0;4.0;2200.0;3.0;Yes;No;No;No;No;No;92.0
50;38.0;3.0;1000.0;1.0;Yes;No;No;No;No;No;64.0
51;58.0;2.0;1950.0;2.0;Yes;No;No;No;No;No;74.0
52;52.0;3.0;1600.0;3.0;No;No;No;No;No;No;56.0
53;48.0;0.0;2200.0;3.0;Yes;No;No;No;No;No;90.0
54;48.0;2.0;1300.0;1.0;Yes;No;No;No;No;No;61.0
55;57.0;2.0;1300.0;1.0;No;No;No;No;No;Yes;58.0
56;50.0;4.0;1800.0;2.0;No;No;No;No;No;No;61.0
57;47.0;0.0;1750.0;2.0;No;No;No;No;No;No;66.0
58;43.0;0.0;1500.0;1.0;Yes;No;No;No;No;No;44.0
59;65.0;2.0;2200.0;2.0;Yes;No;No;No;No;No;74.0
60;47.0;1.0;1350.0;1.0;No;No;No;No;No;No;56.0
61;49.0;3.0;1450.0;1.0;No;No;No;No;No;No;42.0
62;52.0;3.0;1150.0;1.0;Yes;Yes;No;No;No;No;60.0
63;50.0;5.0;2500.0;3.0;Yes;No;No;No;No;No;91.0
64;46.0;0.0;1550.0;1.0;No;Yes;No;No;Yes;No;43.0
65;45.0;2.0;2050.0;2.0;Yes;No;No;Yes;No;No;79.0
66;33.0;1.0;1350.0;1.0;No;No;No;No;No;No;36.0
67;49.0;0.0;2200.0;2.0;No;Yes;No;No;No;No;67.0
68;66.0;0.0;1150.0;1.0;No;Yes;No;No;No;No;55.0
69;42.0;0.0;2250.0;3.0;Yes;No;No;No;No;No;84.0
70;57.0;0.0;1400.0;1.0;No;No;No;No;No;No;57.0
71;47.0;1.0;1050.0;1.0;Yes;No;No;No;No;No;49.0
72;40.0;0.0;1400.0;2.0;No;No;No;Yes;No;No;59.0
73;43.0;1.0;1700.0;2.0;Yes;No;No;Yes;No;No;70.0
74;52.0;0.0;1200.0;1.0;No;Yes;No;No;No;No;54.0
75;42.0;2.0;1550.0;3.0;Yes;No;No;No;No;No;60.0
76;38.0;3.0;2950.0;3.0;Yes;No;No;Yes;No;No;92.0
77;41.0;2.0;1100.0;1.0;No;No;No;No;No;No;61.0
78;46.0;0.0;2200.0;2.0;Yes;Yes;No;No;No;No;71.0
79;51.0;0.0;1750.0;2.0;No;No;No;No;No;No;65.0
80;47.0;3.0;2000.0;1.0;No;No;No;No;No;No;61.0
81;53.0;1.0;2250.0;3.0;No;No;No;No;No;No;74.0
82;46.0;1.0;1500.0;1.0;Yes;No;No;No;No;No;42.0
83;55.0;0.0;1200.0;1.0;No;No;No;No;No;No;51.0
84;46.0;3.0;1650.0;1.0;No;No;No;No;No;No;36.0
85;63.0;0.0;1200.0;1.0;Yes;No;No;No;No;No;56.0
86;46.0;4.0;3100.0;3.0;Yes;No;No;No;No;No;90.0
87;48.0;2.0;2050.0;3.0;No;Yes;No;No;No;No;80.0
88;36.0;0.0;2250.0;3.0;No;No;No;No;No;No;85.0
89;36.0;1.0;1500.0;1.0;No;No;No;No;No;No;61.0
90;55.0;1.0;2100.0;3.0;Yes;No;No;No;No;No;89.0
91;64.0;2.0;1750.0;1.0;No;No;No;No;No;No;62.0
92;44.0;2.0;1250.0;1.0;Yes;No;No;No;No;No;57.0
93;46.0;0.0;1200.0;1.0;No;No;No;No;No;No;54.0
94;31.0;2.0;2750.0;3.0;No;Yes;No;No;Yes;No;86.0
95;57.0;0.0;1250.0;1.0;No;No;No;No;No;No;46.0
96;50.0;0.0;1500.0;2.0;No;Yes;No;No;No;No;53.0
97;49.0;0.0;1200.0;1.0;No;No;No;No;No;No;50.0
98;45.0;1.0;2150.0;3.0;No;Yes;No;No;No;No;78.0
99;62.0;5.0;1950.0;1.0;Yes;Yes;No;No;No;No;40.0
100;42.0;1.0;1150.0;1.0;No;No;No;No;No;No;48.0
101;58.0;3.0;1500.0;2.0;Yes;No;No;No;No;No;74.0
102;42.0;0.0;1450.0;1.0;No;No;No;No;No;No;57.0
103;56.0;1.0;1400.0;1.0;No;No;No;No;No;No;59.0
104;52.0;4.0;1350.0;2.0;No;No;No;No;No;No;50.0
105;43.0;1.0;1500.0;1.0;Yes;No;No;No;No;No;45.0
106;65.0;0.0;1200.0;1.0;No;Yes;No;No;No;No;47.0
107;33.0;4.0;950.0;1.0;Yes;No;No;Yes;No;No;67.0
108;60.0;2.0;1300.0;1.0;No;Yes;No;No;No;No;60.0
109;49.0;1.0;1550.0;1.0;No;No;No;No;No;No;39.0
110;34.0;4.0;1700.0;2.0;No;No;No;No;No;No;64.0
111;36.0;0.0;1500.0;2.0;Yes;No;Yes;No;Yes;No;64.0
112;46.0;4.0;2800.0;3.0;No;No;No;No;No;No;84.0
113;48.0;6.0;1250.0;2.0;Yes;No;No;No;No;No;62.0
114;47.0;2.0;2550.0;2.0;No;No;No;No;No;No;64.0
115;51.0;5.0;2650.0;3.0;No;No;No;No;No;No;81.0
116;53.0;0.0;1150.0;1.0;No;No;No;No;No;No;58.0
117;53.0;4.0;1600.0;1.0;No;No;No;No;No;No;43.0
118;45.0;2.0;1700.0;1.0;Yes;No;Yes;No;No;No;60.0
119;47.0;7.0;1900.0;1.0;No;No;No;No;No;No;50.0
120;47.0;3.0;1600.0;2.0;Yes;No;No;No;No;No;69.0
121;54.0;2.0;1800.0;2.0;No;No;No;No;No;No;62.0
122;43.0;0.0;1300.0;1.0;No;No;No;Yes;No;No;61.0
123;46.0;2.0;2200.0;3.0;No;No;No;No;No;No;79.0
124;56.0;2.0;1750.0;1.0;No;No;No;No;No;No;56.0
125;45.0;3.0;1900.0;2.0;No;No;No;No;No;No;64.0
126;42.0;2.0;1400.0;1.0;No;No;No;No;No;No;62.0
127;51.0;0.0;1350.0;1.0;No;No;No;No;No;No;58.0
128;40.0;0.0;1300.0;1.0;No;No;No;No;No;No;62.0
129;50.0;2.0;1550.0;1.0;Yes;Yes;No;No;Yes;No;67.0
130;43.0;0.0;1550.0;1.0;No;No;No;No;No;No;42.0
131;42.0;0.0;1500.0;2.0;No;No;No;No;No;No;55.0
132;46.0;0.0;1200.0;1.0;No;No;No;No;No;No;50.0
133;45.0;0.0;1350.0;1.0;Yes;No;Yes;No;No;No;75.0
134;46.0;1.0;2150.0;2.0;No;No;No;No;No;No;72.0
135;52.0;1.0;1400.0;1.0;No;No;No;Yes;No;No;62.0
136;41.0;4.0;1650.0;3.0;No;Yes;No;No;No;No;81.0
137;45.0;0.0;1500.0;2.0;No;No;No;No;No;No;52.0
138;40.0;1.0;1550.0;1.0;Yes;No;No;No;No;No;47.0
139;50.0;2.0;1350.0;1.0;No;Yes;No;No;No;No;61.0
140;36.0;4.0;1600.0;2.0;No;No;No;No;No;No;66.0
141;44.0;0.0;1450.0;2.0;Yes;No;No;No;No;No;57.0
142;50.0;5.0;2200.0;3.0;Yes;No;No;No;No;No;94.0
143;47.0;3.0;2300.0;3.0;Yes;No;No;No;No;No;80.0
144;35.0;0.0;1450.0;1.0;Yes;No;No;Yes;No;No;66.0
145;43.0;4.0;1250.0;1.0;No;No;No;No;No;No;40.0
146;45.0;6.0;850.0;1.0;Yes;Yes;Yes;No;No;No;52.0
147;44.0;2.0;1500.0;2.0;No;No;No;No;No;No;51.0
148;58.0;3.0;2200.0;2.0;No;No;No;No;No;No;63.0
149;51.0;5.0;2250.0;3.0;Yes;No;No;No;Yes;No;87.0
150;45.0;3.0;1800.0;1.0;Yes;No;No;No;No;No;58.0
151;65.0;2.0;1500.0;2.0;No;No;Yes;No;No;No;69.0
152;68.0;3.0;2200.0;3.0;No;No;No;No;No;No;75.0
153;32.0;3.0;1550.0;2.0;No;No;No;No;No;No;55.0
154;52.0;6.0;3050.0;3.0;Yes;No;No;No;No;No;85.0
155;46.0;0.0;1400.0;1.0;No;No;No;No;No;No;61.0
156;36.0;0.0;1700.0;2.0;No;No;Yes;No;No;No;69.0
157;53.0;1.0;2200.0;2.0;Yes;No;No;No;No;No;76.0
158;49.0;5.0;3200.0;3.0;Yes;No;No;No;No;No;90.0
159;45.0;2.0;1600.0;2.0;No;No;No;No;No;No;53.0
160;55.0;0.0;1300.0;1.0;No;No;No;No;No;No;64.0
161;53.0;6.0;2000.0;2.0;Yes;Yes;No;No;No;No;46.0
162;41.0;2.0;1150.0;1.0;No;No;No;No;No;No;47.0
163;44.0;2.0;1400.0;1.0;No;Yes;No;No;No;No;59.0
164;44.0;5.0;1900.0;1.0;Yes;Yes;No;No;No;No;63.0
165;49.0;0.0;1200.0;1.0;No;No;No;No;No;No;58.0
166;30.0;1.0;1200.0;1.0;No;Yes;Yes;No;No;No;68.0
167;36.0;1.0;1200.0;1.0;No;No;No;No;No;No;47.0
168;35.0;0.0;1450.0;1.0;Yes;No;No;No;No;No;61.0
169;45.0;0.0;1450.0;1.0;No;No;No;No;No;No;58.0
170;53.0;7.0;1600.0;1.0;No;Yes;No;Yes;No;No;48.0
171;41.0;0.0;1500.0;1.0;No;Yes;No;No;No;No;36.0
172;58.0;5.0;2450.0;3.0;Yes;No;No;No;No;No;88.0
173;49.0;4.0;2550.0;3.0;No;No;No;No;No;No;88.0
174;55.0;3.0;1800.0;1.0;No;No;No;No;No;No;44.0
175;37.0;3.0;1550.0;1.0;No;No;No;No;Yes;No;35.0
176;46.0;5.0;3150.0;3.0;No;No;No;No;No;No;86.0
177;40.0;0.0;2200.0;2.0;No;No;No;No;No;No;75.0
178;51.0;2.0;2300.0;2.0;Yes;No;No;No;No;No;71.0
179;53.0;2.0;1300.0;1.0;No;No;No;No;No;No;57.0
180;39.0;3.0;1500.0;1.0;Yes;No;No;No;No;No;65.0
181;52.0;4.0;1400.0;1.0;No;No;No;No;No;Yes;58.0
182;44.0;1.0;1700.0;2.0;No;No;No;No;No;No;61.0
183;47.0;0.0;2200.0;2.0;No;No;Yes;No;No;No;74.0
184;39.0;0.0;1200.0;1.0;Yes;No;No;No;No;No;60.0
185;49.0;1.0;2250.0;2.0;Yes;No;Yes;No;No;No;77.0
186;46.0;1.0;1200.0;1.0;No;No;No;No;No;No;52.0
187;56.0;6.0;3300.0;3.0;No;No;No;No;Yes;No;80.0
188;62.0;2.0;2500.0;2.0;No;No;No;No;No;No;68.0
189;47.0;5.0;600.0;1.0;Yes;No;No;No;No;No;56.0
190;49.0;4.0;1650.0;1.0;Yes;No;Yes;No;No;No;61.0
191;52.0;6.0;1900.0;3.0;No;No;No;No;No;No;74.0
192;50.0;0.0;1700.0;2.0;Yes;No;No;No;No;No;70.0
193;45.0;5.0;1700.0;1.0;No;No;Yes;No;No;No;36.0
194;40.0;2.0;2000.0;2.0;No;Yes;Yes;No;No;No;70.0
195;56.0;3.0;1300.0;1.0;No;No;No;No;No;No;50.0
196;44.0;3.0;1300.0;1.0;Yes;No;Yes;No;No;No;59.0
197;31.0;6.0;1350.0;1.0;No;No;No;No;No;No;67.0
198;31.0;2.0;1150.0;1.0;No;No;No;No;No;No;64.0
199;60.0;2.0;2150.0;2.0;Yes;No;Yes;No;Yes;No;73.0
200;44.0;1.0;2150.0;2.0;Yes;No;No;No;No;No;75.0
201;36.0;4.0;1300.0;1.0;No;No;Yes;No;No;No;60.0
202;38.0;3.0;1250.0;1.0;No;No;No;No;No;No;49.0
203;48.0;2.0;1750.0;1.0;Yes;No;No;No;No;No;65.0
204;41.0;0.0;2150.0;2.0;No;No;No;No;No;No;70.0
205;55.0;0.0;1450.0;1.0;No;No;No;No;No;No;64.0
206;35.0;0.0;1400.0;1.0;No;No;No;No;No;No;53.0
207;55.0;2.0;1200.0;1.0;Yes;No;No;No;No;No;48.0
208;43.0;1.0;1300.0;1.0;No;No;Yes;No;No;No;47.0
209;48.0;1.0;1450.0;1.0;Yes;No;Yes;No;No;No;64.0
210;43.0;1.0;2200.0;2.0;No;Yes;No;No;No;No;68.0
211;43.0;6.0;600.0;1.0;No;No;No;No;No;No;55.0
212;33.0;0.0;1200.0;1.0;No;No;No;No;No;No;48.0
213;43.0;2.0;1300.0;1.0;No;No;Yes;No;No;No;37.0
214;39.0;0.0;1200.0;1.0;No;No;No;No;No;No;54.0
215;55.0;0.0;2200.0;2.0;No;No;No;No;Yes;No;71.0
216;43.0;3.0;2100.0;2.0;No;No;No;No;No;No;65.0
217;45.0;2.0;1000.0;1.0;No;Yes;No;No;No;No;53.0
218;53.0;0.0;1150.0;1.0;No;No;No;No;No;No;55.0
219;46.0;3.0;1800.0;2.0;Yes;No;No;No;No;No;65.0
220;36.0;0.0;1700.0;2.0;No;No;Yes;No;No;No;69.0
221;42.0;2.0;1150.0;1.0;Yes;No;No;No;No;No;56.0
222;50.0;0.0;1450.0;1.0;No;No;No;No;No;No;64.0
223;52.0;0.0;1200.0;1.0;Yes;No;No;Yes;No;No;62.0
224;51.0;4.0;1950.0;2.0;No;No;No;No;No;No;72.0
225;39.0;3.0;2650.0;3.0;Yes;No;Yes;No;No;No;93.0
226;52.0;2.0;2050.0;3.0;Yes;No;No;No;No;No;78.0
227;53.0;2.0;2000.0;3.0;Yes;No;No;No;No;No;87.0
228;55.0;4.0;2450.0;2.0;Yes;No;No;No;No;No;70.0
229;52.0;3.0;1150.0;1.0;No;No;No;No;No;No;64.0
230;52.0;5.0;2850.0;3.0;No;Yes;No;No;No;No;88.0
231;47.0;0.0;2150.0;2.0;Yes;No;No;No;No;No;78.0
232;55.0;5.0;2700.0;3.0;Yes;No;No;No;No;No;90.0
233;43.0;2.0;1400.0;1.0;No;No;No;No;No;No;46.0
234;50.0;6.0;2750.0;3.0;Yes;No;No;No;No;No;99.0
235;52.0;0.0;2200.0;3.0;Yes;No;No;No;No;No;88.0
236;50.0;1.0;1500.0;2.0;No;No;No;No;No;No;58.0
237;47.0;2.0;1250.0;1.0;Yes;No;No;No;No;No;69.0
238;58.0;2.0;1100.0;1.0;No;No;No;No;No;No;55.0
239;36.0;4.0;800.0;1.0;No;No;No;No;No;No;64.0
240;49.0;5.0;1900.0;3.0;No;No;No;No;No;No;86.0
241;53.0;1.0;1150.0;1.0;No;No;No;No;No;No;58.0
242;38.0;2.0;1650.0;2.0;No;No;No;No;No;No;67.0
243;23.0;5.0;1450.0;1.0;No;No;No;No;No;No;55.0
244;42.0;3.0;1550.0;1.0;No;No;No;No;No;No;59.0
245;43.0;1.0;1500.0;2.0;Yes;No;No;Yes;No;No;60.0
246;41.0;2.0;1300.0;1.0;No;No;No;No;Yes;No;38.0
247;60.0;0.0;1550.0;1.0;No;No;No;No;No;No;39.0
248;39.0;6.0;2250.0;3.0;Yes;No;No;No;No;No;87.0
249;42.0;1.0;1750.0;2.0;No;No;No;No;No;No;65.0
250;45.0;1.0;1250.0;1.0;No;No;No;No;No;No;53.0
251;37.0;1.0;1450.0;2.0;Yes;Yes;No;No;No;No;54.0
252;38.0;1.0;1700.0;2.0;Yes;No;No;Yes;No;No;72.0
253;32.0;5.0;1300.0;1.0;Yes;No;No;No;No;No;71.0
254;36.0;0.0;1750.0;2.0;No;No;No;No;No;No;68.0
255;53.0;4.0;1100.0;2.0;No;No;No;No;No;No;54.0
256;51.0;0.0;1500.0;2.0;No;No;No;No;No;No;47.0
257;46.0;2.0;1250.0;1.0;No;No;No;No;No;No;68.0
258;46.0;2.0;2050.0;2.0;Yes;No;No;No;No;No;75.0
259;55.0;2.0;1450.0;2.0;No;No;No;No;No;No;55.0
260;56.0;0.0;1150.0;1.0;No;No;No;No;No;No;50.0
261;68.0;10.0;2750.0;3.0;Yes;No;No;No;No;No;88.0
262;53.0;3.0;1250.0;2.0;No;No;No;No;No;No;53.0
263;50.0;2.0;1050.0;1.0;No;No;No;No;No;No;54.0
264;50.0;5.0;3100.0;3.0;No;No;No;No;No;No;85.0
265;31.0;1.0;2200.0;2.0;Yes;No;No;No;No;No;73.0
266;53.0;4.0;1750.0;2.0;Yes;No;No;No;No;No;69.0
267;56.0;3.0;1400.0;2.0;No;No;No;No;Yes;No;54.0
268;29.0;1.0;1500.0;2.0;No;No;No;No;No;No;60.0
269;48.0;3.0;1700.0;3.0;No;No;No;No;No;No;53.0
270;37.0;0.0;1700.0;2.0;No;No;No;No;No;No;61.0
271;42.0;1.0;1500.0;2.0;No;No;No;No;No;No;54.0
272;63.0;5.0;2300.0;1.0;Yes;No;No;No;No;No;68.0
273;39.0;2.0;950.0;1.0;Yes;No;No;No;No;No;57.0
274;40.0;1.0;2100.0;3.0;Yes;No;No;No;No;No;85.0
275;44.0;7.0;2500.0;4.0;No;No;No;No;No;No;82.0
276;39.0;3.0;2200.0;2.0;Yes;No;No;No;No;No;72.0
277;46.0;1.0;2250.0;3.0;No;No;Yes;No;No;Yes;80.0
278;32.0;1.0;1250.0;1.0;No;No;No;No;No;No;69.0
279;58.0;2.0;1100.0;1.0;No;No;No;No;No;No;55.0
280;52.0;3.0;1250.0;2.0;Yes;No;No;No;No;No;62.0
281;42.0;1.0;2200.0;3.0;Yes;No;No;No;No;No;87.0
282;49.0;2.0;1650.0;1.0;No;No;Yes;No;No;No;50.0
283;51.0;0.0;1550.0;1.0;Yes;No;Yes;No;No;No;48.0
284;35.0;0.0;1200.0;1.0;Yes;Yes;No;No;No;No;62.0
285;50.0;2.0;1250.0;1.0;No;No;No;No;No;No;64.0
286;37.0;2.0;2150.0;2.0;No;No;No;No;No;No;65.0
287;54.0;0.0;1500.0;2.0;No;No;Yes;No;No;No;57.0
288;54.0;1.0;1350.0;1.0;No;Yes;No;No;No;No;67.0
289;51.0;3.0;1550.0;1.0;No;No;No;No;No;No;66.0
290;31.0;6.0;1850.0;2.0;Yes;No;No;No;No;No;72.0
291;66.0;0.0;1450.0;2.0;No;No;No;No;No;No;57.0
292;38.0;3.0;1150.0;1.0;Yes;No;No;No;No;Yes;64.0
293;40.0;4.0;1100.0;2.0;No;No;No;No;No;No;58.0
294;36.0;0.0;1700.0;2.0;No;No;Yes;No;No;Yes;64.0
295;60.0;6.0;2750.0;3.0;No;No;Yes;No;No;No;82.0
296;54.0;4.0;1350.0;1.0;No;No;No;No;No;No;49.0
297;36.0;4.0;1850.0;2.0;Yes;No;No;No;No;No;69.0
298;46.0;3.0;1650.0;1.0;No;No;No;No;No;Yes;43.0
299;47.0;4.0;3100.0;3.0;No;No;No;Yes;No;No;83.0
300;40.0;3.0;1450.0;3.0;Yes;No;No;No;No;No;79.0
301;56.0;0.0;1250.0;1.0;Yes;No;No;No;No;No;57.0
302;49.0;1.0;1700.0;2.0;No;No;No;No;No;No;65.0
303;40.0;1.0;1150.0;1.0;Yes;No;No;No;No;No;58.0
304;52.0;0.0;1250.0;1.0;No;No;No;No;No;No;54.0
305;45.0;4.0;750.0;1.0;No;No;No;No;No;No;55.0
306;33.0;0.0;2200.0;2.0;No;No;No;No;No;No;66.0
307;50.0;4.0;2650.0;3.0;No;No;No;No;No;No;83.0
308;54.0;5.0;3350.0;3.0;No;No;No;No;No;No;79.0
309;38.0;1.0;2250.0;2.0;No;No;No;Yes;No;No;68.0
310;41.0;2.0;1250.0;1.0;Yes;No;No;No;No;No;51.0
311;41.0;1.0;1400.0;2.0;No;No;No;Yes;No;No;56.0
312;37.0;3.0;2850.0;3.0;No;No;No;No;No;No;80.0
313;59.0;3.0;1450.0;1.0;Yes;No;No;No;No;No;61.0
314;24.0;2.0;2750.0;3.0;No;No;No;No;No;No;84.0
315;43.0;2.0;1650.0;2.0;Yes;No;No;No;No;Yes;60.0
316;50.0;6.0;1600.0;1.0;No;No;No;No;No;Yes;40.0
317;36.0;1.0;2200.0;2.0;No;No;No;No;No;No;69.0
318;49.0;0.0;1300.0;1.0;Yes;No;Yes;Yes;No;No;73.0
319;61.0;7.0;2600.0;3.0;Yes;No;No;No;Yes;No;95.0
320;50.0;5.0;1450.0;1.0;No;Yes;No;No;No;No;62.0
321;44.0;0.0;1350.0;1.0;No;No;No;Yes;No;No;57.0
322;36.0;0.0;2200.0;3.0;Yes;No;Yes;No;No;No;82.0
323;33.0;2.0;2950.0;4.0;No;Yes;No;No;Yes;No;83.0
324;58.0;2.0;1250.0;1.0;No;No;No;No;No;No;46.0
325;28.0;6.0;2650.0;2.0;No;No;No;No;No;No;73.0
326;38.0;2.0;1400.0;1.0;No;No;No;No;No;No;52.0
327;59.0;1.0;1350.0;2.0;Yes;No;No;No;No;No;60.0
328;38.0;3.0;2850.0;3.0;No;No;No;No;No;No;81.0
329;34.0;2.0;1400.0;2.0;Yes;No;No;No;No;No;66.0
330;53.0;3.0;950.0;2.0;No;No;No;No;No;No;53.0
331;50.0;0.0;1400.0;1.0;Yes;No;No;No;No;No;71.0
332;63.0;3.0;1350.0;1.0;No;No;No;No;No;No;59.0
333;46.0;2.0;1500.0;1.0;Yes;No;No;No;No;No;70.0
334;51.0;6.0;1600.0;1.0;Yes;No;No;No;No;Yes;55.0
335;60.0;0.0;1450.0;1.0;Yes;No;No;No;No;No;62.0
336;47.0;1.0;1750.0;2.0;Yes;No;No;No;No;No;65.0
337;46.0;1.0;1550.0;2.0;Yes;No;No;No;No;No;64.0
338;41.0;2.0;1250.0;1.0;No;No;No;No;No;No;50.0
339;53.0;1.0;1650.0;2.0;No;No;No;No;No;No;67.0
340;49.0;5.0;3100.0;3.0;No;No;Yes;No;No;No;91.0
341;41.0;3.0;1150.0;2.0;Yes;No;No;Yes;No;No;60.0
342;58.0;0.0;1200.0;1.0;Yes;No;No;No;No;No;63.0
343;38.0;0.0;1450.0;2.0;Yes;No;No;No;No;No;57.0
344;46.0;0.0;2150.0;2.0;Yes;No;No;No;No;No;78.0
345;34.0;0.0;1450.0;2.0;No;No;No;No;No;No;55.0
346;37.0;2.0;1050.0;1.0;No;Yes;Yes;No;No;No;50.0
347;33.0;0.0;1250.0;1.0;No;No;No;No;No;No;51.0
348;53.0;1.0;1350.0;1.0;No;No;No;No;No;No;58.0
349;48.0;0.0;2200.0;3.0;No;No;No;No;No;No;86.0
350;48.0;1.0;1400.0;2.0;No;No;No;No;No;No;56.0
351;43.0;4.0;2550.0;3.0;No;No;No;No;No;No;87.0
352;50.0;4.0;1200.0;1.0;Yes;No;Yes;No;No;No;63.0
353;51.0;4.0;2650.0;3.0;No;No;No;No;No;No;79.0
354;48.0;3.0;1200.0;1.0;No;No;No;No;No;No;64.0
355;43.0;2.0;1600.0;2.0;Yes;No;No;No;No;No;73.0
356;47.0;4.0;1600.0;1.0;No;Yes;No;No;No;No;51.0
357;56.0;3.0;1200.0;2.0;No;No;No;No;No;No;52.0
358;35.0;1.0;1300.0;1.0;No;No;No;No;No;No;47.0
359;48.0;9.0;1450.0;1.0;Yes;No;No;No;No;Yes;58.0
360;39.0;0.0;1150.0;1.0;Yes;No;No;No;No;No;61.0
361;41.0;3.0;1050.0;1.0;No;No;No;No;No;No;54.0
362;39.0;0.0;1700.0;2.0;No;No;No;No;No;No;64.0
363;40.0;0.0;1450.0;1.0;No;No;No;No;No;No;62.0
364;38.0;3.0;2700.0;3.0;Yes;Yes;No;No;No;No;94.0
365;45.0;4.0;1450.0;1.0;Yes;No;No;No;No;No;62.0
366;43.0;1.0;1200.0;1.0;No;No;No;No;No;Yes;55.0
367;33.0;2.0;1700.0;1.0;No;No;No;Yes;No;No;38.0
368;37.0;2.0;2300.0;3.0;No;Yes;No;No;No;No;80.0
369;54.0;3.0;1900.0;2.0;Yes;No;No;No;No;No;66.0
370;50.0;2.0;1650.0;1.0;Yes;No;No;No;No;No;44.0
371;47.0;1.0;1450.0;1.0;Yes;No;No;No;No;No;66.0
372;40.0;1.0;1700.0;2.0;No;No;No;No;No;No;63.0
373;39.0;0.0;1700.0;2.0;No;No;No;No;No;No;59.0
374;50.0;3.0;800.0;1.0;No;No;No;No;No;No;55.0
375;48.0;2.0;1450.0;2.0;Yes;No;No;No;No;No;63.0
376;28.0;0.0;1550.0;1.0;No;No;No;No;No;No;39.0
377;42.0;2.0;1350.0;1.0;No;No;Yes;No;No;No;64.0
378;32.0;1.0;1700.0;2.0;No;No;No;No;No;No;71.0
379;48.0;5.0;2700.0;3.0;No;No;No;Yes;No;No;82.0
380;56.0;3.0;1250.0;1.0;No;No;No;No;No;No;48.0
381;51.0;2.0;1350.0;1.0;No;No;Yes;No;No;No;65.0
