возраст;образование;стаж;проживание;доход;статус;дефолт
26;высшее;1;7;27;постоянный;нет
33;неполное среднее;5;10;18;постоянный;нет
45;среднее специальное;18;19;35;постоянный;нет
39;неполное среднее;17;20;60;постоянный;нет
24;неполное среднее;7;2;21;постоянный;нет
29;среднее специальное;6;7;57;постоянный;нет
27;среднее специальное;1;0;23;постоянный;нет
40;неполное среднее;13;2;28;постоянный;нет
29;неполное среднее;8;10;24;постоянный;нет
29;среднее специальное;4;3;37;постоянный;да
24;неполное среднее;0;2;16;постоянный;да
27;неполное среднее;9;6;45;постоянный;да
41;высшее;16;22;135;постоянный;нет
31;неполное среднее;11;8;25;постоянный;нет
41;неполное среднее;16;17;68;постоянный;нет
42;среднее специальное;5;3;41;постоянный;нет
28;высшее;1;3;26;постоянный;нет
30;высшее;2;8;25;постоянный;нет
30;неполное среднее;11;1;33;постоянный;нет
31;неполное среднее;8;4;44;постоянный;нет
45;среднее специальное;15;14;51;постоянный;нет
43;неполное среднее;13;23;76;постоянный;да
36;неполное среднее;4;10;23;постоянный;нет
28;неполное среднее;8;6;30;постоянный;нет
27;среднее специальное;3;5;33;постоянный;нет
36;высшее;13;3;39;постоянный;нет
33;неполное среднее;12;11;32;постоянный;нет
54;неполное среднее;9;2;28;постоянный;да
33;неполное среднее;9;4;29;постоянный;да
31;неполное среднее;9;5;26;постоянный;нет
21;неполное среднее;4;0;26;постоянный;нет
28;высшее;5;9;44;постоянный;нет
31;среднее специальное;2;1;26;постоянный;да
32;неполное среднее;8;6;26;постоянный;нет
35;среднее специальное;1;8;24;постоянный;да
40;среднее специальное;13;11;102;постоянный;да
22;неполное среднее;4;2;24;постоянный;да
39;неполное среднее;4;9;38;постоянный;нет
41;высшее;14;3;44;постоянный;нет
34;неполное среднее;16;9;79;постоянный;нет
29;неполное среднее;7;9;22;постоянный;нет
31;неполное среднее;4;10;28;постоянный;нет
32;неполное среднее;1;0;20;постоянный;да
32;неполное среднее;14;7;73;постоянный;нет
33;неполное среднее;6;14;21;постоянный;нет
26;среднее;6;0;22;постоянный;нет
21;среднее;1;1;18;постоянный;нет
28;среднее специальное;7;2;34;постоянный;нет
37;среднее;13;5;24;постоянный;нет
33;среднее специальное;2;14;35;постоянный;да
39;среднее;12;10;46;постоянный;нет
40;среднее специальное;8;19;57;постоянный;нет
45;высшее;16;21;80;постоянный;нет
27;среднее;10;6;34;постоянный;нет
28;высшее;0;7;29;постоянный;нет
39;среднее;13;9;27;постоянный;нет
40;среднее;14;21;43;постоянный;да
27;среднее;11;8;56;постоянный;нет
36;среднее;1;4;16;постоянный;нет
55;среднее;19;2;78;постоянный;нет
27;среднее специальное;4;3;22;постоянный;да
30;среднее;1;8;17;постоянный;нет
36;среднее;10;0;28;постоянный;да
31;среднее;1;6;21;постоянный;да
33;среднее специальное;13;2;40;постоянный;нет
30;среднее;4;0;33;постоянный;нет
24;среднее;1;0;18;постоянный;да
33;высшее;9;10;28;постоянный;нет
50;среднее;8;27;47;постоянный;нет
31;среднее специальное;6;6;32;постоянный;да
28;среднее;3;7;19;постоянный;нет
44;высшее;8;10;88;постоянный;да
48;высшее;3;23;45;постоянный;нет
36;среднее специальное;0;17;30;постоянный;нет
29;высшее;7;1;63;постоянный;нет
40;высшее;17;11;116;постоянный;нет
33;среднее;7;6;26;постоянный;нет
26;среднее специальное;6;6;30;постоянный;нет
36;среднее;14;11;81;постоянный;нет
26;среднее специальное;6;0;35;постоянный;нет
40;высшее;16;6;116;постоянный;нет
44;среднее;5;3;48;постоянный;да
29;высшее;1;10;30;постоянный;нет
35;высшее;5;3;37;постоянный;да
34;среднее;16;3;75;постоянный;нет
34;высшее;12;8;47;постоянный;нет
46;среднее;14;25;35;постоянный;нет
41;среднее специальное;21;22;145;постоянный;нет
27;среднее специальное;7;8;30;постоянный;да
27;высшее;0;6;70;постоянный;да
28;среднее;11;6;24;постоянный;нет
48;высшее;0;27;19;постоянный;нет
48;высшее;17;26;113;постоянный;нет
29;высшее;5;6;70;постоянный;да
43;среднее специальное;9;5;60;постоянный;да
23;среднее;5;2;17;постоянный;нет
29;среднее специальное;10;8;44;постоянный;нет
40;высшее;5;6;75;постоянный;нет
22;среднее специальное;0;3;20;постоянный;нет
23;среднее;7;3;22;постоянный;нет
46;высшее;9;10;60;постоянный;нет
55;среднее;3;11;40;постоянный;да
38;среднее специальное;8;16;38;постоянный;нет
35;среднее специальное;5;1;33;постоянный;нет
30;среднее;11;9;27;постоянный;нет
24;среднее;7;0;18;постоянный;нет
26;среднее специальное;4;3;28;постоянный;нет
32;среднее специальное;2;11;15;постоянный;да
37;среднее специальное;11;4;75;постоянный;нет
39;среднее;6;19;42;постоянный;да
30;среднее специальное;4;4;21;постоянный;нет
30;среднее;10;11;39;постоянный;нет
32;среднее специальное;7;10;32;постоянный;нет
54;высшее;21;20;118;постоянный;нет
27;высшее;3;4;35;постоянный;нет
31;среднее;12;4;31;постоянный;нет
39;среднее;15;16;39;постоянный;нет
31;среднее;5;3;25;постоянный;нет
35;среднее;15;11;40;постоянный;нет
35;среднее специальное;10;16;98;постоянный;нет
46;среднее специальное;22;17;144;постоянный;нет
33;среднее;13;3;52;постоянный;да
35;среднее специальное;13;3;105;постоянный;нет
35;среднее специальное;1;1;21;постоянный;нет
38;среднее;5;13;21;постоянный;нет
41;среднее;19;1;96;постоянный;нет
38;среднее;18;19;44;постоянный;нет
34;высшее;2;14;39;постоянный;нет
51;высшее;16;25;82;постоянный;нет
34;среднее специальное;10;2;33;постоянный;нет
47;среднее;15;1;30;постоянный;нет
34;среднее специальное;8;6;78;постоянный;нет
27;среднее специальное;8;7;18;постоянный;нет
52;среднее;9;11;24;постоянный;да
39;среднее;9;6;35;постоянный;нет
33;среднее;7;0;22;постоянный;нет
34;среднее;0;1;21;постоянный;нет
31;высшее;9;7;59;постоянный;да
28;среднее;2;9;16;постоянный;нет
39;среднее;19;16;45;постоянный;нет
51;среднее специальное;22;23;120;постоянный;нет
22;среднее;4;1;16;постоянный;нет
27;высшее;6;4;26;постоянный;нет
32;среднее;16;10;38;постоянный;нет
28;среднее специальное;6;7;38;постоянный;нет
27;среднее специальное;1;0;20;постоянный;да
26;среднее специальное;2;6;24;постоянный;да
32;среднее;14;0;36;постоянный;нет
30;среднее;0;11;17;постоянный;да
39;среднее;13;1;38;постоянный;нет
31;среднее;11;6;28;постоянный;да
34;среднее;15;2;39;постоянный;да
31;среднее;8;3;41;постоянный;нет
29;среднее специальное;1;7;25;постоянный;нет
29;среднее;9;0;25;постоянный;нет
35;среднее специальное;9;16;30;постоянный;нет
29;среднее;11;7;32;постоянный;нет
38;среднее специальное;2;16;22;постоянный;да
35;среднее;16;15;36;постоянный;нет
29;среднее;11;5;36;постоянный;нет
23;среднее специальное;3;4;34;постоянный;нет
33;высшее;9;8;32;постоянный;нет
51;среднее специальное;19;25;159;постоянный;нет
24;среднее;4;2;21;постоянный;нет
31;среднее;10;12;49;постоянный;да
45;среднее;10;14;52;постоянный;нет
29;среднее;3;1;17;постоянный;нет
34;среднее;0;10;20;постоянный;нет
25;среднее специальное;4;5;27;постоянный;да
37;среднее;20;2;56;постоянный;нет
47;среднее;29;18;129;постоянный;да
43;среднее специальное;6;24;54;постоянный;нет
47;среднее;22;19;81;постоянный;нет
24;среднее;6;2;21;постоянный;нет
27;высшее;5;1;75;постоянный;нет
25;среднее;9;4;18;постоянный;нет
36;высшее;11;12;44;постоянный;нет
39;среднее;16;20;57;постоянный;нет
26;среднее;10;1;25;постоянный;нет
41;среднее;4;19;25;постоянный;нет
39;среднее;19;15;60;постоянный;да
37;среднее;18;8;54;постоянный;нет
29;среднее;2;0;14;постоянный;да
42;среднее;6;9;31;постоянный;нет
31;высшее;1;6;29;постоянный;нет
36;среднее;4;15;17;постоянный;нет
39;среднее;16;4;52;постоянный;нет
23;высшее;0;2;23;постоянный;нет
39;среднее;4;15;33;постоянный;нет
27;высшее;4;1;40;постоянный;да
24;среднее;8;4;24;постоянный;нет
27;высшее;3;4;45;постоянный;да
41;среднее;16;22;49;постоянный;нет
38;среднее;0;8;23;постоянный;да
40;среднее специальное;5;12;35;постоянный;да
54;среднее;25;12;120;постоянный;да
40;среднее;12;6;89;постоянный;нет
40;среднее;2;4;32;постоянный;нет
29;среднее;1;8;31;постоянный;нет
30;среднее;8;6;23;постоянный;нет
29;среднее;1;1;18;постоянный;нет
29;высшее;3;3;50;постоянный;да
28;высшее;2;4;41;постоянный;да
28;высшее;0;5;38;постоянный;нет
39;среднее специальное;16;9;89;постоянный;нет
32;среднее;11;2;53;постоянный;нет
36;среднее специальное;7;16;43;постоянный;нет
39;среднее;20;12;39;постоянный;нет
28;высшее;6;8;47;постоянный;да
28;среднее;4;2;28;постоянный;да
46;среднее;6;19;31;постоянный;нет
30;среднее специальное;4;8;15;постоянный;нет
39;среднее специальное;15;19;32;постоянный;нет
40;высшее;5;3;220;постоянный;да
44;среднее специальное;18;4;74;постоянный;нет
30;среднее;0;8;19;постоянный;да
24;среднее специальное;3;0;19;постоянный;нет
32;среднее;10;13;32;постоянный;нет
29;среднее специальное;3;8;15;постоянный;нет
40;среднее специальное;2;1;36;постоянный;нет
41;среднее специальное;8;21;43;постоянный;нет
22;среднее;1;3;17;постоянный;нет
38;среднее;10;8;34;постоянный;нет
37;среднее специальное;6;13;62;постоянный;нет
41;высшее;18;6;71;постоянный;да
41;высшее;7;6;56;постоянный;да
39;среднее;2;15;22;постоянный;да
24;среднее специальное;0;2;15;постоянный;да
32;высшее;9;10;51;постоянный;нет
21;высшее;0;1;26;постоянный;нет
29;среднее;13;7;27;постоянный;нет
35;среднее специальное;14;3;82;постоянный;нет
29;среднее;6;7;21;постоянный;нет
41;среднее специальное;2;22;30;постоянный;нет
37;среднее;0;18;18;постоянный;да
32;среднее специальное;3;13;47;постоянный;нет
36;высшее;5;12;20;постоянный;нет
39;среднее специальное;18;9;44;постоянный;нет
36;среднее;18;9;67;постоянный;нет
46;высшее;22;4;99;постоянный;нет
34;среднее;13;11;51;постоянный;нет
27;среднее;7;4;26;постоянный;нет
43;среднее;8;11;45;постоянный;нет
33;среднее;14;8;72;постоянный;да
39;среднее специальное;20;17;101;постоянный;нет
29;среднее;1;4;17;постоянный;нет
34;высшее;7;15;40;постоянный;нет
26;среднее;1;0;21;постоянный;нет
31;среднее;15;2;60;постоянный;нет
26;среднее;10;6;24;постоянный;нет
28;среднее;12;7;45;постоянный;нет
48;среднее;13;20;50;постоянный;да
39;среднее специальное;2;12;46;постоянный;да
37;среднее;3;3;25;постоянный;нет
52;высшее;9;0;70;постоянный;да
48;среднее;3;11;27;постоянный;нет
26;среднее;7;3;22;постоянный;нет
46;высшее;15;0;126;постоянный;нет
31;среднее;7;10;23;постоянный;нет
34;среднее;13;8;56;постоянный;нет
40;среднее;22;4;95;постоянный;нет
24;высшее;2;5;16;постоянный;да
33;среднее;2;14;44;постоянный;нет
53;высшее;5;29;78;постоянный;да
47;высшее;9;1;52;постоянный;да
35;среднее;5;5;32;постоянный;нет
34;среднее;14;8;28;постоянный;нет
49;среднее;11;5;39;постоянный;нет
26;среднее специальное;0;7;28;постоянный;нет
23;среднее;2;2;16;постоянный;да
23;среднее специальное;0;4;21;постоянный;нет
38;среднее специальное;4;13;56;постоянный;нет
28;среднее специальное;5;2;37;постоянный;нет
30;высшее;0;8;65;постоянный;да
34;среднее;18;10;34;постоянный;нет
50;среднее специальное;16;14;71;постоянный;нет
29;среднее;12;2;40;постоянный;нет
42;высшее;0;9;64;постоянный;нет
31;среднее;13;12;27;постоянный;нет
39;среднее;10;4;31;постоянный;нет
45;среднее специальное;21;26;132;постоянный;нет
45;среднее;22;24;91;постоянный;нет
36;среднее;14;17;53;постоянный;нет
25;высшее;0;6;24;постоянный;да
29;среднее специальное;1;7;29;постоянный;да
30;среднее специальное;8;4;56;постоянный;нет
31;среднее;1;1;24;постоянный;нет
43;среднее;4;2;29;постоянный;нет
32;среднее специальное;11;4;57;постоянный;да
47;среднее;19;7;50;постоянный;нет
46;среднее;1;15;21;постоянный;да
43;среднее специальное;16;10;83;постоянный;нет
48;среднее;3;7;24;постоянный;нет
30;высшее;8;7;61;постоянный;нет
23;высшее;0;4;32;постоянный;да
36;высшее;8;0;32;постоянный;нет
20;высшее;0;1;17;постоянный;нет
43;среднее;16;7;89;постоянный;нет
23;среднее;2;1;25;постоянный;да
41;среднее;21;2;76;постоянный;нет
34;среднее;12;5;68;постоянный;да
50;среднее;11;5;36;постоянный;нет
40;среднее;9;4;64;постоянный;нет
29;среднее специальное;0;8;22;постоянный;да
39;среднее специальное;9;16;56;постоянный;нет
24;среднее специальное;1;2;42;постоянный;нет
27;среднее;0;5;16;постоянный;нет
40;высшее;18;14;157;постоянный;нет
32;среднее специальное;8;2;45;постоянный;нет
39;среднее специальное;16;12;53;постоянный;нет
40;среднее;22;1;100;постоянный;нет
32;среднее;10;11;42;постоянный;нет
39;среднее;23;1;75;постоянный;нет
24;среднее;3;3;21;постоянный;да
43;высшее;18;14;446;постоянный;да
56;среднее;11;20;59;постоянный;нет
32;высшее;5;9;23;постоянный;нет
42;среднее;7;12;25;постоянный;нет
46;высшее;3;13;43;постоянный;да
31;среднее;2;2;22;постоянный;да
43;среднее;25;16;242;постоянный;нет
28;среднее специальное;6;9;22;постоянный;нет
39;высшее;11;17;39;постоянный;нет
39;среднее;0;8;39;постоянный;нет
37;высшее;1;14;33;постоянный;да
30;среднее;0;11;17;постоянный;нет
37;высшее;9;16;177;постоянный;нет
22;среднее;4;3;14;постоянный;нет
50;среднее;1;26;26;постоянный;нет
30;среднее;10;2;19;постоянный;нет
39;среднее;8;0;21;постоянный;нет
21;среднее специальное;0;2;21;постоянный;да
31;высшее;9;2;28;постоянный;нет
31;среднее специальное;9;1;30;постоянный;нет
48;среднее;0;23;30;постоянный;нет
28;среднее;4;1;16;постоянный;нет
47;высшее;16;26;221;постоянный;да
27;среднее специальное;6;1;34;постоянный;нет
29;среднее специальное;6;10;65;постоянный;нет
21;среднее специальное;2;0;20;постоянный;да
29;среднее;7;5;20;постоянный;да
24;высшее;0;3;29;постоянный;да
44;среднее;12;3;31;постоянный;нет
22;среднее;1;0;18;постоянный;нет
38;среднее специальное;13;0;59;постоянный;нет
52;среднее специальное;12;16;76;постоянный;нет
25;среднее;3;2;18;постоянный;да
25;среднее;5;5;22;постоянный;нет
51;среднее специальное;27;21;166;постоянный;нет
38;среднее;21;16;58;постоянный;нет
44;среднее;9;20;33;постоянный;нет
24;среднее специальное;2;3;26;постоянный;да
34;среднее;5;3;33;постоянный;нет
25;среднее специальное;6;2;26;постоянный;нет
45;высшее;5;17;94;постоянный;да
34;среднее специальное;4;10;25;постоянный;нет
27;высшее;2;8;23;постоянный;да
33;среднее специальное;10;13;57;постоянный;да
35;среднее специальное;0;16;22;постоянный;да
50;среднее специальное;15;31;60;постоянный;нет
33;среднее;13;13;42;постоянный;нет
41;высшее;13;13;91;постоянный;да
28;среднее;0;2;28;постоянный;да
38;высшее;12;14;63;постоянный;да
25;среднее;3;2;16;постоянный;да
47;среднее специальное;4;9;33;постоянный;да
30;среднее специальное;12;9;98;постоянный;нет
44;среднее специальное;12;5;86;постоянный;нет
25;среднее;0;2;18;постоянный;да
41;среднее специальное;6;0;36;постоянный;да
22;высшее;0;1;18;постоянный;нет
35;среднее специальное;3;11;40;постоянный;да
42;высшее;6;23;190;постоянный;нет
38;среднее;3;19;23;постоянный;нет
23;среднее специальное;1;3;18;постоянный;да
28;высшее;2;5;30;постоянный;нет
52;среднее;19;25;89;постоянный;нет
25;среднее;9;2;20;постоянный;нет
28;среднее специальное;1;4;16;постоянный;нет
43;среднее;19;11;79;постоянный;нет
24;среднее специальное;3;1;24;постоянный;нет
34;высшее;13;7;52;постоянный;нет
29;среднее специальное;6;9;25;постоянный;нет
31;среднее;6;9;21;постоянный;нет
42;среднее специальное;14;1;48;постоянный;да
49;среднее специальное;11;1;51;постоянный;нет
39;среднее;22;9;73;постоянный;нет
45;высшее;0;19;22;постоянный;нет
41;среднее;7;22;32;постоянный;нет
29;среднее специальное;9;0;46;постоянный;нет
35;высшее;7;5;38;постоянный;нет
27;среднее специальное;5;6;25;постоянный;нет
28;среднее;4;7;19;постоянный;нет
48;среднее;17;22;66;постоянный;нет
24;среднее;2;5;18;постоянный;нет
31;среднее;6;12;33;постоянный;нет
43;среднее;10;9;69;постоянный;нет
42;среднее;3;10;24;постоянный;нет
51;среднее специальное;31;14;249;постоянный;нет
22;среднее;4;3;19;постоянный;да
37;среднее;6;10;31;постоянный;да
22;незак. высшее;1;3;25;постоянный;да
49;среднее специальное;2;13;20;постоянный;да
29;среднее;9;8;30;постоянный;нет
42;среднее;2;16;30;постоянный;нет
34;среднее;15;0;67;постоянный;нет
34;среднее специальное;9;7;27;постоянный;нет
32;среднее специальное;5;5;43;постоянный;да
42;среднее специальное;18;23;66;постоянный;нет
24;среднее;3;0;14;постоянный;да
34;среднее;16;9;48;постоянный;нет
26;среднее;10;2;32;постоянный;нет
30;среднее специальное;12;9;68;постоянный;нет
32;среднее;4;3;16;постоянный;да
38;незак. высшее;13;18;25;постоянный;нет
43;среднее специальное;10;24;37;постоянный;нет
31;среднее специальное;9;8;53;постоянный;нет
37;высшее;10;18;123;постоянный;нет
37;среднее специальное;4;11;20;постоянный;да
41;незак. высшее;12;11;86;постоянный;да
32;среднее;0;4;20;постоянный;да
22;среднее специальное;0;1;35;постоянный;да
32;среднее специальное;12;3;63;постоянный;нет
47;среднее специальное;17;23;41;постоянный;нет
40;среднее;21;21;46;постоянный;нет
31;среднее;8;1;22;постоянный;нет
34;незак. высшее;7;0;27;постоянный;нет
52;высшее;13;17;234;постоянный;нет
28;среднее;2;2;17;постоянный;да
38;незак. высшее;15;18;63;постоянный;нет
33;среднее специальное;10;4;26;постоянный;нет
39;среднее специальное;9;12;32;постоянный;нет
47;незак. высшее;23;11;115;постоянный;нет
36;среднее специальное;11;8;49;постоянный;нет
29;незак. высшее;7;2;84;постоянный;да
48;высшее;14;10;59;постоянный;да
38;незак. высшее;12;18;64;постоянный;нет
46;среднее специальное;9;26;15;постоянный;нет
27;незак. высшее;5;4;42;постоянный;да
54;среднее;18;34;114;постоянный;нет
27;высшее;0;0;25;постоянный;да
23;среднее;1;0;17;постоянный;нет
41;среднее;23;2;91;постоянный;нет
24;среднее;3;5;15;постоянный;да
28;среднее;9;0;22;постоянный;да
26;среднее;0;0;14;постоянный;нет
24;среднее;8;0;17;постоянный;да
49;среднее специальное;22;4;79;постоянный;нет
28;среднее специальное;3;1;36;постоянный;нет
38;среднее;6;17;18;постоянный;нет
33;среднее специальное;2;9;37;постоянный;нет
26;среднее;8;4;25;постоянный;нет
36;среднее;9;1;40;постоянный;нет
37;незак. высшее;16;14;50;постоянный;да
25;высшее;0;1;18;постоянный;да
29;среднее;9;2;33;постоянный;нет
27;среднее специальное;8;4;38;непостоянный;нет
45;среднее;17;0;62;непостоянный;нет
37;среднее;9;8;57;непостоянный;нет
29;среднее специальное;3;6;26;непостоянный;да
51;среднее;10;1;44;непостоянный;да
22;незак. высшее;0;0;23;непостоянный;да
30;высшее;7;10;30;непостоянный;нет
31;среднее;7;2;20;непостоянный;нет
28;среднее;2;0;18;непостоянный;да
35;среднее;10;16;39;непостоянный;нет
25;высшее;1;1;34;непостоянный;да
32;среднее специальное;5;0;28;непостоянный;да
33;среднее;2;10;24;непостоянный;нет
28;среднее специальное;3;4;41;непостоянный;да
46;незак. высшее;4;17;73;непостоянный;нет
41;среднее;24;12;83;непостоянный;нет
42;среднее специальное;11;5;73;непостоянный;нет
41;высшее;9;13;47;непостоянный;нет
26;среднее;3;5;29;непостоянный;да
47;среднее;27;8;113;непостоянный;нет
29;среднее;1;3;18;непостоянный;да
34;среднее;3;14;36;непостоянный;нет
36;среднее;7;2;43;непостоянный;нет
38;среднее специальное;7;4;64;непостоянный;нет
41;среднее специальное;4;14;26;непостоянный;да
46;среднее;9;23;31;непостоянный;нет
40;незак. высшее;3;15;55;непостоянный;да
44;среднее специальное;17;0;129;непостоянный;нет
35;незак. высшее;10;15;39;непостоянный;нет
36;среднее;20;15;60;непостоянный;нет
28;среднее специальное;0;3;30;непостоянный;да
29;среднее специальное;6;7;18;непостоянный;да
23;среднее специальное;3;3;22;непостоянный;да
41;среднее специальное;7;17;63;непостоянный;нет
25;среднее;1;1;19;непостоянный;нет
45;среднее специальное;2;19;29;непостоянный;нет
48;среднее специальное;30;14;148;непостоянный;нет
38;среднее;18;7;45;непостоянный;нет
29;среднее;6;4;46;непостоянный;нет
42;высшее;15;8;186;непостоянный;нет
31;среднее;11;12;47;непостоянный;нет
40;среднее;3;13;23;непостоянный;нет
26;среднее;2;6;21;непостоянный;нет
25;среднее;6;6;22;непостоянный;нет
53;высшее;7;11;61;непостоянный;нет
50;незак. высшее;18;27;102;непостоянный;нет
47;среднее;31;9;136;непостоянный;да
23;среднее;1;0;21;непостоянный;да
37;незак. высшее;12;8;83;непостоянный;нет
41;среднее;24;15;100;непостоянный;нет
28;среднее специальное;0;7;29;непостоянный;да
31;среднее;7;11;41;непостоянный;да
41;среднее специальное;6;1;19;непостоянный;нет
36;среднее;7;17;40;непостоянный;нет
41;среднее;1;16;19;непостоянный;нет
53;среднее специальное;16;31;44;непостоянный;нет
31;среднее специальное;6;5;25;непостоянный;нет
28;среднее специальное;5;6;25;непостоянный;нет
48;среднее;28;25;70;непостоянный;нет
23;среднее специальное;0;1;42;непостоянный;да
31;среднее;11;6;34;непостоянный;нет
27;среднее;6;6;43;непостоянный;нет
43;среднее;11;17;37;непостоянный;нет
29;среднее специальное;5;7;28;непостоянный;нет
53;среднее;6;7;27;непостоянный;да
38;среднее;4;9;19;непостоянный;нет
30;среднее;12;10;38;непостоянный;нет
28;незак. высшее;2;0;20;непостоянный;да
36;среднее;11;2;33;непостоянный;нет
48;среднее;15;5;60;непостоянный;нет
31;среднее;12;9;24;непостоянный;нет
35;среднее;16;10;57;непостоянный;нет
50;среднее;4;4;23;непостоянный;нет
42;среднее специальное;12;9;55;непостоянный;нет
40;среднее;2;3;28;непостоянный;нет
37;среднее специальное;0;13;31;непостоянный;да
31;незак. высшее;6;8;54;непостоянный;нет
38;среднее;11;13;35;непостоянный;нет
35;среднее;15;1;77;непостоянный;нет
